rep,id,eta_Tlag,eta_ka,eta_V,eta_alpha,eta_beta
1,1,4.423551,-0.260379,0.185045,0.000000,0.000000
2,1,7.659789,1.191448,0.529784,0.000000,0.000000
3,1,1.311692,0.036884,0.587361,0.000000,0.000000
4,1,6.279295,-0.836610,0.098661,0.000000,0.000000
5,1,3.985075,-0.053980,0.506611,0.000000,0.000000
6,1,4.423551,-0.260379,0.185045,0.000000,0.000000
7,1,-2.784095,0.270372,0.588290,0.000000,0.000000
8,1,-1.662990,0.079104,1.060325,0.000000,0.000000
9,1,4.784702,0.322121,0.960954,0.000000,0.000000
10,1,-1.870214,0.124289,0.647838,0.000000,0.000000
1,2,-4.270660,0.406025,0.380217,0.000000,0.000000
2,2,-7.642970,1.121044,0.508073,0.000000,0.000000
3,2,-0.923006,1.623975,0.688948,0.000000,0.000000
4,2,1.497820,-0.501590,0.220252,0.000000,0.000000
5,2,-2.247138,-0.832201,0.160873,0.000000,0.000000
6,2,4.016419,-0.476724,0.945506,0.000000,0.000000
7,2,-9.016410,0.852208,0.976399,0.000000,0.000000
8,2,-1.173708,1.851108,0.278234,0.000000,0.000000
9,2,-1.735453,-1.022530,-0.049155,0.000000,0.000000
10,2,-3.367089,0.117958,0.181627,0.000000,0.000000
1,3,4.122207,-0.801161,0.614249,0.000000,0.000000
2,3,1.795597,-0.316360,0.857815,0.000000,0.000000
3,3,3.516760,-1.534496,-0.119750,0.000000,0.000000
4,3,1.651694,-0.851194,0.551400,0.000000,0.000000
5,3,2.104267,-0.156994,0.205990,0.000000,0.000000
6,3,1.093262,-0.355145,0.718016,0.000000,0.000000
7,3,2.106243,-0.807922,-0.036720,0.000000,0.000000
8,3,2.574952,0.324376,0.492976,0.000000,0.000000
9,3,-4.144908,0.704627,0.576391,0.000000,0.000000
10,3,6.581990,-1.004324,0.431261,0.000000,0.000000
1,4,-0.406588,2.007253,-0.343529,0.000000,0.000000
2,4,-3.771047,2.045462,-0.456521,0.000000,0.000000
3,4,1.693821,1.183192,-0.272542,0.000000,0.000000
4,4,-2.600594,1.144536,-0.246630,0.000000,0.000000
5,4,-7.288203,1.671067,-0.380921,0.000000,0.000000
6,4,-0.406588,1.740461,-0.343529,0.000000,0.000000
7,4,-3.469131,1.627745,-0.407407,0.000000,0.000000
8,4,-1.824232,3.221590,-0.272542,0.000000,0.000000
9,4,-2.600594,1.558126,-0.246630,0.000000,0.000000
10,4,-3.260452,2.038322,-0.277766,0.000000,0.000000
