rep,id,Tlag,ka,V,alpha,beta
1,1,0.068744,0.555341,233.137170,1.446266,0.620714
2,1,1.748698,2.371813,329.101325,1.446266,0.620714
3,1,0.003060,0.747583,348.606338,1.446266,0.620714
4,1,0.439718,0.312109,213.843303,1.446266,0.620714
5,1,0.044341,0.682649,321.562912,1.446266,0.620714
6,1,0.068744,0.555341,233.137170,1.446266,0.620714
7,1,0.000051,0.944196,348.930284,1.446266,0.620714
8,1,0.000156,0.779822,559.423448,1.446266,0.620714
9,1,0.098646,0.994344,506.505966,1.446266,0.620714
10,1,0.000127,0.815867,370.339365,1.446266,0.620714
1,2,0.000012,1.081373,283.382830,1.446266,0.620714
2,2,0.000000,2.210570,322.033276,1.446266,0.620714
3,2,0.000328,3.655313,385.881478,1.446266,0.620714
4,2,0.003686,0.436318,241.491367,1.446266,0.620714
5,2,0.000087,0.313488,227.569427,1.446266,0.620714
6,2,0.045753,0.447304,498.741494,1.446266,0.620714
7,2,0.000000,1.689469,514.389893,1.446266,0.620714
8,2,0.000255,4.587404,255.907499,1.446266,0.620714
9,2,0.000145,0.259157,184.459051,1.446266,0.620714
10,2,0.000028,0.810717,232.341708,1.446266,0.620714
1,3,0.050858,0.323371,358.106823,1.446266,0.620714
2,3,0.004965,0.525107,456.869220,1.446266,0.620714
3,3,0.027760,0.155317,171.886189,1.446266,0.620714
4,3,0.004300,0.307590,336.292695,1.446266,0.620714
5,3,0.006761,0.615828,238.071741,1.446266,0.620714
6,3,0.002460,0.505131,397.262960,1.446266,0.620714
7,3,0.006774,0.321192,186.767149,1.446266,0.620714
8,3,0.010824,0.996588,317.208072,1.446266,0.620714
9,3,0.000013,1.457661,344.802912,1.446266,0.620714
10,3,0.595158,0.263918,298.223472,1.446266,0.620714
1,4,0.000549,5.362658,137.421554,1.446266,0.620714
2,4,0.000019,5.571524,122.739101,1.446266,0.620714
3,4,0.004485,2.352311,147.531276,1.446266,0.620714
4,4,0.000061,2.263115,151.404051,1.446266,0.620714
5,4,0.000001,3.831567,132.377895,1.446266,0.620714
6,4,0.000549,4.106896,137.421554,1.446266,0.620714
7,4,0.000026,3.669119,128.917849,1.446266,0.620714
8,4,0.000133,18.061753,147.531276,1.446266,0.620714
9,4,0.000061,3.422368,151.404051,1.446266,0.620714
10,4,0.000032,5.531885,146.762610,1.446266,0.620714
1,5,0.018534,1.268042,185.340374,1.446266,0.620714
2,5,0.000127,0.504646,257.821069,1.446266,0.620714
3,5,0.000159,1.569713,266.753452,1.446266,0.620714
4,5,0.008368,1.020758,252.461423,1.446266,0.620714
5,5,0.126595,1.334935,211.557856,1.446266,0.620714
6,5,0.001379,0.799443,173.757284,1.446266,0.620714
7,5,0.003484,2.369759,266.453778,1.446266,0.620714
8,5,0.000159,1.324508,266.753452,1.446266,0.620714
9,5,0.055401,1.920520,267.165161,1.446266,0.620714
10,5,0.193168,0.745895,211.557856,1.446266,0.620714
1,6,0.001242,1.161111,287.231053,1.446266,0.620714
2,6,0.000065,1.771996,360.335275,1.446266,0.620714
3,6,0.000003,0.805004,175.831184,1.446266,0.620714
4,6,0.000340,1.024141,234.097682,1.446266,0.620714
5,6,0.007375,1.182720,178.415060,1.446266,0.620714
6,6,0.000980,0.421933,231.900381,1.446266,0.620714
7,6,0.000065,0.981284,171.775249,1.446266,0.620714
8,6,0.008500,0.782863,189.165834,1.446266,0.620714
9,6,0.000004,1.024141,228.615433,1.446266,0.620714
10,6,0.000102,1.240741,250.601690,1.446266,0.620714
1,7,0.000033,1.297461,295.462301,1.446266,0.620714
2,7,0.001063,7.626321,255.252291,1.446266,0.620714
3,7,0.000057,0.672219,192.590022,1.446266,0.620714
4,7,0.085204,0.569660,195.866401,1.446266,0.620714
5,7,0.000043,1.295676,178.041273,1.446266,0.620714
6,7,0.132465,0.821902,171.047793,1.446266,0.620714
7,7,0.062171,13.662091,378.647772,1.446266,0.620714
8,7,0.000079,0.672219,160.808990,1.446266,0.620714
9,7,0.174600,1.337246,368.284940,1.446266,0.620714
10,7,0.000366,0.395253,235.557250,1.446266,0.620714
1,8,0.157713,0.765879,167.150949,1.446266,0.620714
2,8,0.000098,0.439182,115.648820,1.446266,0.620714
3,8,0.000338,0.314667,117.489196,1.446266,0.620714
4,8,0.000134,0.264692,131.403647,1.446266,0.620714
5,8,0.001028,0.278747,116.455519,1.446266,0.620714
6,8,0.189214,0.503065,159.288778,1.446266,0.620714
7,8,0.000003,0.401222,141.570254,1.446266,0.620714
8,8,0.000002,0.178489,72.868144,1.446266,0.620714
9,8,0.000150,0.368550,159.098387,1.446266,0.620714
10,8,0.000213,0.310960,91.591134,1.446266,0.620714
1,9,0.000117,0.408606,43.435443,1.446266,0.620714
2,9,0.000026,0.420325,42.705160,1.446266,0.620714
