id,time,Y,censored,split,color,filter
1,0.5,0.1,1,All,#4682B4,0
1,1,0.1,1,All,#4682B4,0
1,2,0.64,0,All,#4682B4,0
1,3,0.42,0,All,#4682B4,0
1,4,0.43,0,All,#4682B4,0
1,6,0.28,0,All,#4682B4,0
1,8,0.18,0,All,#4682B4,0
1,12,0.1,0,All,#4682B4,0
2,0.5,0.14,0,All,#4682B4,0
2,1,0.36,0,All,#4682B4,0
2,2,0.52,0,All,#4682B4,0
2,3,0.51,0,All,#4682B4,0
2,4,0.44,0,All,#4682B4,0
2,6,0.23,0,All,#4682B4,0
2,8,0.14,0,All,#4682B4,0
2,12,0.11,0,All,#4682B4,0
3,0.5,0.1,1,All,#4682B4,0
3,1,0.16,0,All,#4682B4,0
3,2,0.26,0,All,#4682B4,0
3,3,0.38,0,All,#4682B4,0
3,4,0.46,0,All,#4682B4,0
3,6,0.26,0,All,#4682B4,0
3,8,0.19,0,All,#4682B4,0
4,0.5,1.43,0,All,#4682B4,0
4,1,1.03,0,All,#4682B4,0
4,2,0.81,0,All,#4682B4,0
4,3,0.98,0,All,#4682B4,0
4,4,0.67,0,All,#4682B4,0
4,6,0.37,0,All,#4682B4,0
4,8,0.3,0,All,#4682B4,0
4,12,0.2,0,All,#4682B4,0
5,0.5,0.68,0,All,#4682B4,0
5,1,0.67,0,All,#4682B4,0
5,2,0.63,0,All,#4682B4,0
5,3,0.68,0,All,#4682B4,0
5,4,0.61,0,All,#4682B4,0
5,6,0.43,0,All,#4682B4,0
5,8,0.27,0,All,#4682B4,0
5,12,0.13,0,All,#4682B4,0
5,16,0.1,0,All,#4682B4,0
6,0.5,0.4,0,All,#4682B4,0
6,1,0.6,0,All,#4682B4,0
6,2,0.77,0,All,#4682B4,0
6,3,0.67,0,All,#4682B4,0
6,4,0.51,0,All,#4682B4,0
6,6,0.57,0,All,#4682B4,0
6,8,0.26,0,All,#4682B4,0
6,12,0.16,0,All,#4682B4,0
7,0.5,0.77,0,All,#4682B4,0
7,1,0.59,0,All,#4682B4,0
7,2,0.47,0,All,#4682B4,0
7,3,0.8,0,All,#4682B4,0
7,4,0.52,0,All,#4682B4,0
7,6,0.45,0,All,#4682B4,0
7,8,0.21,0,All,#4682B4,0
7,12,0.11,0,All,#4682B4,0
8,0.5,0.27,0,All,#4682B4,0
8,1,0.67,0,All,#4682B4,0
8,2,0.71,0,All,#4682B4,0
8,3,0.83,0,All,#4682B4,0
8,4,0.97,0,All,#4682B4,0
8,6,1.22,0,All,#4682B4,0
8,8,0.64,0,All,#4682B4,0
8,12,0.22,0,All,#4682B4,0
8,16,0.1,0,All,#4682B4,0
9,0.5,1.87,0,All,#4682B4,0
9,1,1.46,0,All,#4682B4,0
9,2,3.16,0,All,#4682B4,0
9,3,2.56,0,All,#4682B4,0
9,4,2.24,0,All,#4682B4,0
9,6,2.93,0,All,#4682B4,0
9,8,0.39,0,All,#4682B4,0
9,12,0.25,0,All,#4682B4,0
9,16,0.13,0,All,#4682B4,0
10,0.5,0.21,0,All,#4682B4,0
10,1,0.38,0,All,#4682B4,0
10,2,0.57,0,All,#4682B4,0
10,3,0.52,0,All,#4682B4,0
10,4,0.65,0,All,#4682B4,0
10,6,0.41,0,All,#4682B4,0
10,8,0.2,0,All,#4682B4,0
10,12,0.1,0,All,#4682B4,0
11,0.5,0.1,1,All,#4682B4,0
11,1,0.12,0,All,#4682B4,0
11,2,0.33,0,All,#4682B4,0
11,3,0.8,0,All,#4682B4,0
11,4,1.18,0,All,#4682B4,0
11,6,0.96,0,All,#4682B4,0
11,8,0.43,0,All,#4682B4,0
11,12,0.2,0,All,#4682B4,0
11,16,0.16,0,All,#4682B4,0
12,0.5,0.1,1,All,#4682B4,0
12,1,0.18,0,All,#4682B4,0
12,2,0.77,0,All,#4682B4,0
12,3,0.72,0,All,#4682B4,0
12,4,0.64,0,All,#4682B4,0
12,6,0.62,0,All,#4682B4,0
12,8,0.33,0,All,#4682B4,0
12,12,0.3,0,All,#4682B4,0
12,16,0.13,0,All,#4682B4,0
12,24,0.13,0,All,#4682B4,0
