rep,id,eta_tauD,eta_tauS
1,1,-0.109155499046132,-0.226146638854018
2,1,-0.211563191628087,0.0903215139677441
3,1,-0.197040438810746,0.243400784133516
4,1,-0.0164032092883142,-0.606949310111177
5,1,-0.00154092018003903,-0.0704014020888994
6,1,-0.154319250929832,-0.193770790577628
7,1,0.158615671389169,-0.577723630811062
8,1,-0.0453395192608126,-0.389233355517444
9,1,-0.103590957826272,-0.0807579455050642
10,1,-0.227443785815693,-0.241247395306595
1,2,-0.393545134033701,-0.216928036650871
2,2,-0.334792986190762,0.0219658724726409
3,2,-0.407719582537161,0.357780408772359
4,2,-0.27290186924569,-0.129554814110346
5,2,-0.540469178371501,-0.0576774840543972
6,2,-0.590806468925818,-0.138003481465547
7,2,-0.523128256310947,0.0381007447126196
8,2,-0.625479106403134,0.278839301878103
9,2,-0.410745867266999,-0.023799283832873
10,2,-0.672123738068223,-0.0254525759097229
1,3,0.375170574855276,0.256370055040738
2,3,0.438198232596187,-0.0633147707972674
3,3,0.274581685607924,0.326950954630078
4,3,0.328668760337533,-0.00387918427692463
5,3,0.312098199984196,0.24348993670766
6,3,0.335857108033038,0.264595762259714
7,3,0.49634400472837,0.137859590185371
8,3,0.383531663264055,0.0362855180872301
9,3,0.404683081031494,0.00891091092213908
10,3,0.394580086821253,0.272067123542189
1,4,-0.144035951813492,-0.286959372401121
2,4,0.254034951659283,-0.446543712978671
3,4,0.13649789875453,-0.00692187835223685
4,4,-0.0915847713955336,0.00449471777878169
5,4,0.0393805701929171,-0.118316352805114
6,4,-0.113044149401844,-0.214951365643406
7,4,0.00996877562089819,-0.096880972829915
8,4,-0.093793715507868,-0.176259284145424
9,4,0.124966532692452,-0.0648049828437996
10,4,-0.170667889807352,-0.0109388162625707
1,5,-0.0890248057948815,-0.0455961334400369
2,5,-0.0170552055276202,0.274206095310131
3,5,0.0839951421274041,0.197144316041161
4,5,0.0581674766154588,0.519540062358234
5,5,-0.113802430998961,0.0668613597552041
6,5,0.0465779488231055,0.0316899665769185
7,5,0.218057919865552,-0.141520185236967
8,5,0.0174846021293753,0.37733563027071
9,5,0.0424292903321449,-0.117570005473094
10,5,0.066104984562367,-0.105227077651319
1,6,-0.214548084532844,0.140973569533722
2,6,-0.178566820684134,0.0829639705513611
3,6,-0.350311995029493,0.0474894794013731
4,6,-0.15964205499492,-0.0620145889901611
5,6,-0.371088919074612,0.121627139022857
6,6,-0.298264033606207,-0.230234437803497
7,6,-0.36991181506114,-0.190825470572724
8,6,-0.264734552645789,0.0876054778157017
9,6,-0.271720559125125,-0.355188896929139
10,6,-0.209913935037285,-0.0239932989271747
1,7,0.153681637058615,0.149004469538126
2,7,-0.0183213535237774,0.309856704612489
3,7,0.191367718918085,0.125968771289247
4,7,0.157369057398436,0.000209994950145148
5,7,0.187789732702389,-0.0275706026002399
6,7,0.379337233233291,0.217361381092833
7,7,0.311798443490501,0.454483190223007
8,7,0.102147981549385,0.107464236275035
9,7,0.268782238277151,0.208060458278315
10,7,0.0622290796498622,-0.142124426486925
1,8,0.133674650111824,0.218675039536751
2,8,-0.142682869467245,-0.00748388451111709
3,8,0.0919131890611531,0.0227588960004177
4,8,-0.0327005188188526,0.618586266660741
5,8,-0.0574510342248371,0.457552329662346
6,8,0.235822888877993,0.293058324028429
7,8,0.0977483755761664,0.309662190632799
8,8,0.186342639351728,0.139580801714972
9,8,0.157630281611119,0.407199106485939
10,8,0.0976661810492942,-0.240656138220021
1,9,-0.085270976015697,0.100972028174545
2,9,0.124425192349265,0.0415372165116139
3,9,-0.0338457328907636,0.0858645536786894
4,9,0.0240674879744201,-0.16358166539092
5,9,0.103039692821963,0.238089519093259
6,9,-0.0132826813772318,-0.270048353448546
7,9,0.0873099172677335,0.425864894699248
8,9,0.0680258151872493,0.196932376898402
9,9,-0.0641785944055316,0.23902161021895
10,9,0.214029331324503,0.451737430345623
1,10,0.358430247972901,0.248064056559081
2,10,0.162026291116226,0.094336961409659
3,10,0.32550369450611,0.0246128758003709
4,10,0.363504347545547,0.124215889986286
5,10,0.291428998301199,-0.224021972682524
6,10,0.416882533797998,-0.172340498778537
7,10,0.456116096316929,0.256935545217287
8,10,0.381859407986699,-0.187158561221272
9,10,0.325737772496354,0.0120372506311091
10,10,0.262226530943536,0.0604674473779932
