"","x","saem.ep","mcem.ep","imcem.ep","imcem10.ep","imcem50.ep"
"1",2,-0.0207550071556269,-0.02075501,-0.02075501,-0.02075501,-0.02075501
"2",3,-0.0109270513918384,-0.00271139864261454,-0.00175262483617781,-0.000822695441944853,-0.000737623380602802
"3",4,-0.00600189811460491,-0.00160085213328738,-0.00178160226344262,0.000337554085669067,-0.000705237513829978
"4",5,-0.0030532348556378,-0.00118777655161987,-0.000664684414702493,0.00159254976989345,0.000100700408429583
"5",6,-0.00108409557582214,-0.000285522972000326,0.00099117405398632,0.00279417556023031,0.00110045779354379
"6",7,0.000315661011160764,0.000262398044674396,0.00173916379334932,0.00369838658933469,0.00258774456459801
"7",8,0.0013651652663763,0.00174776311652372,0.00303081709962209,0.0039296786875619,0.00301865676583973
"8",9,0.00218221201423558,0.00316959397820773,0.00369741664741009,0.00383477272491423,0.00353623964588949
"9",10,0.00283506979178388,0.00382655024167226,0.00418015630413836,0.00393252482483156,0.00402786264568014
"10",11,0.00337118523117549,0.00350989885441507,0.00420556613260605,0.0041536748684265,0.0036395953749905
