rep,id,eta_ka,eta_V,eta_Cl
1,1,-0.0338874669086242,1.48817279381033,-0.320992228709271
2,1,-0.120596671433641,0.305923402407663,-0.304993314008013
1,2,-0.121274488258089,0.284942864527549,0.474825766256241
2,2,-0.0949426034882643,0.810828275159119,0.420315987000705
1,3,0.0851680112478319,0.0577380350799555,-0.0145947439322021
2,3,-0.0631694933039952,-0.929212895776908,0.214403299066807
1,4,0.321561324335763,-3.24932672295211,0.0092482619212183
2,4,-0.00514901977725835,1.58972146834835,-0.342916360997421
1,5,-0.00768826777893494,-1.39417821520299,0.416987841924465
2,5,0.0694517467034697,2.71567235132526,0.139304434816286
1,6,0.133133846273141,-6.27078446951952,0.358265951949702
2,6,0.1214543796694,-4.54385733534985,0.440577088489249
1,7,-0.0225227378749939,-3.16267605642772,0.520644814390829
2,7,0.231792297760904,2.71831910822428,0.688382005414063
1,8,-0.15020683641204,-2.56266964868172,0.79284725853168
2,8,-0.199339832253292,3.83953542933646,0.666893900900725
1,9,-0.106828787197184,3.51309439770333,-0.178131419939663
2,9,-0.312086934538124,4.17267493979173,0.328874956172253
1,11,0.0859327984418119,2.98829372998651,0.274661129349881
2,11,0.211700250616011,4.11078480980516,0.35798149431465
1,12,-0.221634750296558,1.06198125329976,0.13836941835995
2,12,-0.185536919040501,-3.34667866938,0.346805993644648
1,13,0.12615695077367,-2.71658459507267,0.57841097844177
2,13,-0.232949680911023,4.29739381767614,0.504170254732854
1,14,-0.318578478576852,-2.55223010640237,0.424018027391157
2,14,-0.222259645859974,2.060563454454,0.386434398495788
1,15,0.111817528127183,4.88057385949896,0.227259569586323
2,15,-0.165674833757707,2.75849813683097,0.110477278272901
1,16,0.123672404429919,-4.0408317163907,-0.573501299373824
2,16,-0.1239081686267,-2.20147190737794,-0.536547945932828
1,17,0.0273448330841592,-0.259224263960359,0.0345647932536691
2,17,0.0291304433759736,-1.29625210940388,-0.451351500162032
1,18,-0.0549667438882921,0.278556811437696,-0.0845779255848597
2,18,-0.30554706706604,3.02613796184671,0.23193258266578
1,19,-0.177514580550794,2.47645925086499,0.125502581432268
2,19,0.159833292435084,0.834421044090856,0.258988267845423
1,20,-0.00243676027079776,3.65318998999164,-0.695670551145254
2,20,0.000560854181778314,1.59580248038102,-0.560615492764096
1,21,0.216343792898213,4.45717516546114,0.64781025713291
2,21,0.26668011748984,-1.72850602410626,0.0948090073610742
1,22,0.241165234624694,3.84596480137864,-0.419579853239852
2,22,-0.135906238169769,5.04008557672218,-0.0548962499776697
1,23,-0.152126052934663,-2.74736384886056,-0.475357932327844
2,23,-0.18519828234887,-4.75181522824388,-0.368770283953815
1,24,-0.155175725472527,0.382748009942826,-0.177892365027467
2,24,-0.458886521373777,-2.67009573565248,-0.211260383090673
1,25,0.0281190334911976,2.24263235578721,0.069146511872448
2,25,-0.0925558955686872,5.20347226048065,-0.66513667051307
1,26,-0.0814620004891999,-8.02431986446492,-0.223196497282083
2,26,0.0716019083131698,9.3149307876879,0.13000205558433
1,27,0.111900339852231,3.75096097363558,-0.597793052994567
2,27,-0.139711124063028,-2.96782682232169,-0.384218081301255
1,28,-0.0277965697280371,-2.66296887855974,-0.113990280294452
2,28,0.130264878523262,-3.59033729737247,-0.026041975890927
1,29,-0.205383388286093,4.81431630793814,0.0241350158181511
2,29,-0.0749895959825966,-0.972024620509252,0.162042478203382
1,30,-0.178726288495186,-2.98050967684373,-0.413876418134824
2,30,0.254465223923024,3.01611512416969,-0.440254963879509
1,31,-0.201076455672858,-6.07985517137438,0.0105709352593709
2,31,-0.00973051669763914,4.3591195643368,-0.337244743979907
1,32,0.0477233990847021,-6.50617501006052,-0.563627265309354
2,32,0.220707878000709,1.45606034379968,-0.168363210065203
