id,importanceSampling
1,1.116
2,10.686
3,3.584
4,0.569
5,-1.531
6,0.548
7,5.943
8,0.281
9,4.498
10,5.685
11,1.658
12,10.371
13,5.893
14,3.618
15,5.276
16,1.606
17,0.258
18,11.981
19,-0.621
20,1.527
21,1.971
22,6.931
23,4.375
24,6.804
25,10.107
26,5.610
27,8.402
28,17.099
29,11.864
30,11.841
31,13.913
32,12.972
33,13.681
34,1.872
35,7.506
36,9.272
37,17.308
38,4.182
39,19.707
40,8.957
41,8.492
42,11.245
43,4.592
44,13.702
45,16.519
46,8.592
47,9.762
48,2.879
49,8.985
50,10.482
51,5.501
52,8.371
53,17.914
54,9.835
55,3.283
56,11.721
57,16.643
58,4.440
59,3.138
60,12.767
61,14.310
62,19.741
63,23.965
64,7.496
65,16.426
66,6.286
67,6.921
68,4.460
69,29.339
70,19.998
71,7.759
72,5.363
73,18.699
74,18.835
75,10.840
76,14.755
77,15.883
78,12.777
79,19.644
80,4.512
