rep,id,eta_p0,eta_alpha,eta_tau
1,1,0.000000,-0.234382,0.028584
2,1,0.000000,-0.311243,0.550904
3,1,0.000000,-0.263625,-0.029864
4,1,0.000000,-0.224042,0.207060
5,1,0.000000,-0.209536,0.100633
6,1,0.000000,-0.227179,0.263844
7,1,0.000000,-0.245259,0.373278
8,1,0.000000,-0.245259,0.373278
9,1,0.000000,-0.245259,0.240337
10,1,0.000000,-0.197946,0.234419
1,2,0.000000,0.199988,2.419018
2,2,0.000000,0.199988,2.419018
3,2,0.000000,0.185217,2.291235
4,2,0.000000,0.144490,2.323281
5,2,0.000000,0.145982,2.323281
6,2,0.000000,0.228402,2.619379
7,2,0.000000,0.228402,2.619379
8,2,0.000000,0.207938,2.550158
9,2,0.000000,0.207938,2.550158
10,2,0.000000,0.232932,2.550158
1,3,0.000000,-0.539671,1.727446
2,3,0.000000,-0.530025,2.242166
3,3,0.000000,-0.479546,2.053589
4,3,0.000000,-0.518906,2.202165
5,3,0.000000,-0.491265,2.288456
6,3,0.000000,-0.475080,2.082743
7,3,0.000000,-0.485255,2.460946
8,3,0.000000,-0.485255,2.219293
9,3,0.000000,-0.506649,2.588356
10,3,0.000000,-0.503904,2.262221
1,4,0.000000,0.280419,-8.038523
2,4,0.000000,0.280419,-8.151753
3,4,0.000000,0.280419,-8.278074
4,4,0.000000,0.266991,-8.278074
5,4,0.000000,0.266991,-8.278074
6,4,0.000000,0.266991,-8.278074
7,4,0.000000,0.252828,-8.544412
8,4,0.000000,0.252828,-8.544412
9,4,0.000000,0.191951,-8.579696
10,4,0.000000,0.220198,-8.465570
1,5,0.000000,-0.195267,5.014854
2,5,0.000000,-0.195267,5.014854
3,5,0.000000,-0.195267,4.892824
4,5,0.000000,-0.224781,4.930612
5,5,0.000000,-0.180969,4.842934
6,5,0.000000,-0.181491,4.807304
7,5,0.000000,-0.172174,4.994427
8,5,0.000000,-0.196260,5.149963
9,5,0.000000,-0.185876,5.009869
10,5,0.000000,-0.186507,5.120607
1,6,0.000000,0.617340,-11.197205
2,6,0.000000,0.629137,-11.253831
3,6,0.000000,0.629137,-11.152622
4,6,0.000000,0.650440,-11.152622
5,6,0.000000,0.650440,-11.131620
6,6,0.000000,0.671509,-10.930190
7,6,0.000000,0.671509,-10.841904
8,6,0.000000,0.687075,-10.926015
9,6,0.000000,0.652780,-10.926015
10,6,0.000000,0.652780,-10.926015
1,7,0.000000,0.095952,-8.227979
2,7,0.000000,0.082012,-8.375852
3,7,0.000000,0.082012,-8.375852
4,7,0.000000,0.073169,-8.375852
5,7,0.000000,0.073169,-8.375852
6,7,0.000000,0.081694,-8.356730
7,7,0.000000,0.050610,-8.163146
8,7,0.000000,0.050610,-8.163146
9,7,0.000000,0.050610,-8.163146
10,7,0.000000,0.099455,-8.230819
1,8,0.000000,0.058728,-12.985810
2,8,0.000000,0.087757,-12.748575
3,8,0.000000,0.087757,-12.748575
4,8,0.000000,0.090077,-12.945097
5,8,0.000000,0.090077,-12.945097
6,8,0.000000,0.090833,-12.370212
7,8,0.000000,0.090833,-12.729576
8,8,0.000000,0.081316,-12.729576
9,8,0.000000,0.099154,-12.981858
