id,p0_SAEM,alpha_SAEM,tau_SAEM,p0_mean,alpha_mean,tau_mean,p0_sd,alpha_sd,tau_sd
1,0.267258,0.028178,70.781677,0.268098,0.028192,70.802129,0.000000,0.001044,0.173770
2,0.266873,0.042553,72.940535,0.266948,0.042651,72.958222,0.000000,0.001134,0.148671
3,0.267036,0.020795,72.687052,0.267032,0.020900,72.675599,0.000000,0.000815,0.231672
4,0.267258,0.044021,61.985916,0.268093,0.044224,62.030537,0.000000,0.001121,0.141747
5,0.266629,0.028677,75.401808,0.266059,0.028673,75.402934,0.000000,0.000862,0.210309
6,0.266962,0.067858,59.534112,0.267073,0.066815,59.429561,0.000000,0.002728,0.291451
7,0.267077,0.038186,62.218413,0.268754,0.038433,62.286980,0.000000,0.000827,0.134640
8,0.267094,0.038857,57.783307,0.267166,0.038622,57.759638,0.000000,0.000874,0.190800
9,0.267026,0.042875,63.098384,0.263213,0.042425,62.987314,0.000000,0.001165,0.141416
10,0.266810,0.018614,75.992837,0.266263,0.018524,75.957265,0.000000,0.000789,0.233860
11,0.267094,0.079329,64.546799,0.268931,0.079334,64.559398,0.000000,0.004389,0.173340
12,0.266979,0.035645,74.748946,0.265444,0.035365,74.698860,0.000000,0.001270,0.178520
13,0.266854,0.054265,69.730433,0.269461,0.054515,69.773554,0.000000,0.001057,0.087730
14,0.266939,0.076081,67.512131,0.264827,0.075674,67.466597,0.000000,0.001966,0.139932
15,0.266732,0.047527,80.660485,0.267053,0.047826,80.681709,0.000000,0.002562,0.113929
16,0.266902,0.033041,57.868174,0.263390,0.032812,57.779365,0.000000,0.000882,0.221745
17,0.266724,0.046128,70.914051,0.267919,0.046119,70.939126,0.000000,0.001023,0.119735
18,0.266643,0.034607,56.908875,0.263918,0.034477,56.868270,0.000000,0.000819,0.196676
19,0.266775,0.037178,75.386816,0.266867,0.037039,75.373748,0.000000,0.000883,0.140413
20,0.267129,0.034808,63.608082,0.266927,0.034730,63.586499,0.000000,0.000820,0.207783
21,0.267057,0.038134,65.688915,0.266855,0.038214,65.673739,0.000000,0.001251,0.223842
