rep,id,p0,alpha,tau
1,1,0.381542,0.038459,74.155103
2,1,0.381542,0.033733,74.542070
3,1,0.381542,0.034258,74.234951
4,1,0.381542,0.032471,74.534104
5,1,0.381542,0.035349,74.544863
6,1,0.381542,0.034632,74.513259
7,1,0.381542,0.032925,74.457391
8,1,0.381542,0.033949,74.238484
9,1,0.381542,0.033433,74.337002
10,1,0.381542,0.034535,74.294723
1,2,0.381542,0.053224,75.612924
2,2,0.381542,0.050695,75.309244
3,2,0.381542,0.053498,75.355187
4,2,0.381542,0.053498,75.355187
5,2,0.381542,0.053498,75.355187
6,2,0.381542,0.052867,75.355187
7,2,0.381542,0.052493,75.589524
8,2,0.381542,0.049701,75.442733
9,2,0.381542,0.051135,75.311165
10,2,0.381542,0.049801,75.237824
1,3,0.381542,0.025724,77.760194
2,3,0.381542,0.024768,77.640222
3,3,0.381542,0.024350,77.795918
4,3,0.381542,0.024383,78.198305
5,3,0.381542,0.025091,77.625751
6,3,0.381542,0.025172,77.399696
7,3,0.381542,0.024703,77.782919
8,3,0.381542,0.023793,77.782919
9,3,0.381542,0.023800,77.724001
10,3,0.381542,0.024106,77.709092
1,4,0.381542,0.053849,64.345334
2,4,0.381542,0.053119,64.300348
3,4,0.381542,0.053447,64.300348
4,4,0.381542,0.053447,64.300348
5,4,0.381542,0.053178,64.265542
6,4,0.381542,0.053178,64.370386
7,4,0.381542,0.053178,64.396143
8,4,0.381542,0.053267,64.396143
9,4,0.381542,0.053367,64.375691
10,4,0.381542,0.053367,64.503902
1,5,0.381542,0.033900,79.347222
2,5,0.381542,0.033830,79.047843
3,5,0.381542,0.033830,79.047843
4,5,0.381542,0.033830,79.047843
5,5,0.381542,0.034669,79.047843
6,5,0.381542,0.034846,78.960053
7,5,0.381542,0.035451,78.755702
8,5,0.381542,0.037555,79.181025
9,5,0.381542,0.036262,79.181025
10,5,0.381542,0.035574,78.875305
1,6,0.381542,0.077123,60.742328
2,6,0.381542,0.079923,60.863421
3,6,0.381542,0.079923,61.001305
4,6,0.381542,0.079923,61.001305
5,6,0.381542,0.082451,61.099910
6,6,0.381542,0.082451,61.111101
7,6,0.381542,0.081982,60.846236
8,6,0.381542,0.079016,60.836148
9,6,0.381542,0.079016,60.943374
10,6,0.381542,0.079016,60.943374
1,7,0.381542,0.046646,64.902110
2,7,0.381542,0.046646,64.902110
3,7,0.381542,0.046905,64.906322
4,7,0.381542,0.046905,64.906322
5,7,0.381542,0.047298,65.063279
6,7,0.381542,0.047571,64.744474
7,7,0.381542,0.046118,64.730219
8,7,0.381542,0.046919,65.016698
9,7,0.381542,0.046919,64.967502
10,7,0.381542,0.047300,65.001427
1,8,0.381542,0.047620,60.720407
2,8,0.381542,0.046472,60.498933
