rep,id,eta_ka,eta_V,eta_k
1,1,1.121814,0.137314,-0.001754
2,1,0.368199,-0.020238,0.104968
3,1,0.473442,0.149942,-0.153450
4,1,1.120301,0.228014,-0.071552
5,1,1.208060,0.170697,-0.089274
6,1,1.274518,0.355491,-0.097054
7,1,0.700559,0.151519,0.158583
1,2,0.612533,-0.181351,-0.182638
2,2,0.056763,-0.461669,-0.075839
3,2,0.726252,-0.174050,-0.283032
4,2,0.917285,-0.091160,-0.120481
5,2,0.819374,-0.070935,-0.217629
6,2,1.067412,-0.171841,-0.282599
7,2,0.603369,-0.286023,-0.172800
1,3,0.076536,-0.198495,-0.008953
2,3,0.148058,-0.252185,0.013302
3,3,0.065587,-0.146036,0.083754
4,3,-0.131114,-0.151312,-0.008941
5,3,-0.255605,-0.307294,0.063480
6,3,-0.243154,-0.405224,0.237580
7,3,-0.299670,-0.328838,0.049231
1,4,-0.710449,0.002487,-0.110417
2,4,-0.746078,0.116474,-0.014341
3,4,-0.094015,0.315674,-0.279356
4,4,-0.294435,0.189054,-0.133110
5,4,-0.580210,0.052961,-0.157044
6,4,-0.412518,0.097073,-0.112102
7,4,-0.744776,-0.107418,0.039448
1,5,-0.319602,0.315355,-0.008971
2,5,-0.045325,0.346904,-0.197749
3,5,-0.282264,0.200065,-0.119990
4,5,-0.233005,0.122230,-0.072301
5,5,0.046362,0.273880,-0.057045
6,5,-0.525619,0.128878,0.026921
7,5,-0.297557,0.091872,-0.028258
1,6,-0.618453,0.025099,0.013297
2,6,-0.586726,-0.073292,0.211188
3,6,-0.664648,-0.113199,0.078922
4,6,-0.488469,-0.034245,0.064300
5,6,-0.268942,0.255982,-0.112408
6,6,-0.242564,0.063207,-0.126135
7,6,-0.391617,0.076850,0.051279
1,7,-0.043861,0.082763,-0.084672
2,7,-0.353627,-0.033080,-0.089952
3,7,-0.597232,-0.077897,-0.089053
4,7,-0.165329,-0.061683,0.025489
5,7,-0.442701,-0.078301,-0.039917
6,7,-0.293738,-0.049822,0.104609
7,7,0.234284,0.014275,0.022225
1,8,-0.547251,0.425229,-0.166114
2,8,-1.254728,0.346895,-0.027434
3,8,-1.296036,0.313672,0.243434
4,8,-0.842916,0.380249,-0.064634
5,8,-0.623668,0.517108,-0.098329
6,8,-0.830273,0.325208,0.082756
7,8,-1.162972,0.343776,-0.205678
1,9,-0.947330,0.181550,-0.242242
2,9,-1.501019,0.052870,0.005741
3,9,-1.450792,0.187270,-0.112458
4,9,-1.448191,0.049117,0.001178
5,9,-1.347276,-0.000991,0.127064
6,9,-1.206587,0.067486,-0.135861
7,9,-1.448458,0.017606,-0.101775
1,10,0.141163,0.037445,-0.228324
2,10,-0.481125,-0.288704,0.107868
3,10,-0.111818,-0.188751,0.042928
4,10,-0.569211,-0.430777,0.160877
5,10,-0.307325,-0.511267,0.111217
6,10,-0.579866,-0.392468,0.059681
7,10,-0.458381,-0.251630,0.005140
1,11,0.774691,0.169387,0.151959
2,11,0.465221,-0.133488,0.364368
3,11,0.766546,0.173044,0.199968
4,11,0.777760,0.268835,0.155419
5,11,1.102541,0.068297,0.074328
6,11,1.040642,0.069560,0.254216
7,11,1.496880,0.237003,0.268858
1,12,-0.261042,-0.345556,0.015039
2,12,-0.504152,-0.374263,0.010690
3,12,-0.384924,-0.407512,-0.013780
4,12,-0.131481,-0.327104,-0.027588
5,12,-0.352653,-0.290124,-0.013191
6,12,-0.277938,-0.417839,0.071723
7,12,-0.410088,-0.403193,0.039170
1,13,-0.143037,-0.408616,-0.126982
2,13,-0.142553,-0.304003,0.057210
3,13,0.020529,-0.306285,-0.092004
4,13,-0.263190,-0.239064,-0.095595
5,13,-0.043856,-0.346654,-0.026810
6,13,-0.304730,-0.521292,0.141762
7,13,-0.037946,-0.165527,-0.107964
