alpha_abscissa,alpha_cdf,tau_abscissa,tau_cdf,split
-2.77977,0.004,-2.07049,0.004,All
-2.51629,0.008,-1.97501,0.008,All
-2.27109,0.012,-1.93893,0.012,All
-2.14091,0.016,-1.89766,0.016,All
-2.08221,0.02,-1.87847,0.02,All
-2.05827,0.024,-1.83457,0.024,All
-1.9296,0.028,-1.79922,0.028,All
-1.91809,0.032,-1.76943,0.032,All
-1.8569,0.036,-1.74972,0.036,All
-1.83288,0.04,-1.74917,0.04,All
-1.81725,0.044,-1.60984,0.044,All
-1.78976,0.048,-1.54939,0.048,All
-1.77584,0.052,-1.45251,0.052,All
-1.73255,0.056,-1.43706,0.056,All
-1.69507,0.06,-1.42682,0.06,All
-1.61873,0.064,-1.40278,0.064,All
-1.50158,0.068,-1.394,0.068,All
-1.44862,0.072,-1.35993,0.072,All
-1.43715,0.076,-1.35806,0.076,All
-1.40179,0.08,-1.34576,0.08,All
-1.39949,0.084,-1.31333,0.084,All
-1.37818,0.088,-1.30925,0.088,All
-1.3717,0.092,-1.3029,0.092,All
-1.34297,0.096,-1.29753,0.096,All
-1.33382,0.1,-1.2824,0.1,All
-1.3332,0.104,-1.27071,0.104,All
-1.32817,0.108,-1.26765,0.108,All
-1.29914,0.112,-1.26503,0.112,All
-1.29814,0.116,-1.25906,0.116,All
-1.29193,0.12,-1.25509,0.12,All
-1.28232,0.124,-1.21315,0.124,All
-1.24282,0.128,-1.20296,0.128,All
-1.21056,0.132,-1.15691,0.132,All
-1.20299,0.136,-1.14507,0.136,All
-1.1872,0.14,-1.13368,0.14,All
-1.18324,0.144,-1.08263,0.144,All
-1.1548,0.148,-1.07574,0.148,All
-1.14699,0.152,-1.03768,0.152,All
-1.11301,0.156,-1.03122,0.156,All
-1.06879,0.16,-1.02788,0.16,All
-1.01205,0.164,-1.02203,0.164,All
-1.00961,0.168,-1.01909,0.168,All
-0.984785,0.172,-1.01907,0.172,All
-0.982291,0.176,-1.01336,0.176,All
-0.980673,0.18,-0.99309,0.18,All
-0.980407,0.184,-0.983412,0.184,All
-0.971909,0.188,-0.955106,0.188,All
-0.965661,0.192,-0.949588,0.192,All
-0.953541,0.196,-0.939406,0.196,All
-0.950325,0.2,-0.935685,0.2,All
-0.946279,0.204,-0.903761,0.204,All
-0.93861,0.208,-0.885704,0.208,All
-0.924011,0.212,-0.885322,0.212,All
