id,alpha_standEta_simulated,tau_standEta_simulated,filter
1,0,-0.0304039,0
2,0,0.0267762,0
3,0,-0.0683246,0
4,0,0.0247091,0
5,0,-0.0227865,0
6,0,0.0830585,0
7,0,0.0094208,0
8,0,0.00741488,0
9,0,0.0273951,0
10,0,-0.0865888,0
11,0,0.101267,0
12,0,0.0102503,0
13,0,0.0585558,0
14,0,0.0987498,0
15,0,0.0511128,0
16,0,-0.0103764,0
17,0,0.0361136,0
18,0,-0.000591031,0
19,0,0.00782704,0
20,0,0.000622391,0
21,0,0.00740166,0
22,0,-0.134437,0
23,0,-0.047172,0
24,0,-0.158229,0
25,0,-0.0290365,0
26,0,0.0768266,0
27,0,-0.0555842,0
28,0,0.0345727,0
29,0,0.0806865,0
30,0,-0.0579354,0
31,0,0.0649734,0
32,0,0.0497008,0
33,0,-0.039032,0
34,0,0.0215193,0
35,0,0.012862,0
36,0,-0.00399132,0
37,0,-0.0496248,0
38,0,0.0756525,0
39,0,-0.00612006,0
40,0,0.0837843,0
41,0,-0.0416012,0
42,0,0.123558,0
43,0,0.0600951,0
44,0,0.0175684,0
45,0,0.0635131,0
46,0,0.0166436,0
47,0,0.0595493,0
48,0,-0.0409826,0
49,0,0.0402467,0
50,0,0.073343,0
51,0,0.0167475,0
52,0,0.0561119,0
53,0,0.0465309,0
54,0,-0.00727233,0
55,0,0.0856266,0
56,0,0.0584095,0
57,0,0.00956245,0
58,0,-0.0686111,0
59,0,0.0171182,0
60,0,0.0903442,0
61,0,0.0771663,0
62,0,0.108929,0
63,0,-0.0838136,0
64,0,0.00951489,0
65,0,0.00246992,0
66,0,0.0813146,0
67,0,-0.0143591,0
68,0,-0.0653941,0
69,0,-0.0235383,0
70,0,-0.0684374,0
71,0,-0.118098,0
72,0,-0.104617,0
73,0,0.0135743,0
74,0,0.0323467,0
75,0,-0.0799125,0
76,0,-0.000507346,0
77,0,0.0361052,0
78,0,0.0746733,0
79,0,-0.0582661,0
80,0,0.0611343,0
81,0,-0.0576378,0
82,0,-0.0378899,0
83,0,-0.040046,0
84,0,-0.0488005,0
85,0,-0.12661,0
86,0,0.0428064,0
87,0,0.0849527,0
88,0,-0.0130883,0
89,0,-0.00339231,0
90,0,0.0494498,0
91,0,0.00540299,0
92,0,-0.0672787,0
93,0,-0.0219062,0
94,0,0.0197701,0
95,0,-0.0136306,0
96,0,0.028233,0
97,0,-0.00100591,0
98,0,0.0540239,0
99,0,-0.0147695,0
100,0,0.0492504,0
101,0,0.08353,0
102,0,-0.013104,0
103,0,-0.00284782,0
104,0,0.0572112,0
105,0,-0.00933502,0
106,0,0.157834,0
107,0,-0.0904427,0
