alpha_abscissa,alpha_pdf,tau_abscissa,tau_pdf,split
-2.61488,0.0257742,-1.91967,0.112717,All
-2.28509,0.0257742,-1.61803,0.0563586,All
-1.95531,0.0902098,-1.31639,0.281793,All
-1.62552,0.0773227,-1.01475,0.324062,All
-1.29573,0.270629,-0.713112,0.338152,All
-0.965947,0.270629,-0.411472,0.253614,All
-0.63616,0.244855,-0.109833,0.549497,All
-0.306373,0.309291,0.191807,0.338152,All
0.0234137,0.502597,0.493447,0.4086,All
0.3532,0.347952,0.795087,0.295883,All
0.682987,0.463936,1.09673,0.154986,All
1.01277,0.270629,1.39837,0.169076,All
1.34256,0.167532,1.70001,0.0986276,All
1.67235,0.0644356,2.00165,0.0563586,All
2.00213,0.0257742,2.30329,0.0281793,All
2.33192,0.0644356,2.60492,0.0563586,All
