"","x","saem.ep","mcem.ep","imcem.ep","imcem10.ep","imcem50.ep"
"1",2,2.89437515579865,14.1989731813258,1.74207614303505,3.1124362534362,8.24776586092208
"2",3,4.88149678946173,13.6977488628818,8.99826043418984,9.22617761726705,11.8565069049456
"3",4,6.12123636709534,13.3018849593011,11.0198394922663,11.0661046889102,12.7690487989246
"4",5,6.97672379011208,12.7535716385182,11.5716138289714,11.3508140107318,12.2932055881141
"5",6,7.55007933908093,12.0579000356392,11.3089218387893,10.9435445426686,11.4159456639618
"6",7,8.00197487622962,11.6696190562609,10.7044099844624,10.5078699271683,10.8536753744853
"7",8,8.33498020816288,10.8940487207172,10.2797616768707,10.1626799358478,10.4218636988551
"8",9,8.60575292653907,10.3780921265505,10.0180220919972,9.90686934218272,10.0642760822861
"9",10,8.81884495714345,10.028859326383,9.83988318513013,9.76935557900516,9.98492890492
"10",11,8.98629730676857,9.82126286997564,9.72376225355521,9.73168579260929,9.82280705055425
