id,importanceSampling
1,25.364
2,23.280
3,25.220
4,17.700
5,22.866
6,22.657
7,23.516
8,29.483
9,30.376
10,8.509
11,7.583
12,10.307
13,23.789
14,7.307
15,27.879
16,12.068
17,34.621
18,31.307
19,32.084
20,24.738
21,36.163
22,17.011
23,16.933
24,20.182
25,30.389
26,18.769
27,21.815
28,18.300
29,11.057
30,25.379
31,33.875
32,20.472
33,16.939
34,16.464
35,19.412
36,20.307
37,9.614
38,13.737
39,29.556
40,26.751
41,23.436
42,22.794
43,8.913
44,24.784
45,13.764
46,14.266
47,40.586
48,18.379
49,19.554
50,15.791
51,8.694
52,9.738
53,32.066
54,33.985
55,26.815
56,32.268
