id,time,Event
1,0.000000,0.000000
1,306.000000,1.000000
2,0.000000,0.000000
2,455.000000,1.000000
3,0.000000,0.000000
3,1010.000000,0.000000
4,0.000000,0.000000
4,210.000000,1.000000
5,0.000000,0.000000
5,883.000000,1.000000
6,0.000000,0.000000
6,1022.000000,0.000000
7,0.000000,0.000000
7,310.000000,1.000000
8,0.000000,0.000000
8,361.000000,1.000000
9,0.000000,0.000000
9,218.000000,1.000000
10,0.000000,0.000000
10,166.000000,1.000000
11,0.000000,0.000000
11,170.000000,1.000000
12,0.000000,0.000000
12,654.000000,1.000000
13,0.000000,0.000000
13,728.000000,1.000000
14,0.000000,0.000000
14,71.000000,1.000000
15,0.000000,0.000000
15,567.000000,1.000000
16,0.000000,0.000000
16,144.000000,1.000000
17,0.000000,0.000000
17,613.000000,1.000000
18,0.000000,0.000000
18,707.000000,1.000000
19,0.000000,0.000000
19,61.000000,1.000000
20,0.000000,0.000000
20,88.000000,1.000000
21,0.000000,0.000000
21,301.000000,1.000000
22,0.000000,0.000000
22,81.000000,1.000000
23,0.000000,0.000000
23,624.000000,1.000000
24,0.000000,0.000000
24,371.000000,1.000000
25,0.000000,0.000000
25,394.000000,1.000000
26,0.000000,0.000000
26,520.000000,1.000000
27,0.000000,0.000000
27,574.000000,1.000000
28,0.000000,0.000000
28,118.000000,1.000000
29,0.000000,0.000000
29,390.000000,1.000000
30,0.000000,0.000000
30,12.000000,1.000000
31,0.000000,0.000000
31,473.000000,1.000000
32,0.000000,0.000000
32,26.000000,1.000000
33,0.000000,0.000000
33,533.000000,1.000000
34,0.000000,0.000000
34,107.000000,1.000000
35,0.000000,0.000000
35,53.000000,1.000000
36,0.000000,0.000000
36,122.000000,1.000000
37,0.000000,0.000000
37,814.000000,1.000000
38,0.000000,0.000000
38,965.000000,0.000000
39,0.000000,0.000000
39,93.000000,1.000000
40,0.000000,0.000000
40,731.000000,1.000000
41,0.000000,0.000000
41,460.000000,1.000000
42,0.000000,0.000000
42,153.000000,1.000000
43,0.000000,0.000000
43,433.000000,1.000000
44,0.000000,0.000000
44,145.000000,1.000000
45,0.000000,0.000000
45,583.000000,1.000000
46,0.000000,0.000000
46,95.000000,1.000000
47,0.000000,0.000000
47,303.000000,1.000000
48,0.000000,0.000000
48,519.000000,1.000000
49,0.000000,0.000000
49,643.000000,1.000000
50,0.000000,0.000000
50,765.000000,1.000000
51,0.000000,0.000000
51,735.000000,1.000000
52,0.000000,0.000000
52,189.000000,1.000000
53,0.000000,0.000000
53,53.000000,1.000000
54,0.000000,0.000000
54,246.000000,1.000000
55,0.000000,0.000000
55,689.000000,1.000000
56,0.000000,0.000000
56,65.000000,1.000000
57,0.000000,0.000000
57,5.000000,1.000000
58,0.000000,0.000000
58,132.000000,1.000000
59,0.000000,0.000000
59,687.000000,1.000000
60,0.000000,0.000000
60,345.000000,1.000000
61,0.000000,0.000000
61,444.000000,1.000000
62,0.000000,0.000000
62,223.000000,1.000000
63,0.000000,0.000000
63,175.000000,1.000000
64,0.000000,0.000000
64,60.000000,1.000000
65,0.000000,0.000000
65,163.000000,1.000000
66,0.000000,0.000000
66,65.000000,1.000000
67,0.000000,0.000000
67,208.000000,1.000000
68,0.000000,0.000000
68,821.000000,0.000000
69,0.000000,0.000000
69,428.000000,1.000000
70,0.000000,0.000000
70,230.000000,1.000000
71,0.000000,0.000000
71,840.000000,0.000000
72,0.000000,0.000000
72,305.000000,1.000000
73,0.000000,0.000000
73,11.000000,1.000000
74,0.000000,0.000000
74,132.000000,1.000000
75,0.000000,0.000000
75,226.000000,1.000000
76,0.000000,0.000000
76,426.000000,1.000000
77,0.000000,0.000000
77,705.000000,1.000000
78,0.000000,0.000000
78,363.000000,1.000000
79,0.000000,0.000000
79,11.000000,1.000000
80,0.000000,0.000000
80,176.000000,1.000000
81,0.000000,0.000000
81,791.000000,1.000000
82,0.000000,0.000000
82,95.000000,1.000000
83,0.000000,0.000000
83,196.000000,0.000000
84,0.000000,0.000000
84,167.000000,1.000000
85,0.000000,0.000000
85,806.000000,0.000000
86,0.000000,0.000000
86,284.000000,1.000000
87,0.000000,0.000000
