rep,id,eta_Tlag,eta_Tk0,eta_Vol,eta_Cl,eta_ke0,eta_IC50,eta_gamma,eta_s,eta_d,eta_beta,eta_delta,eta_p,eta_c
1,1,-0.194085319593466,0,0,0,0,0,0,0,0,0,0,0,0
1,2,-0.0954922145782344,0,0,0,0,0,0,0,0,0,0,0,0
1,3,-0.232754782230659,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0.415587297394603,0,0,0,0,0,0,0,0,0,0,0,0
1,5,-0.0681484075882248,0,0,0,0,0,0,0,0,0,0,0,0
1,6,-0.715392828691293,0,0,0,0,0,0,0,0,0,0,0,0
1,7,0.184888420242344,0,0,0,0,0,0,0,0,0,0,0,0
1,8,-0.10951171001711,0,0,0,0,0,0,0,0,0,0,0,0
1,9,-0.246613473931765,0,0,0,0,0,0,0,0,0,0,0,0
1,10,0.55546835322506,0,0,0,0,0,0,0,0,0,0,0,0
1,11,-0.28942611972871,0,0,0,0,0,0,0,0,0,0,0,0
1,12,-0.355592917653599,0,0,0,0,0,0,0,0,0,0,0,0
1,13,0.381682873170513,0,0,0,0,0,0,0,0,0,0,0,0
1,14,0.180186977850179,0,0,0,0,0,0,0,0,0,0,0,0
1,15,0.0329443058541654,0,0,0,0,0,0,0,0,0,0,0,0
1,16,0.0410796857382718,0,0,0,0,0,0,0,0,0,0,0,0
1,17,1.13242705761273,0,0,0,0,0,0,0,0,0,0,0,0
1,18,0.0992182784949209,0,0,0,0,0,0,0,0,0,0,0,0
1,19,-0.0986930388399307,0,0,0,0,0,0,0,0,0,0,0,0
1,20,0.284443338564327,0,0,0,0,0,0,0,0,0,0,0,0
1,21,-0.0366492570199086,0,0,0,0,0,0,0,0,0,0,0,0
1,22,-0.191291034629241,0,0,0,0,0,0,0,0,0,0,0,0
1,23,-0.148842150128768,0,0,0,0,0,0,0,0,0,0,0,0
1,24,0.721517629366677,0,0,0,0,0,0,0,0,0,0,0,0
1,25,-0.51627422567739,0,0,0,0,0,0,0,0,0,0,0,0
1,26,-0.173765005861409,0,0,0,0,0,0,0,0,0,0,0,0
1,27,-0.416374179860825,0,0,0,0,0,0,0,0,0,0,0,0
1,28,0.264402736577741,0,0,0,0,0,0,0,0,0,0,0,0
1,29,0.654799560650022,0,0,0,0,0,0,0,0,0,0,0,0
1,30,-0.281463940785386,0,0,0,0,0,0,0,0,0,0,0,0
1,31,-0.27291964571016,0,0,0,0,0,0,0,0,0,0,0,0
1,32,0.0763903095668366,0,0,0,0,0,0,0,0,0,0,0,0
1,33,-0.112785294499904,0,0,0,0,0,0,0,0,0,0,0,0
1,34,0.0369601490108771,0,0,0,0,0,0,0,0,0,0,0,0
1,35,-0.175540988724264,0,0,0,0,0,0,0,0,0,0,0,0
1,36,0.439193160418749,0,0,0,0,0,0,0,0,0,0,0,0
1,37,-0.738829508992492,0,0,0,0,0,0,0,0,0,0,0,0
1,38,-0.328346886118807,0,0,0,0,0,0,0,0,0,0,0,0
1,39,0.313170147523814,0,0,0,0,0,0,0,0,0,0,0,0
1,40,-0.419210604770564,0,0,0,0,0,0,0,0,0,0,0,0
1,41,-0.117572794541951,0,0,0,0,0,0,0,0,0,0,0,0
1,42,0.147862022963835,0,0,0,0,0,0,0,0,0,0,0,0
1,43,0.0694464778722055,0,0,0,0,0,0,0,0,0,0,0,0
1,44,0.274091526148992,0,0,0,0,0,0,0,0,0,0,0,0
1,45,-0.00946076167043874,0,0,0,0,0,0,0,0,0,0,0,0
1,46,-0.141781742757962,0,0,0,0,0,0,0,0,0,0,0,0
1,47,0.482858811306594,0,0,0,0,0,0,0,0,0,0,0,0
1,48,-0.116800969999892,0,0,0,0,0,0,0,0,0,0,0,0
1,49,0.669033201338289,0,0,0,0,0,0,0,0,0,0,0,0
1,50,-0.433191283058812,0,0,0,0,0,0,0,0,0,0,0,0
1,51,-0.0537240417034199,0,0,0,0,0,0,0,0,0,0,0,0
1,52,-0.118253732317087,0,0,0,0,0,0,0,0,0,0,0,0
1,53,-0.110099714942254,0,0,0,0,0,0,0,0,0,0,0,0
1,54,-0.104003551878868,0,0,0,0,0,0,0,0,0,0,0,0
1,55,-0.197980622057258,0,0,0,0,0,0,0,0,0,0,0,0
