X	Y	group
60.2706	0.0936	1
65.786	0.1533	1
67.1988	0.1785	1
68.9157	0.205	1
73.2716	0.3368	1
76.6833	0.4701	1
54.7534	-0.0148	2
64.2221	0.0465	2
68.2182	0.0963	2
68.6036	0.1425	2
77.0042	0.4774	2
78.4639	0.5422	2
79.9464	0.6216	2
61.3778	0.0976	3
61.4056	0.1064	3
61.8904	0.1057	3
63.3323	0.1188	3
70.7757	0.2204	3
75.4875	0.3304	3
77.3866	0.38	3
62.2931	0.2874	4
65.1686	0.4157	4
66.7014	0.5098	4
69.8336	0.6904	4
73.2783	0.819	4
62.3789	0.0581	5
62.8927	0.0441	5
66.0412	0.0812	5
68.7449	0.1253	5
69.6957	0.1363	5
81.1627	0.4497	5
81.5075	0.4778	5
51.3491	0.0321	6
52.6741	0.0243	6
65.7768	0.7575	6
67.5642	0.8641	6
70.4416	0.9246	6
75.3987	0.9992	6
79.1034	0.9981	6
80.8876	0.9935	6
60.7814	0.2111	7
61.5569	0.241	7
64.7481	0.3703	7
67.6332	0.5225	7
74.8856	0.8048	7
80.116	0.9283	7
84.2767	0.9523	7
53.3615	0.1351	8
54.7512	0.1646	8
55.989	0.2048	8
72.0323	0.8602	8
80.8232	0.9806	8
80.9992	0.9696	8
84.2734	0.9777	8
85.8264	0.9823	8
61.8442	0.2199	9
64.1586	0.3201	9
65.6344	0.3814	9
69.2442	0.5837	9
74.5514	0.8192	9
61.0442	0.0786	10
65.9714	0.1036	10
66.0268	0.1203	10
70.8579	0.2034	10
73.71	0.2296	10
76.3568	0.2728	10
76.7929	0.2892	10
82.7266	0.4003	10
58.9208	0.0552	11
59.9438	0.0487	11
63.2919	0.1783	11
76.1945	0.9804	11
79.3327	0.9989	11
52.7435	0.0062	12
56.2069	0.0167	12
62.233	0.03	12
67.2039	0.0802	12
68.3164	0.1024	12
72.8042	0.2103	12
79.9407	0.4818	12
63.5853	0.0477	13
65.5303	0.1137	13
66.126	0.1143	13
68.1675	0.1845	13
71.2814	0.3681	13
72.1323	0.4133	13
76.3583	0.704	13
76.3758	0.6837	13
59.5414	0.0184	14
61.0421	0.0353	14
61.9724	0.0447	14
65.9464	0.1622	14
73.8038	0.8085	14
77.8069	0.9619	14
79.9397	0.9699	14
80.6411	0.9781	14
57.763	0.0136	15
59.2576	0.0025	15
61.1538	-0.0031	15
62.724	0.0044	15
71.1975	0.0364	15
72.354	0.0454	15
78.7535	0.1838	15
82.2963	0.3558	15
82.4116	0.3539	15
61.073	0.3811	16
63.143	0.4557	16
63.7033	0.4963	16
64.2093	0.5336	16
67.1378	0.6383	16
72.3983	0.792	16
76.5949	0.8924	16
80.3742	0.9593	16
81.7036	0.9548	16
58.1294	0.0229	17
58.899	0.0154	17
59.557	0.0111	17
63.5321	0.055	17
67.801	0.1546	17
70.2737	0.2369	17
73.9398	0.426	17
78.0993	0.6662	17
85.9373	0.9195	17
56.6316	0.2643	18
59.3682	0.3497	18
69.8355	0.787	18
76.1567	0.917	18
80.071	0.95	18
62.833	0.0235	19
73.2434	0.2088	19
73.7076	0.2044	19
77.0701	0.3202	19
80.3003	0.4895	19
80.9309	0.5125	19
84.1487	0.654	19
87.145	0.7713	19
64.6777	0.3187	20
67.2096	0.4081	20
68.4227	0.4453	20
74.4022	0.7146	20
75.547	0.7512	20
75.7106	0.7685	20
76.4163	0.7767	20
51.0734	0.0211	21
52.3582	0.0288	21
58.797	0.0952	21
68.8774	0.4003	21
83.6733	0.9285	21
85.8595	0.9521	21
61.7136	0.1119	22
63.2807	0.1239	22
64.9711	0.1289	22
74.0311	0.2091	22
76.7606	0.2625	22
54.691	0.0712	23
56.2612	0.0678	23
70.5836	0.3514	23
73.1736	0.4169	23
74.6048	0.4625	23
76.681	0.5565	23
77.1268	0.5346	23
80.3182	0.6725	23
54.6413	0.0963	24
56.2532	0.1082	24
62.1812	0.1294	24
71.6451	0.2164	24
73.215	0.2091	24
74.6373	0.2419	24
80.7801	0.2994	24
57.4047	0.0318	25
58.2862	0.0251	25
68.0535	0.145	25
74.7004	0.2872	25
75.8701	0.3184	25
63.6912	-0.0063	26
66.2405	0.0291	26
66.3453	0.0194	26
71.5122	0.1093	26
71.9948	0.1451	26
73.2705	0.1919	26
62.6068	0.1606	27
67.0388	0.2532	27
73.5233	0.438	27
76.486	0.5425	27
83.9358	0.76	27
63.8871	0.0728	28
64.3773	0.0625	28
68.5839	0.1565	28
78.5278	0.6748	28
79.7071	0.71	28
80.5319	0.7604	28
57.1129	-0.0029	29
61.9633	-0.004	29
72.1024	0.0599	29
75.9882	0.1718	29
76.7789	0.1927	29
78.562	0.3135	29
80.5583	0.4803	29
81.691	0.559	29
82.1761	0.6133	29
57.1592	0.1048	30
70.917	0.359	30
75.3897	0.506	30
76.62	0.5367	30
78.1676	0.5848	30
86.4372	0.7843	30
90.4798	0.8501	30
62.036	0.1937	31
63.719	0.2563	31
66.3553	0.4304	31
73.7971	0.8857	31
81.2349	0.9729	31
54.7313	0.0139	32
60.255	-0.0049	32
65.3019	0.0654	32
