rep,id,eta_Tlag,eta_ka,eta_V,eta_alpha,eta_beta
1,1,1.447141,0.160358,0.529219,0.000000,0.000000
2,1,-3.128824,-1.584450,0.259739,0.000000,0.000000
3,1,-4.032148,-1.990926,0.092654,0.000000,0.000000
4,1,7.828935,0.771712,0.346185,0.000000,0.000000
5,1,3.508195,-0.428063,0.049918,0.000000,0.000000
1,2,-0.381073,-0.601375,0.258727,0.000000,0.000000
2,2,-1.633123,-0.324897,0.579983,0.000000,0.000000
3,2,2.781699,0.715359,0.389843,0.000000,0.000000
4,2,0.110607,-0.410797,-0.093565,0.000000,0.000000
5,2,-0.784125,0.660954,1.006629,0.000000,0.000000
1,3,6.436623,0.407014,0.976378,0.000000,0.000000
2,3,-6.680565,-2.131325,-0.451966,0.000000,0.000000
3,3,-0.419505,-0.658054,0.611129,0.000000,0.000000
4,3,3.960292,-0.834205,0.178827,0.000000,0.000000
5,3,-2.488920,-1.149483,-0.079385,0.000000,0.000000
1,4,2.152404,1.100045,-0.188583,0.000000,0.000000
2,4,3.436236,2.390091,-0.345799,0.000000,0.000000
3,4,0.955444,1.211927,-0.346620,0.000000,0.000000
4,4,-1.925973,0.835777,-0.446007,0.000000,0.000000
5,4,-4.415681,1.464663,-0.143160,0.000000,0.000000
1,5,1.429766,0.721913,-0.003509,0.000000,0.000000
2,5,-4.399364,0.248492,0.514365,0.000000,0.000000
3,5,4.680565,1.078927,0.229745,0.000000,0.000000
4,5,-0.646850,1.097341,0.380462,0.000000,0.000000
5,5,-8.284083,0.538306,0.184458,0.000000,0.000000
1,6,-1.450389,-0.104087,0.124322,0.000000,0.000000
2,6,-1.737244,0.622289,0.081561,0.000000,0.000000
3,6,3.537670,0.185974,0.152317,0.000000,0.000000
4,6,-0.403259,-0.148418,0.021237,0.000000,0.000000
5,6,-0.551640,0.145086,0.155352,0.000000,0.000000
1,7,2.797794,0.417989,0.134133,0.000000,0.000000
2,7,2.689677,1.315746,0.735062,0.000000,0.000000
3,7,0.099486,-0.166286,-0.176828,0.000000,0.000000
4,7,-1.715338,-0.257334,0.057604,0.000000,0.000000
5,7,3.737140,1.230732,0.378298,0.000000,0.000000
1,8,0.566241,-0.490814,-0.647571,0.000000,0.000000
2,8,-5.054621,-0.938712,-0.536785,0.000000,0.000000
3,8,-2.487919,-0.287332,-0.365422,0.000000,0.000000
4,8,4.976204,-0.461547,-0.222839,0.000000,0.000000
5,8,-2.893351,-1.207604,-0.775269,0.000000,0.000000
1,9,-3.467090,-0.215252,-1.385788,0.000000,0.000000
2,9,-0.728123,-0.478939,-1.497329,0.000000,0.000000
3,9,-1.126368,-0.515519,-1.520748,0.000000,0.000000
4,9,-5.757374,-0.349676,-1.368154,0.000000,0.000000
5,9,-1.184372,-0.470220,-1.423785,0.000000,0.000000
1,10,6.264153,0.651827,0.676363,0.000000,0.000000
2,10,5.122229,-0.339653,0.500402,0.000000,0.000000
3,10,-0.077400,-0.281295,0.543386,0.000000,0.000000
4,10,6.355684,0.690194,0.874333,0.000000,0.000000
5,10,0.034906,0.666811,0.486016,0.000000,0.000000
1,11,-0.189669,-1.033056,-0.194546,0.000000,0.000000
2,11,-6.140216,-1.489319,-0.510659,0.000000,0.000000
3,11,8.427201,0.501322,0.259056,0.000000,0.000000
4,11,-2.624431,-0.762851,-0.117695,0.000000,0.000000
5,11,7.114585,-0.441144,0.126086,0.000000,0.000000
1,12,-3.239956,-0.244139,0.577481,0.000000,0.000000
2,12,1.989903,-0.546605,0.594473,0.000000,0.000000
3,12,6.409985,-0.436231,0.393434,0.000000,0.000000
4,12,-1.757699,-0.116505,-0.046586,0.000000,0.000000
5,12,-1.618569,-0.772344,0.097591,0.000000,0.000000
