rep,id,Tlag,ka,V,alpha,beta
1,1,0.001577,0.859395,331.601609,1.357695,0.631397
2,1,0.000016,0.150118,253.269400,1.357695,0.631397
3,1,0.000007,0.099977,214.298413,1.357695,0.631397
4,1,0.931701,1.583800,276.137971,1.357695,0.631397
5,1,0.012382,0.477139,205.333013,1.357695,0.631397
1,2,0.000253,0.401215,253.013231,1.357695,0.631397
2,2,0.000072,0.528992,348.869774,1.357695,0.631397
3,2,0.005988,1.497018,288.460531,1.357695,0.631397
4,2,0.000414,0.485449,177.887302,1.357695,0.631397
5,2,0.000169,1.417748,534.506554,1.357695,0.631397
1,3,0.231528,1.099802,518.579369,1.357695,0.631397
2,3,0.000000,0.086882,124.306391,1.357695,0.631397
3,3,0.000244,0.379106,359.906317,1.357695,0.631397
4,3,0.019460,0.317877,233.584108,1.357695,0.631397
5,3,0.000031,0.231919,180.427693,1.357695,0.631397
1,4,0.003191,2.199348,161.762971,1.357695,0.631397
2,4,0.011523,7.990130,138.229618,1.357695,0.631397
3,4,0.000964,2.459707,138.116157,1.357695,0.631397
4,4,0.000054,1.688588,125.049317,1.357695,0.631397
5,4,0.000004,3.166981,169.280180,1.357695,0.631397
1,5,0.001549,1.506861,194.650615,1.357695,0.631397
2,5,0.000005,0.938575,326.712261,1.357695,0.631397
3,5,0.039990,2.153389,245.785715,1.357695,0.631397
4,5,0.000194,2.193408,285.767242,1.357695,0.631397
5,5,0.000000,1.254104,234.903194,1.357695,0.631397
1,6,0.000087,0.659699,221.193389,1.357695,0.631397
2,6,0.000065,1.363977,211.934178,1.357695,0.631397
3,6,0.012753,0.881694,227.473159,1.357695,0.631397
4,6,0.000248,0.631093,199.527467,1.357695,0.631397
5,6,0.000214,0.846370,228.164475,1.357695,0.631397
1,7,0.006085,1.111938,223.374152,1.357695,0.631397
2,7,0.005462,2.728800,407.392512,1.357695,0.631397
3,7,0.000410,0.619917,163.675706,1.357695,0.631397
4,7,0.000067,0.565968,206.917265,1.357695,0.631397
5,7,0.015568,2.506400,285.149345,1.357695,0.631397
1,8,0.000653,0.448118,102.221758,1.357695,0.631397
2,8,0.000002,0.286334,114.197613,1.357695,0.631397
3,8,0.000031,0.549242,135.543638,1.357695,0.631397
4,8,0.053747,0.461427,156.315416,1.357695,0.631397
5,8,0.000021,0.218824,89.967268,1.357695,0.631397
1,9,0.000012,0.590293,48.858427,1.357695,0.631397
2,9,0.000179,0.453471,43.701679,1.357695,0.631397
3,9,0.000120,0.437183,42.690107,1.357695,0.631397
4,9,0.000001,0.516045,49.727635,1.357695,0.631397
5,9,0.000113,0.457443,47.036816,1.357695,0.631397
1,10,0.194850,1.404867,384.167199,1.357695,0.631397
2,10,0.062197,0.521244,322.182196,1.357695,0.631397
3,10,0.000343,0.552568,336.332779,1.357695,0.631397
4,10,0.213526,1.459814,468.271457,1.357695,0.631397
5,10,0.000384,1.426077,317.580485,1.357695,0.631397
1,11,0.000307,0.260555,160.801242,1.357695,0.631397
2,11,0.000001,0.165100,117.220410,1.357695,0.631397
3,11,1.694729,1.208570,253.096625,1.357695,0.631397
4,11,0.000027,0.341388,173.646339,1.357695,0.631397
5,11,0.456077,0.470938,221.583967,1.357695,0.631397
1,12,0.000015,0.573485,347.997990,1.357695,0.631397
2,12,0.002713,0.423802,353.961593,1.357695,0.631397
3,12,0.225442,0.473258,289.498237,1.357695,0.631397
4,12,0.000064,0.651557,186.443719,1.357695,0.631397
5,12,0.000073,0.338162,215.358926,1.357695,0.631397
