Tlag_abscissa,Tlag_cdf,ka_abscissa,ka_cdf,V_abscissa,V_cdf,split
3.59034e-13,0.0166667,0.178936,0.0166667,45.0295,0.0166667,All
7.16029e-13,0.0333333,0.245491,0.0333333,46.3196,0.0333333,All
2.34926e-12,0.05,0.250146,0.05,47.4152,0.05,All
1.27982e-11,0.0666667,0.277294,0.0666667,48.3182,0.0666667,All
1.47103e-11,0.0833333,0.293243,0.0833333,48.5146,0.0833333,All
4.63188e-11,0.1,0.296952,0.1,98.7728,0.1,All
1.27302e-10,0.116667,0.302764,0.116667,106.149,0.116667,All
1.52961e-10,0.133333,0.323459,0.133333,115.062,0.133333,All
3.08162e-10,0.15,0.32507,0.15,115.537,0.15,All
1.26585e-09,0.166667,0.344263,0.166667,125.238,0.166667,All
1.49048e-09,0.183333,0.351674,0.183333,135.966,0.183333,All
1.8643e-09,0.2,0.371356,0.2,140.008,0.2,All
2.81815e-09,0.216667,0.424665,0.216667,150.641,0.216667,All
2.94737e-09,0.233333,0.437106,0.233333,158.074,0.233333,All
3.20434e-09,0.25,0.441402,0.25,161.333,0.25,All
4.81091e-09,0.266667,0.454113,0.266667,162.33,0.266667,All
5.30247e-09,0.283333,0.459004,0.283333,166.462,0.283333,All
8.12837e-09,0.3,0.473759,0.3,172.142,0.3,All
8.60837e-09,0.316667,0.485785,0.316667,177.803,0.316667,All
1.58143e-08,0.333333,0.503325,0.333333,181.781,0.333333,All
1.70592e-08,0.35,0.510955,0.35,185.755,0.35,All
2.46816e-08,0.366667,0.524208,0.366667,187.635,0.366667,All
2.58567e-08,0.383333,0.539725,0.383333,196.226,0.383333,All
4.07076e-08,0.4,0.541388,0.4,197.404,0.4,All
6.88181e-08,0.416667,0.543367,0.416667,203.127,0.416667,All
6.96097e-08,0.433333,0.552058,0.433333,206.354,0.433333,All
1.01304e-07,0.45,0.578988,0.45,207.749,0.45,All
1.14497e-07,0.466667,0.592416,0.466667,208.636,0.466667,All
1.2262e-07,0.483333,0.641431,0.483333,209.097,0.483333,All
1.28224e-07,0.5,0.646705,0.5,209.98,0.5,All
1.32329e-07,0.516667,0.646837,0.516667,210.661,0.516667,All
1.51913e-07,0.533333,0.647324,0.533333,225.938,0.533333,All
2.60046e-07,0.55,0.647374,0.55,228.164,0.55,All
3.26418e-07,0.566667,0.666822,0.566667,228.99,0.566667,All
4.81801e-07,0.583333,0.685117,0.583333,229.823,0.583333,All
6.15073e-07,0.6,0.721793,0.6,243.699,0.6,All
6.28536e-07,0.616667,0.749774,0.616667,251.089,0.616667,All
7.30808e-07,0.633333,0.804732,0.633333,251.638,0.633333,All
8.1051e-07,0.65,0.820076,0.65,258.26,0.65,All
8.14181e-07,0.666667,0.846857,0.666667,262.276,0.666667,All
9.66641e-07,0.683333,0.856474,0.683333,266.928,0.683333,All
1.10878e-06,0.7,0.898306,0.7,273.189,0.7,All
1.2514e-06,0.716667,0.966932,0.716667,275.408,0.716667,All
1.68957e-06,0.733333,0.998046,0.733333,284.11,0.733333,All
1.96182e-06,0.75,1.02207,0.75,290.113,0.75,All
2.75626e-06,0.766667,1.09252,0.766667,291.858,0.766667,All
2.90232e-06,0.783333,1.11998,0.783333,295.775,0.783333,All
2.95245e-06,0.8,1.65818,0.8,304.644,0.8,All
4.51698e-06,0.816667,1.87601,0.816667,311.944,0.816667,All
7.13275e-06,0.833333,1.91807,0.833333,315.99,0.833333,All
9.48962e-06,0.85,2.25463,0.85,327.911,0.85,All
1.36414e-05,0.866667,2.3723,0.866667,333.863,0.866667,All
1.70125e-05,0.883333,2.44807,0.883333,366.434,0.883333,All
3.28546e-05,0.9,2.47999,0.9,366.973,0.9,All
0.000125124,0.916667,2.53682,0.916667,380.429,0.916667,All
0.000809763,0.933333,2.69904,0.933333,414.622,0.933333,All
0.00184731,0.95,2.84581,0.95,418.703,0.95,All
0.0040676,0.966667,3.83353,0.966667,445.746,0.966667,All
0.0626994,0.983333,4.75916,0.983333,497.711,0.983333,All
0.161203,1,5.79709,1,530.086,1,All
