           ; parameter;  s.e._lin;      r.s.e._lin;pvalues_lin
   Tlag_pop;   0.21011;   0.05996;           28.53;        NaN
     ka_pop;   1.21024;   0.47954;           39.62;        NaN
      V_pop; 213.93015;  36.60014;           17.11;        NaN
  alpha_pop;   0.72345;   0.24463;           33.81;        NaN
   beta_pop;   0.73947;   0.06731;            9.10;        NaN
 omega_Tlag;   0.00000;   0.00000;            0.00;        NaN
   omega_ka;   1.13367;   0.26512;           23.39;        NaN
    omega_V;   0.53796;   0.11861;           22.05;        NaN
omega_alpha;   0.00000;   0.00000;            0.00;        NaN
 omega_beta;   0.00000;   0.00000;            0.00;        NaN
          a;   0.00000;   0.01014;1819710079236.62;        NaN
          b;   0.31736;   0.04171;           13.14;        NaN
