rep,id,tauD,tauS
1,1,7.75812661904165,7.72231088042452
2,1,7.00296196486716,10.5971151552148
3,1,7.10540633707787,12.350061947761
4,1,8.51213829674844,5.27675320262495
5,1,8.63959294487093,9.02374009536409
6,1,7.41553510427616,7.97641852528944
7,1,10.1402439941518,5.43324555846222
8,1,8.26935794814166,6.56023837155744
9,1,7.80141736927932,8.93076760709793
10,1,6.89262916178368,7.60657419958848
1,2,5.83778389617561,7.79382893428266
2,2,6.19104196457362,9.89694543303113
3,2,5.75562021703929,13.8466136884995
4,2,6.58631834743148,8.50543593480013
5,2,5.04010648911384,9.13929099584377
6,2,4.79268079644945,8.43387904171299
7,2,5.12826878139329,10.057926596016
8,2,4.6293537643438,12.7955774156456
9,2,5.73822840103275,9.4542181888974
10,2,4.41837795820794,9.43860051871549
1,3,12.5920663877706,12.5112764041523
2,3,13.4112595843715,9.08791513815046
3,3,11.3870651429753,13.42624333576
4,3,12.0199185077349,9.64443543975794
5,3,11.8223828806564,12.3511630366562
6,3,12.1066331553635,12.6146149343597
7,3,14.2141847739287,11.1130476851272
8,3,12.69779113917,10.0396857405147
9,3,12.9692279412809,9.76858091099885
10,3,12.8388595708199,12.7092162401772
1,4,7.4921846997706,7.26669022097169
2,4,11.1554853958308,6.19483934641184
3,4,9.91842648030869,9.61513497197081
4,4,7.89564717904941,9.72553608804309
5,4,9.00047144927384,8.60156309636998
6,4,7.72801655889558,7.80925000614589
7,4,8.73960649016188,8.78793116903856
8,4,7.87822538466928,8.11732779556325
9,4,9.80471038485544,9.07438230343479
10,4,7.29528682491817,9.57658904192351
1,5,7.91588565807512,9.25037564991062
2,5,8.50659022344851,12.7364299892524
3,5,9.41111588094211,11.7918027867591
4,5,9.17116080629834,16.2777697394591
5,5,7.7221587673652,10.3513987415995
6,5,9.0654849328195,9.99365369986664
7,5,10.7612778705923,8.4042716781562
8,5,8.80553931576797,14.1200521473254
9,5,9.0279532387,8.60798524631728
10,5,9.24424664406494,8.71489139711475
1,6,6.98209003911417,11.1477074229623
2,6,7.23788884832285,10.5194325473871
3,6,6.09570481206673,10.1528024856949
4,6,7.37616852711203,9.09973876484415
5,6,5.97036144993434,10.9341118935628
6,6,6.42137555347866,7.6908080585889
7,6,5.97739332417069,7.9999462616874
8,6,6.6403311642467,10.56837205866
9,6,6.59410342934525,6.78742338823474
10,6,7.01452117547486,9.45238410578959
1,7,10.0903349099836,11.2375939984994
2,7,8.49582643699427,13.19868230926
3,7,10.4778563157107,10.9816869886165
4,7,10.1276109000512,9.68395400900415
5,7,10.4404336790059,9.41863046691262
6,7,12.6446426843501,12.0326245832083
7,7,11.8188395757078,15.2525009322337
8,7,9.58351438335895,10.7803445961321
9,7,11.3212175827127,11.9212289150022
10,7,9.2084861699515,8.39919500445469
1,8,9.8904637876011,12.0484417289834
2,8,7.50232910418221,9.6097327250883
3,8,9.48592933553711,9.90479705646222
4,8,8.37453764990008,17.9725673920728
5,8,8.16980756549193,15.2993848942995
6,8,10.9541598369003,12.9788176757116
7,8,9.54144331216405,13.1961152307118
8,8,10.4253363231272,11.1321920619666
9,8,10.1302568228094,14.5480854595982
10,8,9.54065908997516,7.61107297032251
1,9,7.94565638755359,10.7105830538739
2,9,9.79940413594373,10.0925498339368
3,9,8.36495250110889,10.5499893307644
4,9,8.86369638655015,8.22089126467614
5,9,9.5920639224592,12.2846413822643
6,9,8.53874214933036,7.39062231247447
7,9,9.44236337450285,14.8221871453988
8,9,9.26202034078851,11.7893039069995
9,9,8.11502916253765,12.2960971255479
10,9,10.7180123179455,15.2106786703641
1,10,12.3830256670624,12.4077881429732
2,10,10.174887554779,10.6397528616008
3,10,11.9819348165202,9.92317738324002
4,10,12.4460180519717,10.9624542560923
5,10,11.5805317099951,7.7387356555212
6,10,13.1284144448228,8.14920027085314
7,10,13.6537264632124,12.5183534088547
8,10,12.6765749353254,8.02933518978229
9,10,11.984739852027,9.79916860224439
10,10,11.2472417405058,10.2854239483533
