rep,id,eta_ka,eta_V,eta_Cl
1,1,-0.20508532939882,-0.557788870120152,-0.473163111498536
2,1,0.434709578537862,0.137057931504296,-0.38287558982395
1,2,-0.561051650272227,0.372128540509475,0.610397557058903
2,2,0.359376319977784,0.650674332419659,0.543306781981309
1,3,1.65912868592463,0.157109192870008,0.279057379259185
2,3,-0.0507222670672751,0.0715277272869743,0.277897665451985
1,4,0.602257230688453,0.00743481886399744,-0.0395122866020742
2,4,1.73751265353245,0.0328529266289048,-0.14627220783584
1,5,-0.0777365743848062,-0.191819873594164,0.279236909281878
2,5,1.29374427983971,0.506928182741157,0.420869370177596
1,6,1.02974648663559,0.0507221797323885,0.573808479607225
2,6,1.86102428235834,0.196244788231817,0.644038450467538
1,7,-0.0689552957474049,-0.349325340422311,0.258295809895651
2,7,1.64349274041077,0.293390345052249,0.536457087239576
1,8,-0.202804781509172,0.384528485561883,0.660865680627982
2,8,-0.632513713470247,0.177088398071174,0.700622379509306
1,9,-0.504342571629405,-0.102072324591935,0.063161463538432
2,9,-0.296052708361912,-0.0160028789613014,-0.80145661266317
1,10,-0.664099990250789,0.72218547586366,-1.1283719982081
2,10,-0.640789862216606,0.800262945949877,-1.05751642015276
1,11,2.33541954107946,0.482692625347056,0.107477052387235
2,11,0.369451118790055,-0.224753403946287,0.159648341045058
1,12,-0.984136016654511,0.236624438161978,0.77563080435497
2,12,-1.06984649216282,-0.24985826629169,0.503575397166313
1,13,0.15392019429874,0.469379552106861,0.760322682423181
2,13,-0.612712600103959,-0.0387011539554254,0.49017809712785
1,14,-0.487931392730777,-0.025601605816874,0.620383281017915
2,14,0.336167162563386,0.177304535578215,0.507139939223003
1,15,1.14108414266831,0.171629594330374,-0.00853986702554677
2,15,0.708298363171173,0.042578042908298,0.151232352220401
1,16,-0.994752293531769,-0.534900342068207,-0.278862676561019
2,16,-0.377187002645047,0.0408200198539204,-0.161818978831191
1,17,-1.08828393245499,-0.0394488153942105,0.21463667605967
2,17,-0.804576098379378,-0.00445547093968823,0.144357912326916
1,18,1.60364907662371,0.00557594987739085,-0.347800652411322
2,18,0.855404407959454,0.0588587705757861,-0.0784904975530735
1,19,0.50895322434603,-0.0218008844945894,-0.0189268581098324
2,19,0.840978860863594,-0.0740105919685017,-0.292668214772112
1,20,-0.818605290059478,-0.0432716570900915,-0.351011070137778
2,20,-0.743254552999192,-0.193997099428573,-0.303676413209153
1,21,0.0281919917900288,-0.417055803971177,-0.201348838698942
2,21,0.470686448190742,0.131147785200906,-0.184247886610608
1,22,-0.637044632425963,-0.317529122977684,-0.117411198216227
2,22,-0.644078891712151,0.025285624768161,-0.122568009656736
1,23,1.69983794371652,0.087926747285672,-0.34661435809964
2,23,-0.212704215601209,-0.0473754902582231,-0.220587127627008
1,24,-1.16848213329805,-0.0750271272774312,0.335230645990882
2,24,0.21855474088421,0.168810063323211,-0.211621494257802
1,25,-1.58450643880017,-0.0205717889768686,0.120377607334502
2,25,-0.46434376279623,-0.105985164757488,-0.399622258382041
1,26,-0.824609813168986,-0.31787010492051,-0.0551865507187289
2,26,0.924465744718017,-0.590779805193023,-0.538817152724978
1,27,0.505909842687133,-0.446526781623829,-0.394881650540707
2,27,-0.681041082345327,-0.119851995380701,0.00873154939890591
1,28,-1.14247589322935,-0.321470258507984,0.145857948825647
2,28,-0.661139787427894,-0.50727815086761,-0.0485758196645824
1,29,-0.840958196491826,0.266672443201251,0.521133155922092
2,29,0.728096826023692,-0.102540662791441,0.075218197756985
1,30,-0.173340256363661,-0.593028709331859,-0.28668490874039
2,30,-0.353353392281006,-0.260989940681998,-0.588292240811275
1,31,0.0892741535031776,0.0318936423998868,0.0899681636669477
2,31,-0.36628182110867,-0.284361941926775,-0.142182673817817
1,32,-0.819808869943119,0.0147969705127879,-0.583932473648385
2,32,-0.354949536264915,0.254066677540868,-0.258161257083953
