id,eta_p0_SAEM,eta_alpha_SAEM,eta_tau_SAEM
1,0.000000,-0.215850,0.597526
2,0.000000,0.202300,1.300444
3,0.000000,-0.522436,4.028248
4,0.000000,0.241796,-9.689861
5,0.000000,-0.195623,5.147703
6,0.000000,0.675175,-13.089011
7,0.000000,0.087096,-9.056999
8,0.000000,0.104975,-13.589314
9,0.000000,0.194521,-8.568156
10,0.000000,-0.628296,7.993514
11,0.000000,0.806858,-8.369874
12,0.000000,0.021130,3.652647
13,0.000000,0.437859,-2.528176
14,0.000000,0.780512,-5.378644
15,0.000000,0.311558,8.759158
16,0.000000,-0.052788,-12.926994
17,0.000000,0.276666,-0.945604
18,0.000000,-0.012458,-14.043156
19,0.000000,0.063504,4.163062
20,0.000000,0.006246,-7.345087
21,0.000000,0.082164,-5.644920
22,0.000000,-0.925244,11.751867
23,0.000000,-0.291932,-1.991207
24,0.000000,-1.154569,13.957673
25,0.000000,-0.244827,3.936554
26,0.000000,0.591692,2.069836
27,0.000000,-0.301425,-2.215740
28,0.000000,0.261826,-0.560249
29,0.000000,0.623647,5.199277
30,0.000000,-0.415202,-2.386224
31,0.000000,0.494763,-8.594357
32,0.000000,0.377131,-0.248229
33,0.000000,-0.246191,2.262981
34,0.000000,0.140021,-5.505072
35,0.000000,0.130501,1.275131
36,0.000000,-0.035525,-3.548208
37,0.000000,-0.352446,-6.739623
38,0.000000,0.616937,-5.961292
39,0.000000,-0.076142,0.971358
40,0.000000,0.607209,-8.064674
41,0.000000,-0.335469,-0.870686
42,0.000000,0.920954,-4.015242
43,0.000000,0.458668,-1.246907
44,0.000000,0.098002,-12.038609
45,0.000000,0.487978,-1.695510
46,0.000000,0.163383,-4.694963
47,0.000000,0.431599,-1.613416
48,0.000000,-0.331513,4.470693
49,0.000000,0.376224,2.420431
50,0.000000,0.580320,-1.497722
51,0.000000,0.096055,-3.538823
52,0.000000,0.408638,-6.114698
53,0.000000,0.354961,-6.212712
54,0.000000,-0.060927,2.271006
55,0.000000,0.643837,-9.417771
56,0.000000,0.506222,-1.121652
57,0.000000,0.067755,-0.964541
58,0.000000,-0.517602,-7.766990
59,0.000000,0.131058,5.701658
60,0.000000,0.663912,-0.765551
61,0.000000,0.564748,-8.950364
62,0.000000,0.809316,8.590649
63,0.000000,-0.619556,-3.646203
