"","iteration","prec","algo"
"1",1000,2779,"IEM"
"2",2000,8394,"IEM"
"3",3000,10349,"IEM"
"4",4000,19040,"IEM"
"5",5000,21875,"IEM"
"6",6000,23091,"IEM"
"7",7000,26868,"IEM"
"8",8000,33096,"IEM"
"9",9000,31985,"IEM"
"10",1000,770,"FI-EM"
"11",2000,1811,"FI-EM"
"12",3000,1955,"FI-EM"
"13",4000,3547,"FI-EM"
"14",5000,3108,"FI-EM"
"15",6000,3129,"FI-EM"
"16",7000,3961,"FI-EM"
"17",8000,4141,"FI-EM"
"18",9000,3863,"FI-EM"
"19",1000,1220,"SVR-EM"
"20",2000,2799,"SVR-EM"
"21",3000,3185,"SVR-EM"
"22",4000,5150,"SVR-EM"
"23",5000,5563,"SVR-EM"
"24",6000,3292,"SVR-EM"
"25",7000,5516,"SVR-EM"
"26",8000,8779,"SVR-EM"
"27",9000,9727,"SVR-EM"
"28",1000,7000,"EM"
"29",2000,20000,"EM"
"30",3000,27000,"EM"
"31",4000,44000,"EM"
"32",5000,50000,"EM"
"33",6000,54000,"EM"
"34",7000,63000,"EM"
"35",8000,80000,"EM"
"36",9000,81000,"EM"
"37",1000,464.158883361278,"f(n) = n^(2/3)"
"38",2000,736.806299728077,"f(n) = n^(2/3)"
"39",3000,965.489384605629,"f(n) = n^(2/3)"
"40",4000,1169.60709528515,"f(n) = n^(2/3)"
"41",5000,1357.20880829745,"f(n) = n^(2/3)"
"42",6000,1532.61886478711,"f(n) = n^(2/3)"
"43",7000,1698.49925224181,"f(n) = n^(2/3)"
"44",8000,1856.63553344511,"f(n) = n^(2/3)"
"45",9000,2008.29885024651,"f(n) = n^(2/3)"
"46",1000,5000,"f(n) = n"
"47",2000,10000,"f(n) = n"
"48",3000,15000,"f(n) = n"
"49",4000,20000,"f(n) = n"
"50",5000,25000,"f(n) = n"
"51",6000,30000,"f(n) = n"
"52",7000,35000,"f(n) = n"
"53",8000,40000,"f(n) = n"
"54",9000,45000,"f(n) = n"
