"","datasize","algo","variable","iter"
"1",1000,"EM","X1",7000
"2",2000,"EM","X1",20000
"3",3000,"EM","X1",27000
"4",4000,"EM","X1",44000
"5",5000,"EM","X1",50000
"6",6000,"EM","X1",54000
"7",7000,"EM","X1",63000
"8",8000,"EM","X1",80000
"9",9000,"EM","X1",81000
"10",10000,"EM","X1",90000
"11",1000,"EM","X2",7000
"12",2000,"EM","X2",20000
"13",3000,"EM","X2",27000
"14",4000,"EM","X2",44000
"15",5000,"EM","X2",50000
"16",6000,"EM","X2",54000
"17",7000,"EM","X2",63000
"18",8000,"EM","X2",80000
"19",9000,"EM","X2",81000
"20",10000,"EM","X2",90000
"21",1000,"EM","X3",7000
"22",2000,"EM","X3",20000
"23",3000,"EM","X3",27000
"24",4000,"EM","X3",44000
"25",5000,"EM","X3",50000
"26",6000,"EM","X3",54000
"27",7000,"EM","X3",63000
"28",8000,"EM","X3",80000
"29",9000,"EM","X3",81000
"30",10000,"EM","X3",90000
"31",1000,"EM","X4",7000
"32",2000,"EM","X4",20000
"33",3000,"EM","X4",27000
"34",4000,"EM","X4",44000
"35",5000,"EM","X4",50000
"36",6000,"EM","X4",54000
"37",7000,"EM","X4",63000
"38",8000,"EM","X4",80000
"39",9000,"EM","X4",81000
"40",10000,"EM","X4",90000
"41",1000,"EM","X5",7000
"42",2000,"EM","X5",20000
"43",3000,"EM","X5",27000
"44",4000,"EM","X5",44000
"45",5000,"EM","X5",50000
"46",6000,"EM","X5",54000
"47",7000,"EM","X5",63000
"48",8000,"EM","X5",80000
"49",9000,"EM","X5",81000
"50",10000,"EM","X5",90000
"51",1000,"IEM","X1",2779
"52",2000,"IEM","X1",8394
"53",3000,"IEM","X1",10349
"54",4000,"IEM","X1",19040
"55",5000,"IEM","X1",21875
"56",6000,"IEM","X1",23091
"57",7000,"IEM","X1",26868
"58",8000,"IEM","X1",33096
"59",9000,"IEM","X1",31985
"60",10000,"IEM","X1",36635
"61",1000,"IEM","X2",2779
"62",2000,"IEM","X2",8394
"63",3000,"IEM","X2",10349
"64",4000,"IEM","X2",19040
"65",5000,"IEM","X2",21875
"66",6000,"IEM","X2",23091
"67",7000,"IEM","X2",26868
"68",8000,"IEM","X2",33096
"69",9000,"IEM","X2",31985
"70",10000,"IEM","X2",36635
"71",1000,"IEM","X3",2779
"72",2000,"IEM","X3",8394
"73",3000,"IEM","X3",10349
"74",4000,"IEM","X3",19040
"75",5000,"IEM","X3",21875
"76",6000,"IEM","X3",23091
"77",7000,"IEM","X3",26868
"78",8000,"IEM","X3",33096
"79",9000,"IEM","X3",31985
"80",10000,"IEM","X3",36635
"81",1000,"IEM","X4",2779
"82",2000,"IEM","X4",8394
"83",3000,"IEM","X4",10349
"84",4000,"IEM","X4",19040
"85",5000,"IEM","X4",21875
"86",6000,"IEM","X4",23091
"87",7000,"IEM","X4",26868
"88",8000,"IEM","X4",33096
"89",9000,"IEM","X4",31985
"90",10000,"IEM","X4",36635
"91",1000,"IEM","X5",2779
"92",2000,"IEM","X5",8394
"93",3000,"IEM","X5",10349
"94",4000,"IEM","X5",19040
"95",5000,"IEM","X5",21875
"96",6000,"IEM","X5",23091
"97",7000,"IEM","X5",26868
"98",8000,"IEM","X5",33096
"99",9000,"IEM","X5",31985
"100",10000,"IEM","X5",36635
"101",1000,"OEMVR","X1",427
"102",2000,"OEMVR","X1",773
"103",3000,"OEMVR","X1",1845
"104",4000,"OEMVR","X1",2925
"105",5000,"OEMVR","X1",3647
"106",6000,"OEMVR","X1",2553
"107",7000,"OEMVR","X1",3255
"108",8000,"OEMVR","X1",2088
"109",9000,"OEMVR","X1",2416
"110",10000,"OEMVR","X1",2750
"111",1000,"OEMVR","X2",626
"112",2000,"OEMVR","X2",1790
"113",3000,"OEMVR","X2",1429
"114",4000,"OEMVR","X2",1377
"115",5000,"OEMVR","X2",1683
"116",6000,"OEMVR","X2",1909
"117",7000,"OEMVR","X2",2445
"118",8000,"OEMVR","X2",2575
"119",9000,"OEMVR","X2",2421
"120",10000,"OEMVR","X2",2542
"121",1000,"OEMVR","X3",536
"122",2000,"OEMVR","X3",925
"123",3000,"OEMVR","X3",1350
"124",4000,"OEMVR","X3",1357
"125",5000,"OEMVR","X3",1925
"126",6000,"OEMVR","X3",3665
"127",7000,"OEMVR","X3",3258
"128",8000,"OEMVR","X3",2923
"129",9000,"OEMVR","X3",3226
"130",10000,"OEMVR","X3",3448
"131",1000,"OEMVR","X4",309
"132",2000,"OEMVR","X4",967
"133",3000,"OEMVR","X4",944
"134",4000,"OEMVR","X4",2175
"135",5000,"OEMVR","X4",1677
"136",6000,"OEMVR","X4",2349
"137",7000,"OEMVR","X4",3782
"138",8000,"OEMVR","X4",3173
"139",9000,"OEMVR","X4",2982
"140",10000,"OEMVR","X4",2659
"141",1000,"OEMVR","X5",923
"142",2000,"OEMVR","X5",1441
"143",3000,"OEMVR","X5",1224
"144",4000,"OEMVR","X5",1701
"145",5000,"OEMVR","X5",2941
"146",6000,"OEMVR","X5",1875
"147",7000,"OEMVR","X5",4294
"148",8000,"OEMVR","X5",3026
"149",9000,"OEMVR","X5",2414
"150",10000,"OEMVR","X5",2571
"151",1000,"SAGA","X1",399
"152",2000,"SAGA","X1",971
"153",3000,"SAGA","X1",1414
"154",4000,"SAGA","X1",2344
