"","iteration","prec","algo"
"1",1000,2779,"IEM"
"2",2000,8394,"IEM"
"3",3000,10349,"IEM"
"4",4000,19040,"IEM"
"5",5000,21875,"IEM"
"6",6000,23091,"IEM"
"7",7000,26868,"IEM"
"8",8000,33096,"IEM"
"9",9000,31985,"IEM"
"10",10000,36635,"IEM"
"11",1000,769,"FI-EM"
"12",2000,1722,"FI-EM"
"13",3000,1918,"FI-EM"
"14",4000,3458,"FI-EM"
"15",5000,3819,"FI-EM"
"16",6000,3122,"FI-EM"
"17",7000,3907,"FI-EM"
"18",8000,4737,"FI-EM"
"19",9000,4134,"FI-EM"
"20",10000,4344,"FI-EM"
"21",1000,1165,"SVR-EM"
"22",2000,2727,"SVR-EM"
"23",3000,3214,"SVR-EM"
"24",4000,5263,"SVR-EM"
"25",5000,5856,"SVR-EM"
"26",6000,6509,"SVR-EM"
"27",7000,7440,"SVR-EM"
"28",8000,8669,"SVR-EM"
"29",9000,8073,"SVR-EM"
"30",10000,4724,"SVR-EM"
"31",1000,7000,"EM"
"32",2000,20000,"EM"
"33",3000,27000,"EM"
"34",4000,44000,"EM"
"35",5000,50000,"EM"
"36",6000,54000,"EM"
"37",7000,63000,"EM"
"38",8000,80000,"EM"
"39",9000,81000,"EM"
"40",10000,90000,"EM"
"41",1000,464.158883361278,"f(n) = n^(2/3)"
"42",2000,736.806299728077,"f(n) = n^(2/3)"
"43",3000,965.489384605629,"f(n) = n^(2/3)"
"44",4000,1169.60709528515,"f(n) = n^(2/3)"
"45",5000,1357.20880829745,"f(n) = n^(2/3)"
"46",6000,1532.61886478711,"f(n) = n^(2/3)"
"47",7000,1698.49925224181,"f(n) = n^(2/3)"
"48",8000,1856.63553344511,"f(n) = n^(2/3)"
"49",9000,2008.29885024651,"f(n) = n^(2/3)"
"50",10000,2154.43469003188,"f(n) = n^(2/3)"
"51",1000,5000,"f(n) = n"
"52",2000,10000,"f(n) = n"
"53",3000,15000,"f(n) = n"
"54",4000,20000,"f(n) = n"
"55",5000,25000,"f(n) = n"
"56",6000,30000,"f(n) = n"
"57",7000,35000,"f(n) = n"
"58",8000,40000,"f(n) = n"
"59",9000,45000,"f(n) = n"
"60",10000,50000,"f(n) = n"
