rep,id,eta_Tlag,eta_Tk0,eta_Vol,eta_Cl,eta_ke0,eta_IC50,eta_gamma,eta_s,eta_d,eta_beta,eta_delta,eta_p,eta_c
1,1,2.14353296128673,-0.686848459585793,0,0,0,0,0,0,0,0,0,0,0
1,2,1.75759107759453,-0.909710146121903,0,0,0,0,0,0,0,0,0,0,0
1,3,-1.27183484366091,0.663313509289678,0,0,0,0,0,0,0,0,0,0,0
1,4,0.906468566234822,-0.103230114428211,0,0,0,0,0,0,0,0,0,0,0
1,5,-0.85188721750111,0.334315745150534,0,0,0,0,0,0,0,0,0,0,0
1,6,-0.900502815781241,-1.03760610215814,0,0,0,0,0,0,0,0,0,0,0
1,7,3.5717450516795,0.198471895245402,0,0,0,0,0,0,0,0,0,0,0
1,8,1.02726457780365,0.197747646452388,0,0,0,0,0,0,0,0,0,0,0
1,9,-3.45165592529106,0.318707270839641,0,0,0,0,0,0,0,0,0,0,0
1,10,5.0881896665378,0.00222010630305847,0,0,0,0,0,0,0,0,0,0,0
1,11,-1.28979708615525,0.42556754881623,0,0,0,0,0,0,0,0,0,0,0
1,12,-1.71590194605104,0.487955295386991,0,0,0,0,0,0,0,0,0,0,0
1,13,5.05222276751254,0.149538521232061,0,0,0,0,0,0,0,0,0,0,0
1,14,11.014856290987,0.609896241006844,0,0,0,0,0,0,0,0,0,0,0
1,15,2.05481823992788,-0.27945963690941,0,0,0,0,0,0,0,0,0,0,0
1,16,4.75821494580577,-0.46059208850901,0,0,0,0,0,0,0,0,0,0,0
1,17,1.10909896965128,-0.04125131384512,0,0,0,0,0,0,0,0,0,0,0
1,18,2.39742623352239,0.454264372607986,0,0,0,0,0,0,0,0,0,0,0
1,19,-0.70219879567399,0.228864412227929,0,0,0,0,0,0,0,0,0,0,0
1,20,-2.7789086164566,1.00071011228753,0,0,0,0,0,0,0,0,0,0,0
1,21,1.61707919906987,0.157526229554525,0,0,0,0,0,0,0,0,0,0,0
