id,eta_p0_SAEM,eta_alpha_SAEM,eta_tau_SAEM
1,0.000000,-0.217339,0.122391
2,0.000000,0.196154,2.910737
3,0.000000,-0.520839,1.402056
4,0.000000,0.232193,-7.991966
5,0.000000,-0.207215,4.784882
6,0.000000,0.633251,-10.316243
7,0.000000,0.082755,-7.974156
8,0.000000,0.097763,-12.432854
9,0.000000,0.189769,-7.027857
10,0.000000,-0.640254,4.442533
11,0.000000,0.814539,-5.017965
12,0.000000,0.006630,4.432843
13,0.000000,0.435656,-0.076563
14,0.000000,0.780275,-2.040770
15,0.000000,0.315578,10.761142
16,0.000000,-0.051464,-12.426383
17,0.000000,0.275613,0.950499
18,0.000000,-0.010490,-13.370830
19,0.000000,0.058256,5.174985
20,0.000000,-0.009105,-6.697004
21,0.000000,0.082147,-4.546301
22,0.000000,-0.952716,5.154339
23,0.000000,-0.298432,-2.933803
24,0.000000,-1.200447,4.177978
25,0.000000,-0.238087,3.336170
26,0.000000,0.633780,4.850894
27,0.000000,-0.306756,-3.198559
28,0.000000,0.263278,1.317203
29,0.000000,0.615482,8.162592
30,0.000000,-0.413476,-4.085756
31,0.000000,0.494659,-6.001560
32,0.000000,0.365445,1.940833
33,0.000000,-0.259874,1.657387
34,0.000000,0.138609,-4.143434
35,0.000000,0.129501,2.613716
36,0.000000,-0.044291,-3.009842
37,0.000000,-0.353694,-8.050263
38,0.000000,0.623434,-2.899761
39,0.000000,-0.076256,1.306261
40,0.000000,0.599441,-5.127185
41,0.000000,-0.336721,-2.062103
42,0.000000,0.914970,-0.372273
43,0.000000,0.458197,1.277138
44,0.000000,0.098583,-10.824297
45,0.000000,0.493259,0.948273
46,0.000000,0.163413,-3.207048
47,0.000000,0.431401,0.816721
48,0.000000,-0.337833,3.289793
49,0.000000,0.386811,4.640662
50,0.000000,0.575786,1.331822
51,0.000000,0.097355,-2.335129
52,0.000000,0.412544,-3.732712
53,0.000000,0.441355,-3.363259
54,0.000000,-0.060291,2.667406
55,0.000000,0.632823,-6.435374
56,0.000000,0.506217,1.547283
57,0.000000,0.061610,0.032993
58,0.000000,-0.529577,-10.453999
59,0.000000,0.131029,6.959386
60,0.000000,0.653081,2.282092
61,0.000000,0.577576,-6.082817
62,0.000000,0.804798,11.997108
63,0.000000,-0.630199,-7.242869
64,0.000000,0.048355,1.603646
65,0.000000,0.044339,8.625230
66,0.000000,0.600906,1.401494
67,0.000000,-0.021636,15.768502
68,0.000000,-0.442099,3.829433
69,0.000000,-0.223761,5.162536
70,0.000000,-0.532437,3.794852
71,0.000000,-0.871450,3.983700
72,0.000000,-0.753851,-4.425447
73,0.000000,0.095568,-0.691756
74,0.000000,0.227316,5.504500
75,0.000000,-0.664108,-1.024244
76,0.000000,0.139740,3.071378
77,0.000000,0.259941,-7.652083
78,0.000000,0.571621,5.599897
79,0.000000,-0.421339,-3.748355
80,0.000000,0.216246,17.373091
81,0.000000,-0.416277,-8.142499
82,0.000000,-0.281565,0.069197
83,0.000000,-0.225532,-0.481781
84,0.000000,-0.378569,-7.099543
85,0.000000,-1.001576,-2.441391
86,0.000000,0.288957,4.353651
87,0.000000,0.618185,-6.726608
88,0.000000,-0.052918,-0.778493
89,0.000000,-0.051331,-12.735643
90,0.000000,0.359534,7.982360
91,0.000000,-0.071647,8.089078
92,0.000000,-0.465706,-9.058812
93,0.000000,-0.122280,-9.613796
94,0.000000,0.034274,8.639042
95,0.000000,-0.107023,-6.556230
96,0.000000,0.200492,-3.630417
97,0.000000,0.023061,1.140952
98,0.000000,0.419641,-7.308635
99,0.000000,-0.096855,6.264582
