rep,id,lambda,eta_lambda
1,1,0.223989533244665,-0.753320114612037
1,2,3.85560452167692,2.0923636498758
1,3,0.342692241822779,-0.328086648557552
1,4,0.25537871785941,-0.62217182732586
1,5,0.549162039750008,0.14347411354261
1,6,0.493279626946196,0.0361567690766144
1,7,0.345674287267489,-0.31942247337375
1,8,0.0893771530930264,-1.67205434751369
1,9,0.0551088848251451,-2.15560848653421
1,10,0.611703399533268,0.251328084961234
1,11,0.974954507143565,0.717471371780295
1,12,1.01441810270744,0.757150990463635
1,13,1.27468046960228,0.985531375318388
1,14,1.00122110937071,0.744056204616138
1,15,0.0493797411704626,-2.26537919647216
1,16,0.233984001021171,-0.709666697473186
1,17,0.413644651346167,-0.139912163621632
1,18,0.227215030728083,-0.739022597756673
1,19,0.0719855735693804,-1.88845370694109
1,20,3.25406829598636,1.92274183708757
1,21,2.07212516061196,1.47141056846674
1,22,0.441751184594626,-0.0741726459977473
1,23,0.510525720177373,0.0705215798724375
1,24,0.237909843379339,-0.693027646214452
1,25,0.174129739892422,-1.00511878585397
1,26,0.0332479190198047,-2.66092725951629
1,27,0.142445460518834,-1.20596024554254
1,28,0.700225688267855,0.386483256102069
1,29,0.167379863310105,-1.04465357882877
1,30,0.64312489050409,0.301419497543232
1,31,1.96832399094653,1.42001825481921
1,32,0.129768649743832,-1.29916619108878
1,33,0.0585441533052874,-2.09513821188198
1,34,0.255811023055506,-0.62048045809618
1,35,0.405009264764405,-0.161009495982656
1,36,8.03520857292505,2.82666879709484
1,37,1.02645031950026,0.768942398544769
1,38,0.7434744098995,0.446414908091811
1,39,2.26312027854364,1.55958035547347
1,40,0.183404151981644,-0.953227240282666
1,41,0.494764526479976,0.0391625065157137
1,42,0.492997266946714,0.0355841915196531
1,43,0.535645612000682,0.118553331970886
1,44,0.598835834904295,0.230068056495375
1,45,0.297099968880874,-0.470850761063417
1,46,0.345539655289739,-0.319812025641616
1,47,0.688223253776987,0.369193843275493
1,48,0.211518063663792,-0.810609036555894
1,49,0.165054258571392,-1.0586451791178
1,50,1.83303306905067,1.3488078498321
1,51,0.374196328270235,-0.24013883720928
1,52,1.19506469934087,0.921036165818803
1,53,0.73680722161423,0.437406847426272
1,54,0.179770491777618,-0.973238447141096
1,55,1.11914972098851,0.85540505948996
1,56,0.132151006385841,-1.28097418228653
1,57,0.142697932373923,-1.20418940373201
1,58,0.555896014526088,0.155661813736678
1,59,0.340251343709581,-0.335234848082069
1,60,0.124049700496332,-1.34423714303276
1,61,0.17948212758739,-0.974843803576177
1,62,1.4199673917631,1.09346974799549
1,63,0.163509765890432,-1.0680467200188
1,64,1.11195548643598,0.848956005036789
1,65,0.144222678660209,-1.19356095404198
1,66,0.313480738694421,-0.417181520174776
1,67,0.393171481608423,-0.190673582117836
1,68,0.638430714064315,0.294093717192264
1,69,0.0691500830080518,-1.92864018027332
1,70,0.144594125226928,-1.19098875764262
1,71,1.52787274834104,1.16671224758795
1,72,0.398386648065714,-0.177496427531476
1,73,1.15604394251152,0.887839622274047
1,74,0.140764878820463,-1.21782846637605
1,75,1.79036999196938,1.32525813811061
1,76,0.407118717834916,-0.155814605867624
1,77,2.31278378099461,1.58128773917432
1,78,2.21044794814503,1.53603102665196
1,79,0.307768551289318,-0.435571395153552
1,80,6.51526167654958,2.61698321520499
1,81,0.198886657198297,-0.872184338144095
1,82,0.313076323922955,-0.418472431575367
1,83,3.46452280930713,1.98541074597938
1,84,1.16612142520893,0.896519060957474
1,85,0.686541756208702,0.366747609345205
1,86,0.314400093229259,-0.414253081703307
1,87,0.331460599636201,-0.361410491019669
1,88,0.641904476172361,0.299520062821661
1,89,0.653431769585012,0.317318681150335
1,90,1.50299844582262,1.15029791691325
1,91,0.475619180198927,-0.00030194636058678
1,92,0.144476365282709,-1.19180350667166
1,93,0.318706153344453,-0.400649909913439
1,94,2.54359255799527,1.67641331482358
1,95,1.48360332050004,1.13730964496089
1,96,0.164379141201906,-1.0627438425506
1,97,0.376815182888946,-0.233164602607364
1,98,0.334477781548657,-0.352348984300822
1,99,1.58538139911534,1.20366084893218
1,100,0.25897240324758,-0.608197933934125
