           ; parameter;  s.e._lin;    r.s.e._lin;pvalues_lin
   Tlag_pop;   0.12067;   0.08216;         68.08;        NaN
     ka_pop;   0.96664;   0.34817;         36.02;        NaN
      V_pop; 211.22801;  35.71308;         16.91;        NaN
  alpha_pop;   0.68310;   0.27083;         39.65;        NaN
   beta_pop;   0.75262;   0.07843;         10.42;        NaN
 omega_Tlag;   0.00315; 256.75642;    8155962.91;        NaN
   omega_ka;   0.97925;   0.23360;         23.85;        NaN
    omega_V;   0.51884;   0.11547;         22.26;        NaN
omega_alpha;   0.00000;   0.00000;          0.00;        NaN
 omega_beta;   0.00000;   0.00000;          0.00;        NaN
          a;   0.00000;   0.01097;42494818974.95;        NaN
          b;   0.32672;   0.04330;         13.25;        NaN
