rep,id,s,d,beta,delta,p,c,eta,epsilon
1,1,13505.5146179283,0.380650068307655,6.43567995228104e-06,0.05,20,5,0.9,0.7
1,2,149174.976618896,0.854505308679818,8.89783360142822e-06,0.05,20,5,0.9,0.7
1,3,1838.6190276424,0.372163419662778,1.69013625854339e-05,0.05,20,5,0.9,0.7
1,4,4893.26856322919,0.0726631727339073,2.51908449586107e-05,0.05,20,5,0.9,0.7
1,5,17865.2249275176,1.21019582514329,5.52225753320862e-06,0.05,20,5,0.9,0.7
1,6,22371.8431604081,2.19489204717847,9.45307036043297e-06,0.05,20,5,0.9,0.7
1,7,3219.22606276797,0.453207348071817,1.21540051723305e-05,0.05,20,5,0.9,0.7
1,8,2335.4355707435,0.0271069201614371,8.00915232751817e-06,0.05,20,5,0.9,0.7
1,9,110804.530388997,0.901561464955862,8.87023237229407e-06,0.05,20,5,0.9,0.7
1,10,1559.41657550779,0.303501294741972,7.0001921932453e-06,0.05,20,5,0.9,0.7
1,11,880.072389062329,0.3415808592583,7.33545507740408e-06,0.05,20,5,0.9,0.7
1,12,55.0669200540987,0.031475532325021,9.4601161333676e-06,0.05,20,5,0.9,0.7
1,13,1076.71070190151,0.0508898023308522,7.28717030721367e-06,0.05,20,5,0.9,0.7
1,14,864.442822112645,0.607712777230582,1.83630630135111e-05,0.05,20,5,0.9,0.7
1,15,22086.9349161432,0.254181656809371,2.39333169701914e-05,0.05,20,5,0.9,0.7
1,16,2079.97683932353,1.1243527814822,7.80421761154091e-06,0.05,20,5,0.9,0.7
1,17,7036.00134446457,1.27570506280439,8.76233285423516e-06,0.05,20,5,0.9,0.7
1,18,25266.0001222459,1.5309174026212,1.1011411707529e-05,0.05,20,5,0.9,0.7
1,19,53226.6423287961,0.222719657666671,4.05492827918687e-06,0.05,20,5,0.9,0.7
1,20,31773.8104796165,0.240985865184105,1.05144001993296e-05,0.05,20,5,0.9,0.7
1,21,28774.0071474796,2.18518395770117,1.41357831800215e-05,0.05,20,5,0.9,0.7
1,22,8265.06686721898,0.114973237428333,3.37302304449802e-05,0.05,20,5,0.9,0.7
1,23,24067.7146876295,0.849590352719591,1.08015301253297e-05,0.05,20,5,0.9,0.7
1,24,25967.4978332802,0.0533970677700429,1.19271518249995e-05,0.05,20,5,0.9,0.7
1,25,592.542036638137,0.167109739759827,2.69407274451672e-05,0.05,20,5,0.9,0.7
1,26,937.877237748415,0.346656480809024,1.20776323202738e-05,0.05,20,5,0.9,0.7
1,27,3103.34999605103,0.349803359810474,1.40126356526665e-05,0.05,20,5,0.9,0.7
1,28,1021.65060376638,0.119208677378013,1.23499702263239e-05,0.05,20,5,0.9,0.7
1,29,4507.7059756414,0.820419722650421,1.4046527304803e-05,0.05,20,5,0.9,0.7
1,30,6444.61425290886,0.136375521964287,3.0034956914008e-05,0.05,20,5,0.9,0.7
1,31,5516.36607732764,0.211555198028687,1.6003145340182e-05,0.05,20,5,0.9,0.7
1,32,16101.2369570171,1.24222886649834,1.24869387203058e-05,0.05,20,5,0.9,0.7
1,33,7451.19442794752,0.902407620459336,1.20967280171009e-05,0.05,20,5,0.9,0.7
1,34,13630.2650276492,0.0528753584928413,1.77202280902262e-05,0.05,20,5,0.9,0.7
1,35,4723.11854736552,2.10356861234078,1.24342439481916e-05,0.05,20,5,0.9,0.7
1,36,31705.2668287899,1.8143485854857,1.10264791766715e-05,0.05,20,5,0.9,0.7
1,37,751.647059807402,2.29291838371347,4.28925329997982e-05,0.05,20,5,0.9,0.7
1,38,7471.29127914452,1.93355852100888,4.52740587207647e-06,0.05,20,5,0.9,0.7
1,39,1914.52138096536,0.221496771464562,6.15919988109306e-06,0.05,20,5,0.9,0.7
1,40,21711.290230392,1.98618575080504,1.12406125071083e-05,0.05,20,5,0.9,0.7
1,41,24875.3768614748,1.95360540939847,2.28190660760901e-05,0.05,20,5,0.9,0.7
1,42,11188.5222227951,1.20223573687891,8.86632220855904e-06,0.05,20,5,0.9,0.7
1,43,2444.75273246512,2.7550385254438,1.55587508316471e-05,0.05,20,5,0.9,0.7
1,44,1625.26776229172,0.786535551772952,1.09439462314566e-05,0.05,20,5,0.9,0.7
1,45,1831.75964541761,1.91584451276388,1.33223106331289e-05,0.05,20,5,0.9,0.7
1,46,3081.7549040138,1.3914806402223,1.23124784533402e-05,0.05,20,5,0.9,0.7
1,47,4819.03851807478,0.134925254562535,2.59664846803781e-05,0.05,20,5,0.9,0.7
1,48,1904.21122801704,0.601541490043825,1.87468692106365e-05,0.05,20,5,0.9,0.7
1,49,2134.38659354793,0.238081246567132,9.35136561973427e-06,0.05,20,5,0.9,0.7
1,50,7540.07837176836,0.396137116003318,1.43287402109166e-05,0.05,20,5,0.9,0.7
1,51,718.442026997234,0.98628414035329,2.17873821366641e-05,0.05,20,5,0.9,0.7
1,52,417.308123945888,0.105912666152947,9.59374886316292e-06,0.05,20,5,0.9,0.7
1,53,1569.18617641471,0.31827023453668,9.13328649017147e-06,0.05,20,5,0.9,0.7
1,54,490957.364948656,0.965854096901567,1.46520334274309e-05,0.05,20,5,0.9,0.7
1,55,2925.71076838433,0.07608391365038,1.77538242145105e-05,0.05,20,5,0.9,0.7
1,56,10314.5905481046,0.13602802165673,1.3820484816255e-05,0.05,20,5,0.9,0.7
