rep,id,lambda
1,1,0.223989533244665
1,2,3.85560452167692
1,3,0.342692241822779
1,4,0.25537871785941
1,5,0.549162039750008
1,6,0.493279626946196
1,7,0.345674287267489
1,8,0.0893771530930264
1,9,0.0551088848251451
1,10,0.611703399533268
1,11,0.974954507143565
1,12,1.01441810270744
1,13,1.27468046960228
1,14,1.00122110937071
1,15,0.0493797411704626
1,16,0.233984001021171
1,17,0.413644651346167
1,18,0.227215030728083
1,19,0.0719855735693804
1,20,3.25406829598636
1,21,2.07212516061196
1,22,0.441751184594626
1,23,0.510525720177373
1,24,0.237909843379339
1,25,0.174129739892422
1,26,0.0332479190198047
1,27,0.142445460518834
1,28,0.700225688267855
1,29,0.167379863310105
1,30,0.64312489050409
1,31,1.96832399094653
1,32,0.129768649743832
1,33,0.0585441533052874
1,34,0.255811023055506
1,35,0.405009264764405
1,36,8.03520857292505
1,37,1.02645031950026
1,38,0.7434744098995
1,39,2.26312027854364
1,40,0.183404151981644
1,41,0.494764526479976
1,42,0.492997266946714
1,43,0.535645612000682
1,44,0.598835834904295
1,45,0.297099968880874
1,46,0.345539655289739
1,47,0.688223253776987
1,48,0.211518063663792
1,49,0.165054258571392
1,50,1.83303306905067
1,51,0.374196328270235
1,52,1.19506469934087
1,53,0.73680722161423
1,54,0.179770491777618
1,55,1.11914972098851
1,56,0.132151006385841
1,57,0.142697932373923
1,58,0.555896014526088
1,59,0.340251343709581
1,60,0.124049700496332
1,61,0.17948212758739
1,62,1.4199673917631
1,63,0.163509765890432
1,64,1.11195548643598
1,65,0.144222678660209
1,66,0.313480738694421
1,67,0.393171481608423
1,68,0.638430714064315
1,69,0.0691500830080518
1,70,0.144594125226928
1,71,1.52787274834104
1,72,0.398386648065714
1,73,1.15604394251152
1,74,0.140764878820463
1,75,1.79036999196938
1,76,0.407118717834916
1,77,2.31278378099461
1,78,2.21044794814503
1,79,0.307768551289318
1,80,6.51526167654958
1,81,0.198886657198297
1,82,0.313076323922955
1,83,3.46452280930713
1,84,1.16612142520893
1,85,0.686541756208702
1,86,0.314400093229259
1,87,0.331460599636201
1,88,0.641904476172361
1,89,0.653431769585012
1,90,1.50299844582262
1,91,0.475619180198927
1,92,0.144476365282709
1,93,0.318706153344453
1,94,2.54359255799527
1,95,1.48360332050004
1,96,0.164379141201906
1,97,0.376815182888946
1,98,0.334477781548657
1,99,1.58538139911534
1,100,0.25897240324758
