            iB_pop; 0.0105083855;-0.0038716579; 0.0023562516; 0.0028580926; 0.0013518459; 0.0007036338; 0.0008269643; 0.0005065056; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000;  -0.0000000000
          actB_pop;-0.0038716579; 0.0965625748;-0.0927935658;-0.0915216624;-0.0918915357;-0.0916019188; 0.0067513517;-0.0087876005; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000;  -0.0000000000
beta_actB_tGROUP_1; 0.0023562516;-0.0927935658; 0.3535144752; 0.0921086672; 0.0920984987; 0.0919440543;-0.0102517858; 0.0000345921; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000;  -0.0000000000
beta_actB_tGROUP_2; 0.0028580926;-0.0915216624; 0.0921086672; 0.3617435195; 0.0919982949; 0.0918369724; 0.0013176700;-0.0025732822; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000;  -0.0000000000
beta_actB_tGROUP_3; 0.0013518459;-0.0918915357; 0.0920984987; 0.0919982949; 0.1521659141; 0.0919236940;-0.0098746034;-0.0013503487; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000;  -0.0000000000
beta_actB_tGROUP_5; 0.0007036338;-0.0916019188; 0.0919440543; 0.0918369724; 0.0919236940; 0.1574353058;-0.0096724900;-0.0014882496; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000;  -0.0000000000
            uB_pop; 0.0008269643; 0.0067513517;-0.0102517858; 0.0013176700;-0.0098746034;-0.0096724900; 0.4015137506; 0.0218499219; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000;  -0.0000000000
             h_pop; 0.0005065056;-0.0087876005; 0.0000345921;-0.0025732822;-0.0013503487;-0.0014882496; 0.0218499219; 0.0245520566; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000;  -0.0000000000
          omega_iB; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0067667965;-0.0001664880; 0.0006169073; 0.0003620295;  -1.3750991455
        omega_actB; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000;-0.0001664880; 0.0145047814; 0.0007279232;-0.0030148668;  -1.0635636580
          omega_uB; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0006169073; 0.0007279232; 0.2392225169;-0.0029461146;  -2.5585638290
           omega_h; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0003620295;-0.0030148668;-0.0029461146; 0.0180539917;  -1.8707080654
                 a; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000;-1.3750991455;-1.0635636580;-2.5585638290;-1.8707080654;5591.4331428651
