                       ; parameter;  s.e._lin;r.s.e._lin;pvalues_lin
               Emax_pop;   0.41502;   0.03377;      8.14;        NaN
  beta_Emax_tDRUG_abata;   1.57943;   0.14619;      9.26;      1e-10
  beta_Emax_tDRUG_adali;   1.27982;   0.15064;     11.77;      1e-10
 beta_Emax_tDRUG_canaki;   0.75081;   0.55932;     74.50;    0.17948
beta_Emax_tDRUG_placebo;   0.00000;       NaN;       NaN;        NaN
                T50_pop;   4.52516;   0.54815;     12.11;        NaN
   beta_T50_tDRUG_abata;  -0.11611;   0.13800;    118.85;    0.40014
   beta_T50_tDRUG_adali;  -0.81322;   0.16379;     20.14;6.8676e-007
  beta_T50_tDRUG_canaki;  -0.75090;   0.68789;     91.61;    0.27501
 beta_T50_tDRUG_placebo;   0.00000;       NaN;       NaN;        NaN
         etaBSVEmax_pop;   0.00000;   0.00000;      0.00;        NaN
        etaBTAVEmax_pop;   0.00000;   0.00000;      0.00;        NaN
             omega_Emax;   0.00000;   0.00000;      0.00;        NaN
              omega_T50;   0.00000;   0.00000;      0.00;        NaN
       omega_etaBSVEmax;   0.30021;   0.06497;     21.64;        NaN
      omega_etaBTAVEmax;   0.00000;   0.00000;      0.00;        NaN
             gamma_Emax;   0.00000;   0.00000;      0.00;        NaN
              gamma_T50;   0.00000;   0.00000;      0.00;        NaN
       gamma_etaBSVEmax;   0.00000;   0.00000;      0.00;        NaN
      gamma_etaBTAVEmax;   1.60949;   1.12169;     69.69;        NaN
                      a;   2.48741;   0.15725;      6.32;        NaN
