id,eta_V_SAEM,eta_k_SAEM,eta_Vm_SAEM,eta_Km_SAEM
1,0.121001,-0.0244537,0.033055,-0.178787
2,-0.198351,0.0627117,0.0384985,-0.238562
3,0.00715908,-0.200231,-1.76403e-05,-0.679736
4,0.00467425,-0.0464807,-0.0142491,0.250502
5,-0.132756,0.0264122,0.0522837,-0.326045
6,-0.537427,-0.00994767,-0.0627715,0.241839
7,-0.32718,0.26428,0.14677,-0.531355
8,-0.132653,-0.0659873,0.0160002,-0.223218
9,0.158562,-0.00774571,-0.0178501,0.125572
10,-0.185214,0.177248,0.0535418,0.236657
11,-0.043685,0.0107473,0.00511592,-0.237737
12,-0.165198,-0.0857325,-0.0156948,0.619154
13,0.13064,-0.0321954,-0.0301586,0.170451
14,-0.00807557,0.111851,0.163911,-0.417591
15,0.242378,-0.167652,-0.0726187,0.584701
16,-0.0131971,-0.0655011,-0.0322412,-0.34153
17,-0.125588,0.00143875,-0.0325256,-0.335822
18,0.0641234,-0.0837524,-0.0567639,0.151418
19,0.057718,0.198572,0.0450164,-0.447071
20,0.0499321,-0.0462694,-0.013334,0.235747
21,-0.464891,0.0513949,-0.0377398,0.0827746
22,0.113021,0.15706,0.0690109,0.0307377
23,-0.0106948,-0.0678754,-0.0120552,0.327219
24,-0.0959895,0.17902,0.0568304,-0.0565817
25,0.0150585,0.012037,-0.0420778,-0.166756
26,-0.356158,0.0417769,-0.0120268,0.473763
27,0.315556,0.0437313,0.00711765,0.0798031
28,-0.0969623,-0.034954,0.00865527,0.388083
29,0.0287876,-0.0435936,0.0482137,-0.585385
30,-0.00321214,-0.00441556,-0.00771987,0.474037
31,0.178808,-0.0478921,-0.0255729,0.10073
32,-0.0864543,-0.0370838,-0.00696408,0.324313
33,0.177494,-0.00114703,0.00907419,-0.0341587
34,0.229996,0.00792087,0.0325194,0.108195
35,-0.182167,-0.0503912,-0.033673,-0.0258406
36,0.236334,-0.0947418,-0.0634704,-0.385738
37,0.07647,-0.014686,-0.0239368,0.0637873
38,0.144641,-0.00331239,-0.0412487,-0.0434567
39,0.032042,-0.14561,-0.0406873,0.54111
40,0.244376,-0.171625,-0.0426756,0.427961
41,0.000458603,-0.0337826,-0.00925494,0.117905
42,0.151458,-0.0245953,0.0217887,-0.0834246
43,0.00321903,0.0567565,0.0329048,-0.12961
44,-0.0942739,0.0587031,0.000429785,-0.0779356
45,0.226629,0.0668253,0.0329154,-0.601073
46,0.0452151,0.0599222,0.00981357,0.0622024
47,0.208937,-0.19636,-0.0452411,0.369136
48,0.0691869,-0.0313945,-0.0310811,0.0400663
49,-0.11387,0.0725157,0.114746,-0.622376
50,0.0887718,0.0098374,0.00527632,-0.0149071
