alpha_abscissa,alpha_cdf,tau_abscissa,tau_cdf,split
0.0101858,0.004,59.0668,0.004,All
0.0116776,0.008,59.7777,0.008,All
0.0132615,0.012,60.0463,0.012,All
0.0141879,0.016,60.3536,0.016,All
0.0146265,0.02,60.4964,0.02,All
0.0148093,0.024,60.8233,0.024,All
0.0158315,0.028,61.0865,0.028,All
0.0159262,0.032,61.3082,0.032,All
0.0164399,0.036,61.455,0.036,All
0.016646,0.04,61.4591,0.04,All
0.0167815,0.044,62.4965,0.044,All
0.0170226,0.048,62.9465,0.048,All
0.0171459,0.052,63.6678,0.052,All
0.0175352,0.056,63.7829,0.056,All
0.0178795,0.06,63.8591,0.06,All
0.0186017,0.064,64.0381,0.064,All
0.0197672,0.068,64.1034,0.068,All
0.0203177,0.072,64.3571,0.072,All
0.0204389,0.076,64.371,0.076,All
0.0208173,0.08,64.4626,0.08,All
0.0208422,0.084,64.7041,0.084,All
0.0210739,0.088,64.7344,0.088,All
0.0211448,0.092,64.7817,0.092,All
0.0214623,0.096,64.8217,0.096,All
0.0215643,0.1,64.9343,0.1,All
0.0215714,0.104,65.0214,0.104,All
0.0216277,0.108,65.0442,0.108,All
0.0219558,0.112,65.0637,0.112,All
0.0219673,0.116,65.1081,0.116,All
0.0220381,0.12,65.1377,0.12,All
0.0221483,0.124,65.4499,0.124,All
0.0226067,0.128,65.5258,0.128,All
0.0229882,0.132,65.8687,0.132,All
0.0230787,0.136,65.9568,0.136,All
0.0232684,0.14,66.0416,0.14,All
0.0233163,0.144,66.4217,0.144,All
0.0236628,0.148,66.4729,0.148,All
0.0237588,0.152,66.7563,0.152,All
0.0241814,0.156,66.8044,0.156,All
0.0247424,0.16,66.8293,0.16,All
0.0254815,0.164,66.8728,0.164,All
0.0255137,0.168,66.8947,0.168,All
0.0258444,0.172,66.8949,0.172,All
0.0258779,0.176,66.9374,0.176,All
0.0258996,0.18,67.0883,0.18,All
0.0259032,0.184,67.1604,0.184,All
0.0260176,0.188,67.3711,0.188,All
0.0261021,0.192,67.4122,0.192,All
0.0262667,0.196,67.488,0.196,All
0.0263106,0.2,67.5157,0.2,All
0.0263658,0.204,67.7534,0.204,All
0.0264709,0.208,67.8878,0.208,All
0.0266721,0.212,67.8907,0.212,All
0.0278991,0.216,67.9526,0.216,All
0.0279137,0.22,67.9944,0.22,All
0.02797,0.224,68.1875,0.224,All
0.0279825,0.228,68.3333,0.228,All
0.0280445,0.232,68.3545,0.232,All
0.0283178,0.236,68.357,0.236,All
0.0284766,0.24,68.7185,0.24,All
0.0293725,0.244,68.7566,0.244,All
0.0294689,0.248,68.8387,0.248,All
0.0297686,0.252,68.968,0.252,All
0.0299518,0.256,69.0198,0.256,All
0.0301345,0.26,69.0249,0.26,All
0.0303172,0.264,69.1725,0.264,All
0.0304331,0.268,69.2943,0.268,All
0.0309603,0.272,69.3207,0.272,All
0.0316011,0.276,69.3676,0.276,All
0.031747,0.28,69.3832,0.28,All
0.031782,0.284,69.4037,0.284,All
0.0319691,0.288,69.6395,0.288,All
0.0320445,0.292,69.8545,0.292,All
0.0322114,0.296,69.9406,0.296,All
0.0324864,0.3,69.9973,0.3,All
0.0326313,0.304,70.0137,0.304,All
0.0327909,0.308,70.0174,0.308,All
0.033327,0.312,70.0945,0.312,All
0.0343485,0.316,70.193,0.316,All
0.0346464,0.32,70.3072,0.32,All
0.0347,0.324,70.5215,0.324,All
0.0355798,0.328,70.8521,0.328,All
0.036097,0.332,70.8641,0.332,All
0.0361499,0.336,70.9039,0.336,All
0.0363528,0.34,70.9197,0.34,All
0.0365919,0.344,70.9783,0.344,All
0.0369134,0.348,70.9935,0.348,All
0.036938,0.352,71.0978,0.352,All
0.0371984,0.356,71.2481,0.356,All
0.0377563,0.36,71.3269,0.36,All
0.0377926,0.364,71.5828,0.364,All
0.0378278,0.368,72.0329,0.368,All
0.0380425,0.372,72.0342,0.372,All
0.0385887,0.376,72.0823,0.376,All
0.0386966,0.38,72.358,0.38,All
0.0387068,0.384,72.3781,0.384,All
0.0389173,0.388,72.442,0.388,All
0.0390702,0.392,72.6673,0.392,All
0.0390748,0.396,72.6797,0.396,All
0.0392968,0.4,72.7734,0.4,All
