alpha%tau_abscissa,alpha%tau_spline,alpha%tau_regression,tau%alpha_abscissa,tau%alpha_spline,tau%alpha_regression
-15.4154,0.145428,0.397549,-1.44193,15.7444,7.74005
-15.0524,0.173939,0.388072,-1.41428,15.2516,7.59052
-14.6895,0.20208,0.378594,-1.38663,14.7588,7.44099
-14.3265,0.220345,0.369117,-1.35899,14.266,7.29146
-13.9635,0.233933,0.35964,-1.33134,13.7732,7.14193
-13.6006,0.242668,0.350163,-1.30369,13.2741,6.9924
-13.2376,0.247895,0.340686,-1.27604,12.6695,6.84287
-12.8747,0.249797,0.331208,-1.2484,12.0648,6.69333
-12.5117,0.24999,0.321731,-1.22075,11.4601,6.5438
-12.1488,0.250184,0.312254,-1.1931,10.8555,6.39427
-11.7858,0.250139,0.302777,-1.16545,10.2443,6.24474
-11.4229,0.250677,0.293299,-1.13781,9.6254,6.09521
-11.0599,0.25294,0.283822,-1.11016,9.00672,5.94568
-10.6969,0.256169,0.274345,-1.08251,8.404,5.79615
-10.334,0.263906,0.264868,-1.05487,7.8269,5.64662
-9.97103,0.275683,0.255391,-1.02722,7.26779,5.49709
-9.60808,0.291202,0.245913,-0.999571,6.71042,5.34755
-9.24512,0.306729,0.236436,-0.971924,6.20561,5.19802
-8.88216,0.318341,0.226959,-0.944277,5.72773,5.04849
-8.51921,0.322792,0.217482,-0.91663,5.2968,4.89896
-8.15625,0.312683,0.208004,-0.888982,4.90971,4.74943
-7.79329,0.288214,0.198527,-0.861335,4.58313,4.5999
-7.43034,0.244372,0.18905,-0.833688,4.30006,4.45037
-7.06738,0.18698,0.179573,-0.806041,4.1025,4.30084
-6.70443,0.129767,0.170095,-0.778393,3.90692,4.15131
-6.34147,0.0864064,0.160618,-0.750746,3.81831,4.00178
-5.97851,0.0716234,0.151141,-0.723099,3.80543,3.85224
-5.61556,0.0789371,0.141664,-0.695452,3.85259,3.70271
-5.2526,0.104587,0.132187,-0.667804,3.90444,3.55318
-4.88965,0.131637,0.122709,-0.640157,3.89079,3.40365
-4.52669,0.147333,0.113232,-0.61251,3.75786,3.25412
-4.16373,0.139291,0.103755,-0.584863,3.42043,3.10459
-3.80078,0.111129,0.0942776,-0.557215,2.85318,2.95506
-3.43782,0.0755343,0.0848004,-0.529568,2.09276,2.80553
-3.07487,0.0407388,0.0753232,-0.501921,1.26702,2.656
-2.71191,0.0201978,0.065846,-0.474274,0.505457,2.50646
-2.34895,0.0150665,0.0563687,-0.446626,-0.0847597,2.35693
-1.986,0.0441004,0.0468915,-0.418979,-0.501642,2.2074
-1.62304,0.10036,0.0374143,-0.391332,-0.508871,2.05787
-1.26009,0.14444,0.027937,-0.363685,-0.338499,1.90834
-0.897131,0.130393,0.0184598,-0.336037,0.025346,1.75881
-0.534175,0.0530843,0.00898259,-0.30839,0.45934,1.60928
-0.171219,-0.0412522,-0.000494636,-0.280743,0.892201,1.45975
0.191737,-0.115643,-0.00997186,-0.253096,1.23768,1.31022
0.554693,-0.131906,-0.0194491,-0.225448,1.48616,1.16068
0.917649,-0.104073,-0.0289263,-0.197801,1.6099,1.01115
1.28061,-0.0533201,-0.0384035,-0.170154,1.64,0.861622
1.64356,-0.00617525,-0.0478808,-0.142507,1.54734,0.712091
2.00652,0.0118708,-0.057358,-0.114859,1.34621,0.56256
2.36947,-0.0175309,-0.0668352,-0.0872121,1.0377,0.413029
2.73243,-0.0773858,-0.0763125,-0.0595649,0.653195,0.263498
3.09539,-0.144844,-0.0857897,-0.0319176,0.265031,0.113967
3.45834,-0.195519,-0.0952669,-0.00427039,-0.0564806,-0.0355643
3.8213,-0.217855,-0.104744,0.0233769,-0.293652,-0.185095
4.18425,-0.221173,-0.114221,0.0510241,-0.512927,-0.334626
4.54721,-0.207751,-0.123699,0.0786713,-0.783771,-0.484158
4.91017,-0.184762,-0.133176,0.106319,-1.13534,-0.633689
5.27312,-0.158257,-0.142653,0.133966,-1.51695,-0.78322
5.63608,-0.133181,-0.15213,0.161613,-1.87119,-0.932751
5.99903,-0.111266,-0.161608,0.18926,-2.15525,-1.08228
6.36199,-0.0933163,-0.171085,0.216908,-2.33779,-1.23181
6.72495,-0.0806275,-0.180562,0.244555,-2.39919,-1.38134
7.0879,-0.073858,-0.190039,0.272202,-2.30336,-1.53088
7.45086,-0.0731815,-0.199516,0.299849,-2.02623,-1.68041
7.81381,-0.0794654,-0.208994,0.327497,-1.60706,-1.82994
8.17677,-0.0934588,-0.218471,0.355144,-1.24529,-1.97947
8.53973,-0.114773,-0.227948,0.382791,-1.19056,-2.129
8.90268,-0.139477,-0.237425,0.410438,-1.5205,-2.27853
9.26564,-0.168284,-0.246903,0.438086,-2.05467,-2.42806
9.62859,-0.198534,-0.25638,0.465733,-2.64302,-2.57759
9.99155,-0.228681,-0.265857,0.49338,-3.07483,-2.72712
10.3545,-0.258612,-0.275334,0.521027,-3.31651,-2.87665
10.7175,-0.286385,-0.284811,0.548675,-3.4969,-3.02619
11.0804,-0.309623,-0.294289,0.576322,-3.4708,-3.17572
11.4434,-0.329251,-0.303766,0.603969,-3.35959,-3.32525
11.8063,-0.341019,-0.313243,0.631616,-3.20757,-3.47478
12.1693,-0.349246,-0.32272,0.659264,-3.06433,-3.62431
12.5322,-0.353758,-0.332198,0.686911,-2.95942,-3.77384
12.8952,-0.353956,-0.341675,0.714558,-2.91254,-3.92337
13.2582,-0.351078,-0.351152,0.742205,-2.91428,-4.0729
13.6211,-0.34699,-0.360629,0.769853,-2.96989,-4.22243
13.9841,-0.342903,-0.370107,0.7975,-3.07427,-4.37197
14.347,-0.338816,-0.379584,0.825147,-3.20924,-4.5215
14.71,-0.336342,-0.389061,0.852794,-3.36726,-4.67103
15.0729,-0.338174,-0.398538,0.880442,-3.56356,-4.82056
15.4359,-0.340006,-0.408015,0.908089,-3.76531,-4.97009
15.7988,-0.341837,-0.417493,0.935736,-3.97991,-5.11962
16.1618,-0.347332,-0.42697,0.963383,-4.20413,-5.26915
16.5248,-0.364519,-0.436447,0.99103,-4.42835,-5.41868
16.8877,-0.3995,-0.445924,1.01868,-4.63861,-5.56821
17.2507,-0.434481,-0.455402,1.04632,-4.83286,-5.71775
17.6136,-0.469461,-0.464879,1.07397,-5.0271,-5.86728
17.9766,-0.504442,-0.474356,1.10162,-5.2201,-6.01681
18.3395,-0.539423,-0.483833,1.12927,-5.34889,-6.16634
