rep,id,eta_Tlag,eta_ka,eta_V,eta_alpha,eta_beta
1,1,-0.881710,-0.129616,0.191628,0.458335,-0.006650
2,1,-1.005522,0.840363,1.000957,0.251951,-0.009181
3,1,-0.702877,-1.612813,-0.609419,0.178001,0.022397
4,1,0.966380,0.887441,0.578495,-0.272165,0.118711
5,1,-0.050350,-0.870734,0.638980,-0.011401,0.073620
1,2,1.239798,-0.780316,-0.696668,0.426019,-0.003339
2,2,0.458772,0.438803,0.787078,-0.179307,0.167589
3,2,0.602085,0.878222,0.062248,0.250261,0.208422
4,2,0.494057,0.263423,0.468322,0.226518,0.082823
5,2,-0.604044,-0.622559,0.014805,-0.016588,-0.058133
1,3,1.482966,-0.329313,1.118577,0.197377,-0.022659
2,3,-0.523097,-1.360670,-0.301575,-0.528884,0.139643
3,3,0.895227,-1.021749,0.088504,-0.658326,0.166572
4,3,-1.216601,0.882858,0.732980,-0.261301,-0.050583
5,3,-2.455217,-0.405366,0.584425,0.049768,-0.012462
1,4,1.915440,1.310928,-0.275967,0.202473,-0.046430
2,4,-2.380091,2.581952,-0.045339,0.061356,-0.203169
3,4,2.028505,1.332986,-0.472529,0.010647,0.067544
4,4,-2.331324,1.102565,-0.283148,0.097109,-0.042938
5,4,0.816971,1.654199,-0.489467,-0.041089,0.065107
1,5,-0.108219,1.055223,0.369397,-0.065823,0.064558
2,5,0.744609,-0.288636,0.126394,-0.175002,0.079043
3,5,0.237448,-0.892887,-0.840974,0.358936,-0.006893
4,5,0.065728,0.927589,0.307735,0.107647,0.047914
5,5,-1.564612,-0.805100,-0.536347,0.463586,0.121694
1,6,1.561723,-0.424189,-0.032845,0.236839,-0.000721
2,6,2.341084,-0.495384,0.216508,-0.159983,0.015180
3,6,1.863429,-0.334105,0.164007,0.120857,0.070139
4,6,-2.304310,0.236467,0.277576,0.124490,0.161825
5,6,0.661374,1.241266,0.831608,-0.110558,0.001126
1,7,-0.867651,1.594328,0.400768,-0.678569,0.191984
2,7,2.521037,0.954880,0.130698,0.007194,0.057526
3,7,1.666789,0.143959,0.464157,0.094754,-0.061209
4,7,1.471930,0.418841,0.219081,0.477112,-0.040159
5,7,-0.862579,0.735741,0.410286,0.164457,-0.060915
1,8,0.371345,-0.359256,0.002575,-0.333520,-0.111837
2,8,0.580517,-0.671468,-0.096839,-0.034825,-0.250186
3,8,1.074100,-0.231080,-0.304463,-0.043723,-0.130278
4,8,0.219244,-0.734034,-0.342311,-0.299690,-0.089558
5,8,-1.346629,-0.458537,-0.191169,-0.257417,0.022390
1,9,2.300176,0.201380,-1.015535,-0.703040,-0.033127
2,9,0.701685,-0.054158,-1.140729,-0.519543,-0.103217
3,9,-0.993352,-0.140595,-1.266475,-0.764290,0.214932
4,9,0.496453,-0.631917,-1.605551,-0.527728,-0.017756
5,9,0.647249,0.139061,-1.166255,-0.701520,-0.157789
1,10,0.518944,0.664688,1.209815,-0.507961,0.064514
2,10,-0.778792,0.408526,0.613198,-0.148527,0.182686
3,10,-0.480068,-0.313539,0.474051,0.198181,0.029065
4,10,2.170530,-0.143335,0.805588,0.016818,-0.006401
5,10,2.281444,0.595821,0.755286,-0.008602,-0.152300
1,11,-0.701882,-0.746328,0.295938,-0.254042,0.160082
2,11,1.560118,-0.549640,0.268804,-0.128498,0.032192
3,11,0.453748,-0.813720,0.064312,-0.037158,0.038568
4,11,-0.526123,0.165304,0.932035,-0.323064,-0.017807
5,11,-0.982795,-0.526549,0.101363,-0.108729,-0.081429
1,12,-0.811180,0.257891,0.555542,0.347154,-0.093005
2,12,0.754996,-0.143189,0.437226,-0.183207,0.193224
3,12,0.144596,-0.222058,0.135514,-0.149845,0.123230
4,12,1.722983,-0.329340,0.589287,-0.187509,-0.082013
5,12,3.663775,-0.985522,-0.353388,0.118805,0.036489
