           ; parameter;  s.e._lin;r.s.e._lin;pvalues_lin
   Tlag_pop;   0.11969;   0.08193;     68.45;        NaN
     ka_pop;   0.16782;   0.01613;      9.61;        NaN
      V_pop;  35.54376;   8.37212;     23.55;        NaN
  alpha_pop;   4.13008;   2.15183;     52.10;        NaN
   beta_pop;   0.63628;   0.13792;     21.68;        NaN
 omega_Tlag;   1.62555;   0.41463;     25.51;        NaN
   omega_ka;   0.21043;   0.07611;     36.17;        NaN
    omega_V;   0.55159;   0.12459;     22.59;        NaN
omega_alpha;   0.00000;   0.00000;      0.00;        NaN
 omega_beta;   0.00000;   0.00000;      0.00;        NaN
          a;   0.32747;   0.02733;      8.35;        NaN
