rep,id,eta_lambda
1,1,-0.753320114612037
1,2,2.0923636498758
1,3,-0.328086648557552
1,4,-0.62217182732586
1,5,0.14347411354261
1,6,0.0361567690766144
1,7,-0.31942247337375
1,8,-1.67205434751369
1,9,-2.15560848653421
1,10,0.251328084961234
1,11,0.717471371780295
1,12,0.757150990463635
1,13,0.985531375318388
1,14,0.744056204616138
1,15,-2.26537919647216
1,16,-0.709666697473186
1,17,-0.139912163621632
1,18,-0.739022597756673
1,19,-1.88845370694109
1,20,1.92274183708757
1,21,1.47141056846674
1,22,-0.0741726459977473
1,23,0.0705215798724375
1,24,-0.693027646214452
1,25,-1.00511878585397
1,26,-2.66092725951629
1,27,-1.20596024554254
1,28,0.386483256102069
1,29,-1.04465357882877
1,30,0.301419497543232
1,31,1.42001825481921
1,32,-1.29916619108878
1,33,-2.09513821188198
1,34,-0.62048045809618
1,35,-0.161009495982656
1,36,2.82666879709484
1,37,0.768942398544769
1,38,0.446414908091811
1,39,1.55958035547347
1,40,-0.953227240282666
1,41,0.0391625065157137
1,42,0.0355841915196531
1,43,0.118553331970886
1,44,0.230068056495375
1,45,-0.470850761063417
1,46,-0.319812025641616
1,47,0.369193843275493
1,48,-0.810609036555894
1,49,-1.0586451791178
1,50,1.3488078498321
1,51,-0.24013883720928
1,52,0.921036165818803
1,53,0.437406847426272
1,54,-0.973238447141096
1,55,0.85540505948996
1,56,-1.28097418228653
1,57,-1.20418940373201
1,58,0.155661813736678
1,59,-0.335234848082069
1,60,-1.34423714303276
1,61,-0.974843803576177
1,62,1.09346974799549
1,63,-1.0680467200188
1,64,0.848956005036789
1,65,-1.19356095404198
1,66,-0.417181520174776
1,67,-0.190673582117836
1,68,0.294093717192264
1,69,-1.92864018027332
1,70,-1.19098875764262
1,71,1.16671224758795
1,72,-0.177496427531476
1,73,0.887839622274047
1,74,-1.21782846637605
1,75,1.32525813811061
1,76,-0.155814605867624
1,77,1.58128773917432
1,78,1.53603102665196
1,79,-0.435571395153552
1,80,2.61698321520499
1,81,-0.872184338144095
1,82,-0.418472431575367
1,83,1.98541074597938
1,84,0.896519060957474
1,85,0.366747609345205
1,86,-0.414253081703307
1,87,-0.361410491019669
1,88,0.299520062821661
1,89,0.317318681150335
1,90,1.15029791691325
1,91,-0.00030194636058678
1,92,-1.19180350667166
1,93,-0.400649909913439
1,94,1.67641331482358
1,95,1.13730964496089
1,96,-1.0627438425506
1,97,-0.233164602607364
1,98,-0.352348984300822
1,99,1.20366084893218
1,100,-0.608197933934125
