rep,id,Tlag,ka,V,alpha,beta
1,1,0.000002,0.578988,530.086420,1.500730,0.611966
2,1,0.000001,0.454113,366.972713,1.500730,0.611966
3,1,0.000000,0.998046,366.433995,1.500730,0.611966
4,1,0.000000,2.372302,380.429257,1.500730,0.611966
5,1,0.000000,0.510955,181.781471,1.500730,0.611966
1,2,0.000001,0.721793,284.109754,1.500730,0.611966
2,2,0.000001,1.876009,243.699039,1.500730,0.611966
3,2,0.000000,0.820076,291.857740,1.500730,0.611966
4,2,0.000000,0.966932,333.863113,1.500730,0.611966
5,2,0.000000,0.459004,162.329819,1.500730,0.611966
1,3,0.000000,1.022074,418.702700,1.500730,0.611966
2,3,0.000000,0.641431,445.746325,1.500730,0.611966
3,3,0.000000,0.646705,295.775446,1.500730,0.611966
4,3,0.000000,0.856474,251.088967,1.500730,0.611966
5,3,0.000000,0.245491,203.126597,1.500730,0.611966
1,4,0.000000,5.797090,166.461926,1.500730,0.611966
2,4,0.000000,2.845807,125.237595,1.500730,0.611966
3,4,0.000001,2.448073,115.062259,1.500730,0.611966
4,4,0.161203,2.699036,135.965592,1.500730,0.611966
5,4,0.000000,4.759161,161.333135,1.500730,0.611966
1,5,0.000000,3.833526,209.980470,1.500730,0.611966
2,5,0.000000,0.804732,187.634672,1.500730,0.611966
3,5,0.000003,0.646837,208.636004,1.500730,0.611966
4,5,0.000000,2.254625,251.637933,1.500730,0.611966
5,5,0.062699,1.119981,273.189074,1.500730,0.611966
1,6,0.000000,0.424665,209.096533,1.500730,0.611966
2,6,0.000000,1.092517,206.354090,1.500730,0.611966
3,6,0.000000,0.898306,228.164106,1.500730,0.611966
4,6,0.000009,1.918075,225.938362,1.500730,0.611966
5,6,0.000005,0.749774,262.276269,1.500730,0.611966
1,7,0.004068,1.658176,327.911285,1.500730,0.611966
2,7,0.000000,2.536820,258.259651,1.500730,0.611966
3,7,0.000000,2.479991,304.644064,1.500730,0.611966
4,7,0.001847,0.541388,196.226174,1.500730,0.611966
5,7,0.000014,0.524208,229.823451,1.500730,0.611966
1,8,0.000007,0.323459,98.772796,1.500730,0.611966
2,8,0.000000,0.543367,140.007905,1.500730,0.611966
3,8,0.000000,0.344263,106.148545,1.500730,0.611966
4,8,0.000000,0.685117,197.403734,1.500730,0.611966
5,8,0.000000,0.666822,158.073794,1.500730,0.611966
1,9,0.000001,0.473759,48.514572,1.500730,0.611966
2,9,0.000000,0.437106,48.318250,1.500730,0.611966
3,9,0.000003,0.485785,47.415218,1.500730,0.611966
4,9,0.000001,0.503325,45.029504,1.500730,0.611966
5,9,0.000000,0.539725,46.319582,1.500730,0.611966
1,10,0.000810,0.552058,497.710617,1.500730,0.611966
2,10,0.000125,0.302764,172.142393,1.500730,0.611966
3,10,0.000000,0.296952,315.990177,1.500730,0.611966
4,10,0.000000,0.647324,414.622288,1.500730,0.611966
5,10,0.000017,0.647374,311.944478,1.500730,0.611966
1,11,0.000002,0.351674,185.754628,1.500730,0.611966
2,11,0.000001,0.250146,150.640614,1.500730,0.611966
3,11,0.000033,0.277294,177.803085,1.500730,0.611966
4,11,0.000000,0.325070,207.748515,1.500730,0.611966
5,11,0.000000,0.178936,115.536604,1.500730,0.611966
1,12,0.000000,0.846857,266.927956,1.500730,0.611966
2,12,0.000001,0.592416,290.113209,1.500730,0.611966
3,12,0.000000,0.371356,275.407983,1.500730,0.611966
4,12,0.000000,0.441402,228.990216,1.500730,0.611966
5,12,0.000003,0.293243,210.661103,1.500730,0.611966
