id,Tlag_eta_simulated,ka_eta_simulated,V_eta_simulated,alpha_eta_simulated,beta_eta_simulated,color,filter
1,-0.88171,-0.129616,0.191628,0.458335,-0.00664965,#4682B4,0
1,-1.00552,0.840363,1.00096,0.251951,-0.00918141,#4682B4,0
1,-0.702877,-1.61281,-0.609419,0.178001,0.0223966,#4682B4,0
1,0.96638,0.887441,0.578495,-0.272165,0.118711,#4682B4,0
1,-0.0503505,-0.870734,0.63898,-0.0114005,0.0736198,#4682B4,0
2,1.2398,-0.780316,-0.696668,0.426019,-0.00333934,#4682B4,0
2,0.458772,0.438803,0.787078,-0.179307,0.167589,#4682B4,0
2,0.602085,0.878222,0.0622481,0.250261,0.208422,#4682B4,0
2,0.494057,0.263423,0.468322,0.226518,0.0828232,#4682B4,0
2,-0.604044,-0.622559,0.0148051,-0.0165875,-0.058133,#4682B4,0
3,1.48297,-0.329313,1.11858,0.197377,-0.0226588,#4682B4,0
3,-0.523097,-1.36067,-0.301575,-0.528884,0.139643,#4682B4,0
3,0.895227,-1.02175,0.0885044,-0.658326,0.166572,#4682B4,0
3,-1.2166,0.882858,0.73298,-0.261301,-0.0505831,#4682B4,0
3,-2.45522,-0.405366,0.584425,0.0497677,-0.0124621,#4682B4,0
4,1.91544,1.31093,-0.275967,0.202473,-0.0464299,#4682B4,0
4,-2.38009,2.58195,-0.0453393,0.0613557,-0.203169,#4682B4,0
4,2.02851,1.33299,-0.472529,0.0106465,0.0675435,#4682B4,0
4,-2.33132,1.10257,-0.283148,0.0971086,-0.0429376,#4682B4,0
4,0.816971,1.6542,-0.489467,-0.0410889,0.0651072,#4682B4,0
5,-0.108219,1.05522,0.369397,-0.065823,0.0645579,#4682B4,0
5,0.744609,-0.288636,0.126394,-0.175002,0.0790433,#4682B4,0
5,0.237448,-0.892887,-0.840974,0.358936,-0.0068933,#4682B4,0
5,0.0657284,0.927589,0.307735,0.107647,0.0479142,#4682B4,0
5,-1.56461,-0.8051,-0.536347,0.463586,0.121694,#4682B4,0
6,1.56172,-0.424189,-0.0328448,0.236839,-0.000720609,#4682B4,0
6,2.34108,-0.495384,0.216508,-0.159983,0.0151802,#4682B4,0
6,1.86343,-0.334105,0.164007,0.120857,0.0701392,#4682B4,0
6,-2.30431,0.236467,0.277576,0.12449,0.161825,#4682B4,0
6,0.661374,1.24127,0.831608,-0.110558,0.00112595,#4682B4,0
7,-0.867651,1.59433,0.400768,-0.678569,0.191984,#4682B4,0
7,2.52104,0.95488,0.130698,0.00719419,0.057526,#4682B4,0
7,1.66679,0.143959,0.464157,0.0947542,-0.0612088,#4682B4,0
7,1.47193,0.418841,0.219081,0.477112,-0.0401591,#4682B4,0
7,-0.862579,0.735741,0.410286,0.164457,-0.0609153,#4682B4,0
8,0.371345,-0.359256,0.0025747,-0.33352,-0.111837,#4682B4,0
8,0.580517,-0.671468,-0.096839,-0.0348248,-0.250186,#4682B4,0
8,1.0741,-0.23108,-0.304463,-0.0437232,-0.130278,#4682B4,0
8,0.219244,-0.734034,-0.342311,-0.29969,-0.0895581,#4682B4,0
8,-1.34663,-0.458537,-0.191169,-0.257417,0.0223901,#4682B4,0
9,2.30018,0.20138,-1.01554,-0.70304,-0.0331271,#4682B4,0
9,0.701685,-0.054158,-1.14073,-0.519543,-0.103217,#4682B4,0
9,-0.993352,-0.140595,-1.26647,-0.76429,0.214932,#4682B4,0
9,0.496453,-0.631917,-1.60555,-0.527728,-0.0177558,#4682B4,0
9,0.647249,0.139061,-1.16625,-0.70152,-0.157789,#4682B4,0
10,0.518944,0.664688,1.20982,-0.507961,0.0645137,#4682B4,0
10,-0.778792,0.408526,0.613198,-0.148527,0.182686,#4682B4,0
10,-0.480068,-0.313539,0.474051,0.198181,0.0290648,#4682B4,0
10,2.17053,-0.143335,0.805588,0.0168176,-0.00640066,#4682B4,0
10,2.28144,0.595821,0.755286,-0.00860228,-0.1523,#4682B4,0
11,-0.701882,-0.746328,0.295938,-0.254042,0.160082,#4682B4,0
11,1.56012,-0.54964,0.268804,-0.128498,0.0321919,#4682B4,0
11,0.453748,-0.81372,0.0643115,-0.0371579,0.0385684,#4682B4,0
11,-0.526123,0.165304,0.932035,-0.323064,-0.0178074,#4682B4,0
11,-0.982795,-0.526549,0.101363,-0.108729,-0.0814289,#4682B4,0
12,-0.81118,0.257891,0.555542,0.347154,-0.0930048,#4682B4,0
12,0.754996,-0.143189,0.437226,-0.183207,0.193224,#4682B4,0
12,0.144596,-0.222058,0.135514,-0.149845,0.12323,#4682B4,0
12,1.72298,-0.32934,0.589287,-0.187509,-0.082013,#4682B4,0
12,3.66378,-0.985522,-0.353388,0.118805,0.0364885,#4682B4,0
