              Emax_pop; 0.0190084890;-0.0105338732;-0.0106252651;-0.0128557894; 0.0068542515;-0.0065547797;-0.0067945363;-0.0068546324; 0.0000000000; 0.0000000000;-0.0000000000
 beta_Emax_tDRUG_abata;-0.0105338732; 0.0246037487; 0.0064638173; 0.0080329207;-0.0065898899; 0.0105110818; 0.0065431744; 0.0065900447; 0.0000000000; 0.0000000000;-0.0000000000
 beta_Emax_tDRUG_adali;-0.0106252651; 0.0064638173; 0.0268911234; 0.0080146409;-0.0063768037; 0.0062294596; 0.0114222568; 0.0063769653; 0.0000000000; 0.0000000000;-0.0000000000
beta_Emax_tDRUG_canaki;-0.0128557894; 0.0080329207; 0.0080146409; 0.3350233834;-0.0086536863; 0.0084828021; 0.0085936906; 0.3011825758; 0.0000000000; 0.0000000000;-0.0000000000
               T50_pop; 0.0068542515;-0.0065898899;-0.0063768037;-0.0086536863; 0.0148152197;-0.0148044770;-0.0147334465;-0.0148151083; 0.0000000000; 0.0000000000;-0.0000000000
  beta_T50_tDRUG_abata;-0.0065547797; 0.0105110818; 0.0062294596; 0.0084828021;-0.0148044770; 0.0191887342; 0.0147231700; 0.0148043576; 0.0000000000; 0.0000000000;-0.0000000000
  beta_T50_tDRUG_adali;-0.0067945363; 0.0065431744; 0.0114222568; 0.0085936906;-0.0147334465; 0.0147231700; 0.0271201268; 0.0147333351; 0.0000000000; 0.0000000000;-0.0000000000
 beta_T50_tDRUG_canaki;-0.0068546324; 0.0065900447; 0.0063769653; 0.3011825758;-0.0148151083; 0.0148043576; 0.0147333351; 0.4694861221; 0.0000000000; 0.0000000000;-0.0000000000
      omega_etaBSVEmax; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0066803222;-0.0682541702; 0.0001054011
     gamma_etaBTAVEmax; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000;-0.0682541702; 1.2186215512;-0.0078179593
                     a; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0000000000; 0.0001054011;-0.0078179593; 0.0248205841
