Tlag_abscissa,Tlag_cdf,ka_abscissa,ka_cdf,V_abscissa,V_cdf,alpha_abscissa,alpha_cdf,beta_abscissa,beta_cdf,split
0.00015859,0.0166667,0.129353,0.0166667,37.1558,0.0166667,5.70863,0.0166667,0.155363,0.0166667,All
0.000170963,0.0333333,0.166449,0.0333333,52.1537,0.0333333,6.06921,0.0333333,0.162843,0.0333333,All
0.000179507,0.05,0.2336,0.05,57.6515,0.05,6.07844,0.05,0.170403,0.05,All
0.000184423,0.0666667,0.242218,0.0666667,59.142,0.0666667,6.21956,0.0666667,0.171341,0.0666667,All
0.000386421,0.0833333,0.265728,0.0833333,67.0296,0.0833333,6.34675,0.0833333,0.175156,0.0833333,All
0.00048054,0.1,0.27168,0.1,79.8138,0.1,7.22383,0.1,0.178416,0.1,All
0.000547268,0.116667,0.28762,0.116667,92.2038,0.116667,7.23218,0.116667,0.17996,0.116667,All
0.000675881,0.133333,0.29011,0.133333,100.61,0.133333,7.29162,0.133333,0.181808,0.133333,All
0.000684157,0.15,0.29739,0.15,108.237,0.15,7.37656,0.15,0.182435,0.15,All
0.000691418,0.166667,0.307671,0.166667,113.432,0.166667,8.78239,0.166667,0.183817,0.166667,All
0.000764965,0.183333,0.311477,0.183333,115.37,0.183333,8.8747,0.183333,0.183924,0.183333,All
0.000775795,0.2,0.331588,0.2,129.967,0.2,9.08457,0.2,0.187681,0.2,All
0.00077974,0.216667,0.344965,0.216667,131.415,0.216667,9.33811,0.216667,0.187736,0.216667,All
0.000820865,0.233333,0.348208,0.233333,136.484,0.233333,9.44011,0.233333,0.188259,0.233333,All
0.000847887,0.25,0.374548,0.25,136.879,0.25,9.47684,0.25,0.189686,0.25,All
0.00091476,0.266667,0.383297,0.266667,139.424,0.266667,9.50889,0.266667,0.190475,0.266667,All
0.000915671,0.283333,0.395431,0.283333,140.429,0.283333,10.1631,0.283333,0.191142,0.283333,All
0.00100979,0.3,0.410273,0.3,152.857,0.3,10.2069,0.3,0.191674,0.3,All
0.00109162,0.316667,0.42461,0.316667,167.978,0.316667,10.2468,0.316667,0.193026,0.316667,All
0.00109493,0.333333,0.432678,0.333333,176.855,0.333333,10.291,0.333333,0.195058,0.333333,All
0.00114307,0.35,0.453096,0.35,179.079,0.35,10.4467,0.35,0.196006,0.35,All
0.00165792,0.366667,0.464636,0.366667,185.535,0.366667,10.5531,0.366667,0.196016,0.366667,All
0.00175669,0.383333,0.466856,0.383333,187.818,0.383333,10.5671,0.383333,0.197057,0.383333,All
0.00197292,0.4,0.466869,0.4,196.944,0.4,10.7808,0.4,0.197704,0.4,All
0.00213482,0.416667,0.474291,0.416667,197.351,0.416667,10.976,0.416667,0.198157,0.416667,All
0.00230027,0.433333,0.48625,0.433333,202.183,0.433333,10.9961,0.433333,0.198205,0.433333,All
0.00234253,0.45,0.515058,0.45,204.8,0.45,11.4782,0.45,0.198255,0.45,All
0.00267816,0.466667,0.519726,0.466667,209.991,0.466667,11.7346,0.466667,0.198863,0.466667,All
0.00290819,0.483333,0.562294,0.483333,210.897,0.483333,11.7656,0.483333,0.199384,0.483333,All
0.00292284,0.5,0.562376,0.5,211.915,0.5,11.8119,0.5,0.199753,0.5,All
0.00302781,0.516667,0.563837,0.516667,218.04,0.516667,11.8395,0.516667,0.20258,0.516667,All
0.00303508,0.533333,0.570062,0.533333,224.146,0.533333,12.0574,0.533333,0.204046,0.533333,All
0.00310411,0.55,0.614742,0.55,229.793,0.55,12.1201,0.55,0.204047,0.55,All
0.00330125,0.566667,0.745773,0.566667,230.385,0.566667,12.1541,0.566667,0.205412,0.566667,All
0.00337322,0.583333,0.749435,0.583333,242.13,0.583333,12.3476,0.583333,0.206055,0.583333,All
0.00352907,0.6,0.765604,0.6,244.263,0.6,12.3903,0.6,0.206943,0.6,All
0.00357927,0.616667,0.793728,0.616667,248.79,0.616667,12.467,0.616667,0.207374,0.616667,All
0.0037265,0.633333,0.822072,0.633333,251.742,0.633333,12.8846,0.633333,0.209321,0.633333,All
0.00388994,0.65,0.839874,0.65,267.754,0.65,13.0348,0.65,0.211342,0.65,All
0.00393055,0.666667,0.844533,0.666667,276.286,0.666667,13.4775,0.666667,0.212824,0.666667,All
