time,id,TC_SAEM,IC_SAEM
0,1,2000,9000
0.57,1,2000,9000
0.97,1,2000,9000
1.49,1,2168.83,8840.02
1.96,1,2937.75,8171.19
2.63,1,4193.81,7253.47
3.06,1,5216.02,6554.86
3.49,1,6223.28,5930.18
4.05,1,7982.28,4783.6
4.71,1,10044.4,3589.63
4.95,1,10785.7,3185.78
4.99,1,10905,3123.37
5.97,1,13455.9,1937.81
6.92,1,14907.4,1606.86
8.1,1,11019.3,5662.42
9.12,1,2754.1,11447.8
9.98,1,1764.08,10585.7
11.02,1,1807.61,9593.95
13.19,1,1972.93,9041.84
14.85,1,1996.86,9002.26
0,2,2000,9000
0.52,2,2000,9000
1.22,2,2027.38,8973.24
1.67,2,2760.52,8302.29
1.94,2,3533.94,7650.38
2.46,2,5220.36,6382.21
2.84,2,6627.77,5409.97
3.41,2,8741.15,4105.26
4.04,2,11059.2,2800.84
4.43,2,12360.6,2152.23
5.08,2,14230.2,1334.82
5.11,2,14306.3,1305.02
5.98,2,16164.7,666.32
6.94,2,17511.6,350.054
7.98,2,18104.4,477.404
9,2,15548.6,3042.74
9.9,2,5061.22,11337.4
10.95,2,1682.43,11304
13.1,2,1882.29,9257.32
14.83,2,1981.24,9026.17
0,3,2000,9000
0.5,3,2000,9000
0.9,3,2000,9000
1.48,3,2144.1,8863.24
1.99,3,2947.8,8164.56
2.59,3,4066.44,7343.28
3.05,3,5151.69,6595.32
3.5,3,6216.63,5930.23
3.96,3,7640.59,4998.35
4.75,3,10126.8,3542.51
5,3,10894.4,3127.77
5.16,3,11355.8,2894.8
5.92,3,13315,1995.12
6.91,3,14920.1,1577.2
8.07,3,11541.2,5220.57
9.06,3,3057.72,11397.7
9.82,3,1815.75,10836.1
11.11,3,1816.34,9557.98
12.93,3,1962.07,9065.26
14.98,3,1997.33,9001.86
0,4,2000,9000
0.37,4,2000,9000
0.98,4,2000,9000
1.42,4,2127.81,8877.87
2.12,4,3568.07,7642.74
2.52,4,4849.03,6660.03
2.97,4,6470.32,5526.68
3.54,4,8599.52,4187.24
4.03,4,10425.7,3139.47
4.5,4,12052.4,2297.46
4.83,4,13082.4,1816.02
4.97,4,13487.6,1639.08
5.91,4,15726.7,799.082
7,4,17406.7,359.66
7.96,4,18148.3,347.721
8.89,4,17445.4,1348.3
10.02,4,6824.04,10179.4
11.08,4,1724.41,11598.5
13.04,4,1843.13,9378.69
14.95,4,1977.35,9033.09
0,5,2000,9000
0.57,5,2000,9000
0.97,5,2000,9000
1.31,5,2028.67,8972.31
2.23,5,3475.7,7734.94
2.57,5,4477.36,6958.66
2.97,5,5868.88,5952.33
3.42,5,7508.28,4874.76
4.06,5,9920.08,3427.07
4.57,5,11715.7,2472.36
4.81,5,12495.9,2091.75
4.92,5,12836.1,1933.57
6.1,5,15757,793.47
6.81,5,16940,461.591
7.91,5,18055.2,302.185
9.1,5,17528.3,1290.02
9.8,5,12809.3,5457.02
11.08,5,1902.72,12057.2
12.94,5,1797.83,9546.53
14.81,5,1964.72,9055.39
0,6,2000,9000
0.46,6,2000,9000
1.17,6,2008.47,8991.7
1.51,6,2349.47,8671.08
2.07,6,3826.67,7420.02
2.49,6,5214.56,6385.46
3.02,6,7182.3,5049.84
3.54,6,9052.03,3939.13
3.88,6,10214.5,3308.07
4.5,6,12058.4,2440.17
4.92,6,13050.2,2066.96
5.05,6,13313.5,1983.61
5.92,6,14572.3,1739.15
6.87,6,14495.2,2478.5
8.2,6,4737.85,10542.1
9.02,6,1936.51,11138.4
10.13,6,1770.57,9837.74
10.91,6,1854.93,9373.43
13.11,6,1986.33,9019.73
15.01,6,1998.99,9000.29
0,7,2000,9000
0.5,7,2000,9000
1.03,7,2000,9000
1.65,7,2839.51,8229.59
1.93,7,3729.97,7479.53
2.46,7,5825.62,5881.77
2.96,7,7997.21,4415.16
3.4,7,9850.45,3305.58
3.99,7,12062.9,2159.02
4.6,7,13933.1,1358.54
4.93,7,14763.9,1061.55
5,7,14924.9,1008.49
6.13,7,16917.3,478.778
6.91,7,17749,359.67
7.84,7,17905.6,729.066
9.08,7,10244.7,7493.09
9.83,7,2725.75,12337.9
11.15,7,1678.14,10322.3
12.81,7,1893.93,9223.06
15.18,7,1992.81,9008.35
0,8,2000,9000
0.48,8,2000,9000
0.93,8,2000,9000
1.41,8,2275.74,8737.42
1.94,8,3753.49,7461.19
2.51,8,6022.08,5742.5
2.94,8,7891.79,4483.13
3.42,8,9913.51,3270.81
4,8,12082,2150.43
4.52,8,13700.6,1448.74
4.93,8,14753.6,1065.09
5.15,8,15243.6,908.164
5.88,8,16555.3,557.876
6.98,8,17799.9,358.722
8.23,8,17271.9,1424
9.11,8,10030.2,7668.73
10.01,8,2191.54,12283.2
11.04,8,1665.6,10487.9
12.93,8,1905.53,9195.89
15.05,8,1991.87,9008.51
0,9,2000,9000
0.5,9,2000,9000
1.08,9,2000.57,8999.44
1.72,9,2755.06,8310.38
1.97,9,3440.46,7732.18
2.68,9,6055.81,5749.18
3.05,9,7635.66,4676.84
3.6,9,9927.06,3289.45
4.03,9,11559,2423.56
4.45,9,12955.4,1774.41
4.95,9,14357.1,1214.31
5.16,9,14863.3,1037.68
5.83,9,16192.2,644.488
7,9,17695.8,343.349
8.07,9,18161.6,532.241
9.01,9,15599,3039.58
9.93,9,4879,11471.4
11.01,9,1670.4,11221.8
13.13,9,1883.8,9252.67
14.84,9,1981.18,9026.33
0,10,2000,9000
0.41,10,2000,9000
0.92,10,2000,9000
1.54,10,2348.09,8673.32
2.02,10,3521.86,7669.14
2.69,10,5765.31,5998.9
2.92,10,6619.06,5420.24
3.63,10,9198.33,3857.24
3.84,10,9917.1,3466.31
4.41,10,11688.2,2596.32
4.86,10,12817.1,2146.11
5.03,10,13180.7,2023.25
6.11,10,14735.6,1715.38
6.95,10,14503.7,2492.6
8.03,10,6925.5,9030.26
8.96,10,2035.73,11334.7
9.89,10,1766.01,10109.2
10.94,10,1852.32,9391.49
13.08,10,1983.44,9024.63
15.12,10,1999.01,9000.18
0,11,2000,9000
