rep,id,Te,p
1,1,195.565500,1.425672
1,2,233.869309,1.425672
1,3,561.960120,1.425672
1,4,513.745900,1.425672
1,5,387.277828,1.425672
1,6,430.256983,1.425672
1,7,333.652462,1.425672
1,8,358.608270,1.425672
1,9,508.768078,1.425672
1,10,347.199584,1.425672
1,11,809.045613,1.425672
1,12,286.433999,1.425672
1,13,559.017329,1.425672
1,14,447.736309,1.425672
1,15,524.102329,1.425672
1,16,374.046614,1.425672
1,17,610.259191,1.425672
1,18,699.300912,1.425672
1,19,379.009671,1.425672
1,20,285.311771,1.425672
1,21,337.645173,1.425672
1,22,236.152856,1.425672
1,23,596.359308,1.425672
1,24,808.237463,1.425672
1,25,367.485095,1.425672
1,26,562.581491,1.425672
1,27,394.763130,1.425672
1,28,389.451390,1.425672
1,29,465.200813,1.425672
1,30,389.895735,1.425672
1,31,383.909725,1.425672
1,32,363.716190,1.425672
1,33,502.396995,1.425672
1,34,406.379669,1.425672
1,35,225.102526,1.425672
1,36,383.257379,1.425672
1,37,631.365331,1.425672
1,38,514.572041,1.425672
1,39,424.921709,1.425672
1,40,617.344648,1.425672
1,41,535.668011,1.425672
1,42,531.052210,1.425672
1,43,312.072511,1.425672
1,44,249.666617,1.425672
1,45,639.498128,1.425672
1,46,339.924612,1.425672
1,47,519.830541,1.425672
1,48,289.202246,1.425672
1,49,464.422818,1.425672
1,50,506.270016,1.425672
1,51,528.778581,1.425672
1,52,418.475453,1.425672
1,53,495.036206,1.425672
1,54,817.753719,1.425672
1,55,437.651020,1.425672
1,56,579.845336,1.425672
1,57,361.311237,1.425672
1,58,205.118555,1.425672
1,59,432.752031,1.425672
1,60,481.314099,1.425672
1,61,604.199576,1.425672
1,62,603.062927,1.425672
1,63,503.923347,1.425672
1,64,448.811267,1.425672
1,65,407.571119,1.425672
1,66,197.108940,1.425672
1,67,269.911610,1.425672
1,68,388.626698,1.425672
1,69,348.281020,1.425672
1,70,495.169933,1.425672
1,71,532.467473,1.425672
1,72,461.205782,1.425672
1,73,231.875019,1.425672
1,74,311.084333,1.425672
1,75,567.770298,1.425672
1,76,354.636230,1.425672
1,77,712.180884,1.425672
1,78,571.220708,1.425672
1,79,518.943219,1.425672
1,80,526.236750,1.425672
1,81,378.619581,1.425672
1,82,253.786372,1.425672
1,83,506.042716,1.425672
1,84,524.285382,1.425672
1,85,1035.153313,1.425672
1,86,569.063780,1.425672
1,87,353.702281,1.425672
1,88,470.958532,1.425672
1,89,393.990214,1.425672
1,90,478.631168,1.425672
1,91,464.854908,1.425672
1,92,300.376032,1.425672
1,93,442.463483,1.425672
1,94,554.065557,1.425672
1,95,615.311163,1.425672
1,96,430.918445,1.425672
1,97,505.576214,1.425672
1,98,540.332992,1.425672
1,99,359.559355,1.425672
1,100,330.662446,1.425672
1,101,739.523222,1.425672
1,102,426.108269,1.425672
1,103,451.974099,1.425672
1,104,270.961439,1.425672
1,105,369.910443,1.425672
1,106,402.604930,1.425672
1,107,554.929562,1.425672
1,108,552.993795,1.425672
1,109,267.221222,1.425672
1,110,837.552836,1.425672
1,111,161.742646,1.425672
1,112,467.520254,1.425672
1,113,622.780819,1.425672
1,114,409.182261,1.425672
1,115,241.775229,1.425672
1,116,238.135261,1.425672
1,117,535.104464,1.425672
1,118,756.783765,1.425672
1,119,381.794563,1.425672
1,120,499.517451,1.425672
1,121,308.680538,1.425672
1,122,300.557714,1.425672
1,123,608.036677,1.425672
1,124,250.551490,1.425672
1,125,622.405691,1.425672
1,126,218.469783,1.425672
1,127,209.828519,1.425672
1,128,333.377106,1.425672
1,129,392.129939,1.425672
1,130,463.869309,1.425672
1,131,285.322329,1.425672
1,132,212.161084,1.425672
1,133,385.348260,1.425672
1,134,432.493485,1.425672
1,135,291.963790,1.425672
1,136,294.301634,1.425672
1,137,681.061511,1.425672
1,138,537.888722,1.425672
1,139,283.568370,1.425672
1,140,477.023285,1.425672
1,141,272.142753,1.425672
1,142,580.449718,1.425672
1,143,234.694515,1.425672
1,144,147.574347,1.425672
1,145,496.737475,1.425672
1,146,1049.188769,1.425672
1,147,483.134882,1.425672
1,148,429.178370,1.425672
1,149,568.994972,1.425672
1,150,272.323024,1.425672
1,151,522.938070,1.425672
1,152,458.306675,1.425672
1,153,251.024397,1.425672
1,154,469.790425,1.425672
1,155,183.250304,1.425672
1,156,605.482642,1.425672
1,157,461.565153,1.425672
1,158,256.496716,1.425672
1,159,454.756368,1.425672
1,160,671.767525,1.425672
1,161,488.864928,1.425672
1,162,716.232215,1.425672
1,163,284.898578,1.425672
1,164,452.566736,1.425672
1,165,290.178165,1.425672
1,166,364.853495,1.425672
1,167,397.004435,1.425672
1,168,445.777485,1.425672
1,169,266.882558,1.425672
