rep,id,eta_Te,eta_p
1,1,-0.749984,0.000000
1,2,-0.571117,0.000000
1,3,0.305552,0.000000
1,4,0.215849,0.000000
1,5,-0.066737,0.000000
1,6,0.038503,0.000000
1,7,-0.215779,0.000000
1,8,-0.143649,0.000000
1,9,0.206113,0.000000
1,10,-0.175980,0.000000
1,11,0.669976,0.000000
1,12,-0.368371,0.000000
1,13,0.300301,0.000000
1,14,0.078325,0.000000
1,15,0.235808,0.000000
1,16,-0.101499,0.000000
1,17,0.388004,0.000000
1,18,0.524202,0.000000
1,19,-0.088318,0.000000
1,20,-0.372297,0.000000
1,21,-0.203884,0.000000
1,22,-0.561400,0.000000
1,23,0.364964,0.000000
1,24,0.668977,0.000000
1,25,-0.119197,0.000000
1,26,0.306657,0.000000
1,27,-0.047593,0.000000
1,28,-0.061140,0.000000
1,29,0.116590,0.000000
1,30,-0.060000,0.000000
1,31,-0.075472,0.000000
1,32,-0.129505,0.000000
1,33,0.193511,0.000000
1,34,-0.018591,0.000000
1,35,-0.609323,0.000000
1,36,-0.077173,0.000000
1,37,0.422005,0.000000
1,38,0.217456,0.000000
1,39,0.026026,0.000000
1,40,0.399548,0.000000
1,41,0.257635,0.000000
1,42,0.248981,0.000000
1,43,-0.282644,0.000000
1,44,-0.505753,0.000000
1,45,0.434804,0.000000
1,46,-0.197155,0.000000
1,47,0.227624,0.000000
1,48,-0.358753,0.000000
1,49,0.114916,0.000000
1,50,0.201191,0.000000
1,51,0.244690,0.000000
1,52,0.010739,0.000000
1,53,0.178752,0.000000
1,54,0.680682,0.000000
1,55,0.055543,0.000000
1,56,0.336882,0.000000
1,57,-0.136140,0.000000
1,58,-0.702291,0.000000
1,59,0.044286,0.000000
1,60,0.150641,0.000000
1,61,0.378025,0.000000
1,62,0.376142,0.000000
1,63,0.196545,0.000000
1,64,0.080723,0.000000
1,65,-0.015664,0.000000
1,66,-0.742123,0.000000
1,67,-0.427785,0.000000
1,68,-0.063260,0.000000
1,69,-0.172870,0.000000
1,70,0.179022,0.000000
1,71,0.251643,0.000000
1,72,0.107965,0.000000
1,73,-0.579681,0.000000
1,74,-0.285815,0.000000
1,75,0.315838,0.000000
1,76,-0.154787,0.000000
1,77,0.542453,0.000000
1,78,0.321896,0.000000
1,79,0.225915,0.000000
1,80,0.239872,0.000000
1,81,-0.089347,0.000000
1,82,-0.489386,0.000000
1,83,0.200742,0.000000
1,84,0.236157,0.000000
1,85,0.916426,0.000000
1,86,0.318113,0.000000
1,87,-0.157424,0.000000
1,88,0.128891,0.000000
1,89,-0.049553,0.000000
1,90,0.145051,0.000000
1,91,0.115846,0.000000
1,92,-0.320844,0.000000
1,93,0.066479,0.000000
1,94,0.291404,0.000000
1,95,0.396249,0.000000
1,96,0.040040,0.000000
1,97,0.199820,0.000000
1,98,0.266306,0.000000
1,99,-0.141000,0.000000
1,100,-0.224781,0.000000
1,101,0.580126,0.000000
1,102,0.028814,0.000000
1,103,0.087746,0.000000
1,104,-0.423903,0.000000
1,105,-0.112618,0.000000
1,106,-0.027924,0.000000
1,107,0.292962,0.000000
1,108,0.289467,0.000000
1,109,-0.437802,0.000000
1,110,0.704605,0.000000
1,111,-0.939873,0.000000
1,112,0.121563,0.000000
1,113,0.408315,0.000000
1,114,-0.011719,0.000000
1,115,-0.537871,0.000000
1,116,-0.553040,0.000000
1,117,0.256583,0.000000
1,118,0.603198,0.000000
1,119,-0.080997,0.000000
1,120,0.187763,0.000000
1,121,-0.293572,0.000000
1,122,-0.320239,0.000000
1,123,0.384356,0.000000
1,124,-0.502215,0.000000
1,125,0.407713,0.000000
1,126,-0.639232,0.000000
1,127,-0.679589,0.000000
1,128,-0.216605,0.000000
1,129,-0.054286,0.000000
1,130,0.113724,0.000000
1,131,-0.372260,0.000000
1,132,-0.668533,0.000000
1,133,-0.071732,0.000000
1,134,0.043688,0.000000
1,135,-0.349250,0.000000
1,136,-0.341274,0.000000
1,137,0.497773,0.000000
1,138,0.261772,0.000000
1,139,-0.378426,0.000000
1,140,0.141686,0.000000
1,141,-0.419553,0.000000
1,142,0.337924,0.000000
1,143,-0.567595,0.000000
1,144,-1.031547,0.000000
1,145,0.182182,0.000000
1,146,0.929893,0.000000
1,147,0.154417,0.000000
1,148,0.035993,0.000000
1,149,0.317992,0.000000
1,150,-0.418890,0.000000
1,151,0.233584,0.000000
1,152,0.101659,0.000000
1,153,-0.500329,0.000000
1,154,0.126407,0.000000
1,155,-0.815026,0.000000
1,156,0.380147,0.000000
1,157,0.108744,0.000000
1,158,-0.478763,0.000000
1,159,0.093883,0.000000
1,160,0.484033,0.000000
1,161,0.166207,0.000000
1,162,0.548125,0.000000
1,163,-0.373746,0.000000
1,164,0.089056,0.000000
1,165,-0.355384,0.000000
1,166,-0.126383,0.000000
1,167,-0.041932,0.000000
1,168,0.073941,0.000000
1,169,-0.439071,0.000000
1,170,-0.295167,0.000000
1,171,-0.233077,0.000000
1,172,-0.324213,0.000000
1,173,-0.070277,0.000000
1,174,0.298318,0.000000
1,175,0.536960,0.000000
1,176,0.283253,0.000000
1,177,0.199371,0.000000
1,178,-0.312533,0.000000
1,179,-0.698588,0.000000
1,180,0.121286,0.000000
1,181,0.688556,0.000000
1,182,0.721751,0.000000
1,183,0.131738,0.000000
1,184,0.679227,0.000000
1,185,-0.377728,0.000000
1,186,-0.457527,0.000000
1,187,-0.486567,0.000000
1,188,0.118244,0.000000
1,189,0.566066,0.000000
1,190,-0.054573,0.000000
1,191,0.050538,0.000000
1,192,-0.393626,0.000000
1,193,0.191476,0.000000
1,194,-0.138767,0.000000
1,195,-0.409352,0.000000
1,196,0.082759,0.000000
1,197,-0.265675,0.000000
1,198,-0.400460,0.000000
1,199,1.177056,0.000000
1,200,-0.270387,0.000000
1,201,-0.530506,0.000000
1,202,-0.418156,0.000000
1,203,0.166623,0.000000
1,204,0.860117,0.000000
1,205,0.274096,0.000000
1,206,0.144501,0.000000
1,207,-0.326462,0.000000
1,208,0.133719,0.000000
1,209,-0.109056,0.000000
1,210,0.101442,0.000000
1,211,0.214705,0.000000
1,212,0.154943,0.000000
1,213,-0.463160,0.000000
1,214,0.229123,0.000000
1,215,-0.294723,0.000000
1,216,0.816648,0.000000
1,217,-0.274643,0.000000
1,218,-0.133179,0.000000
1,219,0.540976,0.000000
1,220,0.179791,0.000000
1,221,0.321233,0.000000
1,222,0.552702,0.000000
1,223,0.313216,0.000000
1,224,-0.432238,0.000000
1,225,0.147347,0.000000
1,226,-0.475280,0.000000
1,227,-0.276820,0.000000
1,228,-0.279898,0.000000
