popPred,popPred_spline,popPred_ciLower,popPred_ciUpper,indivPred,indivPred_spline,indivPred_ciLower,indivPred_ciUpper,split
0.00445408,0.0632655,-0.00711029,0.0160185,3.97763e-08,0.000141744,-0.0115643,0.0115644,All
0.00495819,0.0655618,-0.00660618,0.0165226,5.59282e-08,0.000141792,-0.0115643,0.0115644,All
0.00551936,0.0677839,-0.00604501,0.0170837,7.86391e-08,0.000141859,-0.0115643,0.0115644,All
0.00614404,0.0698588,-0.00542033,0.0177084,1.10572e-07,0.000141954,-0.0115643,0.0115645,All
0.00683942,0.071697,-0.00472495,0.0184038,1.55472e-07,0.000142087,-0.0115642,0.0115645,All
0.0076135,0.0732853,-0.00395087,0.0191779,2.18605e-07,0.000142274,-0.0115642,0.0115646,All
0.00847519,0.0746644,-0.00308918,0.0200396,3.07374e-07,0.000142537,-0.0115641,0.0115647,All
0.00943441,0.075783,-0.00212996,0.0209988,4.3219e-07,0.000142906,-0.0115639,0.0115648,All
0.0105022,0.0766892,-0.00106218,0.0220666,6.0769e-07,0.000143425,-0.0115638,0.011565,All
0.0116908,0.0776263,0.000126456,0.0232552,8.54455e-07,0.000144155,-0.0115635,0.0115652,All
0.013014,0.0788007,0.00144962,0.0245784,1.20142e-06,0.000145181,-0.0115632,0.0115656,All
0.0144869,0.0803086,0.00292254,0.0260513,1.68929e-06,0.000146603,-0.0115627,0.0115661,All
0.0161265,0.0822446,0.00456216,0.0276909,2.37526e-06,0.000148603,-0.011562,0.0115667,All
0.0179517,0.0847248,0.00638735,0.0295161,3.33978e-06,0.000151415,-0.011561,0.0115677,All
0.0199835,0.0878223,0.00841912,0.0315479,4.69597e-06,0.000155369,-0.0115597,0.0115691,All
0.0222452,0.0909178,0.0106808,0.0338096,6.60286e-06,0.000160929,-0.0115578,0.011571,All
0.0233342,0.0919307,0.0117698,0.0348986,9.28409e-06,0.000168746,-0.0115551,0.0115737,All
0.0247629,0.0925147,0.0131985,0.0363273,1.30541e-05,0.000179737,-0.0115513,0.0115774,All
0.0275656,0.0924794,0.0160012,0.0391299,1.8355e-05,0.000194905,-0.011546,0.0115827,All
0.0306854,0.0949383,0.0191211,0.0422498,2.58084e-05,0.000215835,-0.0115386,0.0115902,All
0.0341584,0.10266,0.022594,0.0457227,3.62884e-05,0.000243981,-0.0115281,0.0116007,All
0.0380244,0.106558,0.02646,0.0495888,5.10241e-05,0.000283558,-0.0115133,0.0116154,All
0.0422143,0.10886,0.0306499,0.0537787,7.17435e-05,0.000338422,-0.0114926,0.0116361,All
0.042328,0.109017,0.0307636,0.0538924,0.000100876,0.000409874,-0.0114635,0.0116652,All
0.0471187,0.11858,0.0355543,0.058683,0.00014184,0.00050203,-0.0114225,0.0117062,All
0.0524515,0.12565,0.0408872,0.0640159,0.000199436,0.000617201,-0.0113649,0.0117638,All
0.058388,0.128518,0.0468236,0.0699523,0.000280422,0.0007507,-0.0112839,0.0118448,All
0.0610944,0.133277,0.04953,0.0726588,0.000394293,0.000890568,-0.0111701,0.0119587,All
0.0649963,0.134134,0.0534319,0.0765607,0.000554404,0.00101198,-0.01101,0.0121188,All
0.0723525,0.1351,0.0607882,0.0839169,0.000779531,0.00106657,-0.0107848,0.0123439,All
0.0799745,0.154951,0.0684102,0.0915389,0.00109608,0.00105846,-0.0104683,0.0126604,All
0.0805414,0.155328,0.068977,0.0921057,0.00154116,0.00118183,-0.0100232,0.0131055,All
0.089657,0.160306,0.0780926,0.101221,0.00216698,0.00179064,-0.00939739,0.0137313,All
0.0988546,0.176321,0.0872903,0.110419,0.00304693,0.00312338,-0.00851744,0.0146113,All
0.0998043,0.175753,0.08824,0.111369,0.0042842,0.00489157,-0.00728017,0.0158486,All
0.1111,0.179646,0.0995358,0.122665,0.00602388,0.00648904,-0.00554048,0.0175883,All
0.117735,0.195745,0.10617,0.129299,0.00847001,0.00839019,-0.00309436,0.0200344,All
0.123674,0.195817,0.11211,0.135239,0.0119094,0.0117573,0.000345063,0.0234738,All
0.136615,0.208273,0.12505,0.148179,0.0167455,0.0173971,0.00518114,0.0283099,All
0.137672,0.210092,0.126107,0.149236,0.0199993,0.0207888,0.00843497,0.0315637,All
0.153253,0.21655,0.141689,0.164818,0.0235454,0.0235031,0.011981,0.0351097,All
0.155495,0.218808,0.143931,0.167059,0.0331065,0.0333627,0.0215421,0.0446708,All
0.170599,0.229369,0.159034,0.182163,0.0399986,0.0405231,0.0284343,0.051563,All
0.174375,0.230407,0.162811,0.185939,0.04655,0.046822,0.0349857,0.0581144,All
0.189907,0.25283,0.178342,0.201471,0.0599979,0.060322,0.0484336,0.0715623,All
0.193255,0.257929,0.181691,0.20482,0.0654526,0.0659497,0.0538883,0.077017,All
0.2114,0.268926,0.199836,0.222965,0.0799972,0.0806538,0.0684329,0.0915616,All
0.212135,0.26996,0.200571,0.2237,0.092031,0.092737,0.0804667,0.103595,All
0.231015,0.291389,0.219451,0.24258,0.0999965,0.100519,0.0884322,0.111561,All
0.235327,0.291279,0.223762,0.246891,0.119996,0.120306,0.108431,0.13156,All
0.249896,0.288695,0.238331,0.26146,0.129402,0.129411,0.117838,0.140967,All
0.261961,0.325723,0.250396,0.273525,0.139995,0.140113,0.128431,0.15156,All
0.268776,0.335738,0.257211,0.28034,0.159994,0.16061,0.14843,0.171559,All
0.287656,0.346757,0.276091,0.29922,0.179994,0.17987,0.168429,0.191558,All
0.291609,0.354237,0.280045,0.303174,0.181949,0.181874,0.170384,0.193513,All
0.306536,0.358367,0.294971,0.3181,0.199993,0.200984,0.188429,0.211557,All
0.324614,0.355216,0.313049,0.336178,0.219992,0.21937,0.208428,0.231557,All
0.325416,0.357344,0.313852,0.33698,0.239992,0.240348,0.228427,0.251556,All
0.344296,0.39125,0.332732,0.35586,0.255833,0.25634,0.244268,0.267397,All
0.361353,0.391659,0.349789,0.372918,0.259991,0.260028,0.248427,0.271555,All
0.363176,0.392734,0.351612,0.374741,0.27999,0.280042,0.268426,0.291555,All
0.382056,0.422441,0.370492,0.393621,0.29999,0.299976,0.288425,0.311554,All
0.400936,0.450718,0.389372,0.412501,0.319989,0.320653,0.308425,0.331553,All
0.402251,0.451159,0.390687,0.413815,0.339988,0.339862,0.328424,0.351553,All
0.419816,0.453206,0.408252,0.431381,0.359719,0.359878,0.348154,0.371283,All
0.438697,0.463813,0.427132,0.450261,0.359987,0.360155,0.348423,0.371552,All
0.447778,0.470009,0.436213,0.459342,0.379987,0.379661,0.368422,0.391551,All
0.457577,0.476974,0.446012,0.469141,0.399986,0.399258,0.388422,0.41155,All
0.476457,0.496552,0.464892,0.488021,0.419985,0.420341,0.408421,0.43155,All
0.495337,0.514511,0.483773,0.506901,0.439985,0.440397,0.42842,0.451549,All
0.498457,0.515517,0.486892,0.510021,0.459984,0.459755,0.44842,0.471548,All
0.514217,0.523142,0.502653,0.525781,0.479983,0.479685,0.468419,0.491548,All
0.533097,0.549739,0.521533,0.544662,0.499983,0.49965,0.488418,0.511547,All
0.551977,0.575883,0.540413,0.563542,0.50579,0.505528,0.494226,0.517355,All
0.554872,0.578638,0.543308,0.566436,0.519982,0.520179,0.508418,0.531546,All
0.570857,0.587392,0.559293,0.582422,0.539981,0.540702,0.528417,0.551546,All
0.589737,0.582406,0.578173,0.601302,0.55998,0.560448,0.548416,0.571545,All
0.608618,0.587084,0.597053,0.620182,0.57998,0.580209,0.568415,0.591544,All
0.617672,0.602398,0.606108,0.629236,0.599979,0.600111,0.588415,0.611543,All
0.627498,0.624005,0.615933,0.639062,0.619978,0.620062,0.608414,0.631543,All
0.646378,0.652583,0.634813,0.657942,0.639978,0.640074,0.628413,0.651542,All
0.665258,0.65798,0.653694,0.676822,0.659977,0.660148,0.648413,0.671541,All
0.684138,0.680786,0.672574,0.695702,0.679976,0.680213,0.668412,0.691541,All
0.68758,0.686661,0.676016,0.699144,0.699976,0.700202,0.688411,0.71154,All
0.703018,0.706291,0.691454,0.714582,0.711177,0.711385,0.699613,0.722741,All
0.721898,0.705358,0.710334,0.733463,0.719975,0.720178,0.708411,0.731539,All
0.740778,0.704199,0.729214,0.752343,0.739974,0.74021,0.72841,0.751539,All
0.759658,0.720247,0.748094,0.771223,0.759974,0.760126,0.748409,0.771538,All
0.7654,0.727218,0.753836,0.776964,0.779973,0.779804,0.768408,0.791537,All
0.778539,0.744452,0.766974,0.790103,0.799972,0.799495,0.788408,0.811536,All
0.797419,0.767407,0.785854,0.808983,0.819971,0.819414,0.808407,0.831536,All
0.816299,0.783011,0.804734,0.827863,0.839971,0.839631,0.828406,0.851535,All
0.835179,0.79146,0.823615,0.846743,0.85997,0.860222,0.848406,0.871534,All
0.852027,0.801253,0.840463,0.863592,0.879969,0.88074,0.868405,0.891534,All
0.854059,0.802905,0.842495,0.865623,0.899969,0.900207,0.888404,0.911533,All
0.872939,0.822355,0.861375,0.884503,0.919968,0.91922,0.908404,0.931532,All
0.891819,0.846542,0.880255,0.903384,0.939967,0.9398,0.928403,0.951532,All
0.910699,0.871442,0.899135,0.922264,0.959967,0.960586,0.948402,0.971531,All
0.929579,0.893019,0.918015,0.941144,0.979966,0.979847,0.968401,0.99153,All
0.94846,0.908448,0.936895,0.960024,0.999965,0.999105,0.988401,1.01153,All
