                       ; parameter;  s.e._lin;r.s.e._lin;pvalues_lin
               Emax_pop;   0.41407;   0.03363;      8.12;        NaN
  beta_Emax_tDRUG_abata;   1.54145;   0.13616;      8.83;      1e-10
  beta_Emax_tDRUG_adali;   1.31715;   0.13779;     10.46;      1e-10
 beta_Emax_tDRUG_canaki;   0.75341;   0.55077;     73.10;    0.17134
beta_Emax_tDRUG_placebo;   0.00000;       NaN;       NaN;        NaN
                T50_pop;   4.47048;   0.54178;     12.12;        NaN
   beta_T50_tDRUG_abata;  -0.10325;   0.13804;    133.70;    0.45449
   beta_T50_tDRUG_adali;  -0.80171;   0.16352;     20.40;9.4482e-007
  beta_T50_tDRUG_canaki;  -0.70997;   0.68338;     96.25;    0.29885
 beta_T50_tDRUG_placebo;   0.00000;       NaN;       NaN;        NaN
         etaBSVEmax_pop;   0.00000;   0.00000;      0.00;        NaN
        etaBTAVEmax_pop;   0.00000;   0.00000;      0.00;        NaN
             omega_Emax;   0.00000;   0.00000;      0.00;        NaN
              omega_T50;   0.00000;   0.00000;      0.00;        NaN
       omega_etaBSVEmax;   0.31800;   0.05222;     16.42;        NaN
      omega_etaBTAVEmax;   0.00000;   0.00000;      0.00;        NaN
             gamma_Emax;   0.00000;   0.00000;      0.00;        NaN
              gamma_T50;   0.00000;   0.00000;      0.00;        NaN
       gamma_etaBSVEmax;   0.00000;   0.00000;      0.00;        NaN
      gamma_etaBTAVEmax;   1.33294;   1.13055;     84.82;        NaN
                      a;   2.48380;   0.15700;      6.32;        NaN
